segment_id	sig_max	major_cn	minor_cn	N1
10:130013-37999999	SBS1	1	1	2
10:130013-37999999	SBS18	1	1	1
10:130013-37999999	SBS5	1	1	1
10:130013-37999999	SBS8	1	1	3
10:42300000-135389924	SBS1	1	1	2
10:42300000-135389924	SBS18	1	1	3
10:42300000-135389924	SBS37	1	1	7
10:42300000-135389924	SBS5	1	1	11
10:42300000-135389924	SBS8	1	1	2
11:190010-51599999	SBS1	1	1	1
11:190010-51599999	SBS18	1	1	3
11:190010-51599999	SBS37	1	1	4
11:190010-51599999	SBS5	1	1	3
11:190010-51599999	SBS8	1	1	5
11:51600000-55699999	SBS5	1	1	1
11:55700000-134442500	SBS1	1	1	2
11:55700000-134442500	SBS37	1	1	6
11:55700000-134442500	SBS5	1	1	3
11:55700000-134442500	SBS8	1	1	3
12:110107-33299999	SBS1	1	1	2
12:110107-33299999	SBS37	1	1	2
12:110107-33299999	SBS5	1	1	4
12:110107-33299999	SBS8	1	1	2
12:33300000-38199999	SBS1	1	1	1
12:33300000-38199999	SBS37	1	1	1
12:38200000-132342500	SBS1	1	1	3
12:38200000-132342500	SBS18	1	1	4
12:38200000-132342500	SBS37	1	1	5
12:38200000-132342500	SBS5	1	1	6
12:38200000-132342500	SBS8	1	1	4
13:19500000-114137500	SBS1	1	1	1
13:19500000-114137500	SBS18	1	1	1
13:19500000-114137500	SBS5	1	1	3
13:19500000-114137500	SBS8	1	1	4
14:19100000-106362500	SBS1	1	1	3
14:19100000-106362500	SBS18	1	1	3
14:19100000-106362500	SBS37	1	1	6
14:19100000-106362500	SBS5	1	1	4
14:19100000-106362500	SBS8	1	1	2
15:20700000-24787499	SBS37	1	1	1
15:20700000-24787499	SBS8	1	1	1
15:24787500-100332500	SBS1	1	1	1
15:24787500-100332500	SBS18	1	1	2
15:24787500-100332500	SBS37	1	1	2
15:24787500-100332500	SBS5	1	1	6
15:24787500-100332500	SBS8	1	1	1
16:100010-34599999	SBS18	1	1	1
16:100010-34599999	SBS37	1	1	1
16:100010-34599999	SBS5	1	1	4
16:100010-34599999	SBS8	1	1	4
16:38600000-88822500	SBS1	1	1	3
16:38600000-88822500	SBS18	1	1	2
16:38600000-88822500	SBS37	1	1	4
16:38600000-88822500	SBS5	1	1	5
16:38600000-88822500	SBS8	1	1	1
17:1665-22199999	SBS1	1	1	4
17:1665-22199999	SBS18	1	1	1
17:1665-22199999	SBS37	1	1	4
17:1665-22199999	SBS5	1	1	4
17:25800000-78772500	SBS1	1	1	1
17:25800000-78772500	SBS18	1	1	2
17:25800000-78772500	SBS37	1	1	4
17:25800000-78772500	SBS5	1	1	3
17:78772501-81195209	SBS5	1	1	2
18:19000000-76112500	SBS1	1	1	2
18:19000000-76112500	SBS18	1	1	2
18:19000000-76112500	SBS37	1	1	2
18:19000000-76112500	SBS5	1	1	8
18:19000000-76112500	SBS8	1	1	5
18:38822-15399999	SBS18	1	1	2
18:38822-15399999	SBS37	1	1	5
18:38822-15399999	SBS5	1	1	1
18:38822-15399999	SBS8	1	1	1
18:76112501-78077247	SBS1	1	1	2
18:76112501-78077247	SBS18	1	1	1
19:260137-24399999	SBS1	1	1	1
19:260137-24399999	SBS37	1	1	2
19:260137-24399999	SBS8	1	1	1
19:28600000-59128982	SBS1	1	1	3
19:28600000-59128982	SBS18	1	1	1
19:28600000-59128982	SBS37	1	1	1
19:28600000-59128982	SBS5	1	1	2
19:28600000-59128982	SBS8	1	1	2
1:10001-121499999	SBS1	1	1	3
1:10001-121499999	SBS18	1	1	5
1:10001-121499999	SBS37	1	1	9
1:10001-121499999	SBS5	1	1	9
1:10001-121499999	SBS8	1	1	4
1:128900000-246607499	SBS1	1	1	1
1:128900000-246607499	SBS18	1	1	1
1:128900000-246607499	SBS37	1	1	7
1:128900000-246607499	SBS5	1	1	7
1:128900000-246607499	SBS8	1	1	1
1:246607500-246862571	SBS5	1	0	1
1:246607500-246862571	SBS8	1	0	1
1:247247501-249250620	SBS37	1	1	1
20:17500-25599999	SBS1	1	1	1
20:17500-25599999	SBS37	1	1	1
20:17500-25599999	SBS5	1	1	2
20:29400000-62432500	SBS1	1	1	1
20:29400000-62432500	SBS37	1	1	1
20:29400000-62432500	SBS5	1	1	2
20:29400000-62432500	SBS8	1	1	1
21:14300000-46937500	SBS1	1	1	1
21:14300000-46937500	SBS18	1	1	2
21:14300000-46937500	SBS37	1	1	2
21:14300000-46937500	SBS5	1	1	2
21:14300000-46937500	SBS8	1	1	1
21:46937501-48129894	SBS1	1	1	1
22:17900000-49687500	SBS1	1	1	2
22:17900000-49687500	SBS18	1	1	3
22:17900000-49687500	SBS37	1	1	2
22:17900000-49687500	SBS5	1	1	3
2:20016-90499999	SBS1	1	1	1
2:20016-90499999	SBS18	1	1	3
2:20016-90499999	SBS37	1	1	3
2:20016-90499999	SBS5	1	1	3
2:20016-90499999	SBS8	1	1	3
2:96800000-242976888	SBS1	1	1	7
2:96800000-242976888	SBS18	1	1	12
2:96800000-242976888	SBS37	1	1	9
2:96800000-242976888	SBS5	1	1	9
2:96800000-242976888	SBS8	1	1	3
3:100074-87899999	SBS1	1	1	1
3:100074-87899999	SBS18	1	1	5
3:100074-87899999	SBS37	1	1	6
3:100074-87899999	SBS5	1	1	8
3:100074-87899999	SBS8	1	1	2
3:87900000-93899999	SBS37	1	1	1
3:93900000-197779891	SBS1	1	1	2
3:93900000-197779891	SBS18	1	1	6
3:93900000-197779891	SBS37	1	1	10
3:93900000-197779891	SBS5	1	1	10
3:93900000-197779891	SBS8	1	1	3
4:48200000-52699999	SBS5	1	1	1
4:52700000-191154275	SBS1	1	1	3
4:52700000-191154275	SBS18	1	1	5
4:52700000-191154275	SBS37	1	1	9
4:52700000-191154275	SBS5	1	1	14
4:52700000-191154275	SBS8	1	1	14
4:59541-48199999	SBS1	1	1	2
4:59541-48199999	SBS18	1	1	1
4:59541-48199999	SBS37	1	1	4
4:59541-48199999	SBS5	1	1	2
4:59541-48199999	SBS8	1	1	2
5:22500-46099999	SBS1	1	1	2
5:22500-46099999	SBS18	1	1	2
5:22500-46099999	SBS5	1	1	5
5:22500-46099999	SBS8	1	1	1
5:46100000-50699999	SBS37	1	1	1
5:50700000-180689978	SBS1	1	1	1
5:50700000-180689978	SBS18	1	1	6
5:50700000-180689978	SBS37	1	1	9
5:50700000-180689978	SBS5	1	1	12
5:50700000-180689978	SBS8	1	1	5
6:180248-58699999	SBS1	1	1	3
6:180248-58699999	SBS18	1	1	1
6:180248-58699999	SBS37	1	1	2
6:180248-58699999	SBS5	1	1	1
6:180248-58699999	SBS8	1	1	3
6:63300000-170899934	SBS18	1	1	3
6:63300000-170899934	SBS37	1	1	8
6:63300000-170899934	SBS5	1	1	10
6:63300000-170899934	SBS8	1	1	7
7:140565253-158817500	SBS18	1	1	1
7:140565253-158817500	SBS5	1	1	1
7:40386-57999999	SBS1	1	1	2
7:40386-57999999	SBS18	1	1	2
7:40386-57999999	SBS37	1	1	3
7:40386-57999999	SBS5	1	1	6
7:40386-57999999	SBS8	1	1	2
7:61700000-138554621	SBS18	1	1	1
7:61700000-138554621	SBS37	1	1	5
7:61700000-138554621	SBS5	1	1	9
7:61700000-138554621	SBS8	1	1	1
8:179998-43099999	SBS1	1	1	1
8:179998-43099999	SBS18	1	1	1
8:179998-43099999	SBS37	1	1	2
8:179998-43099999	SBS5	1	1	3
8:179998-43099999	SBS8	1	1	2
8:48100000-146364021	SBS1	1	1	3
8:48100000-146364021	SBS18	1	1	3
8:48100000-146364021	SBS37	1	1	6
8:48100000-146364021	SBS5	1	1	9
8:48100000-146364021	SBS8	1	1	3
9:42148461-47299999	SBS1	1	1	1
9:42148461-47299999	SBS5	1	1	1
9:55056-42148460	SBS18	1	1	2
9:55056-42148460	SBS37	1	1	3
9:55056-42148460	SBS5	1	1	1
9:55056-42148460	SBS8	1	1	3
9:66849972-140267500	SBS37	1	1	3
