segment_id	sig_max	major_cn	minor_cn	N1
10:38000000-42299999	SBS5	1	1	2
10:38000000-42299999	SBS8	1	1	1
10:42300000-135389924	SBS1	1	1	20
10:42300000-135389924	SBS5	1	1	75
10:42300000-135389924	SBS8	1	1	52
10:42300000-135389924	SBS99	1	1	8
10:94426-37999999	SBS1	1	1	9
10:94426-37999999	SBS5	1	1	44
10:94426-37999999	SBS8	1	1	28
10:94426-37999999	SBS99	1	1	2
11:100669514-134452200	SBS1	1	1	12
11:100669514-134452200	SBS5	1	1	36
11:100669514-134452200	SBS8	1	1	23
11:100669514-134452200	SBS99	1	1	1
11:197557-51599999	SBS1	1	1	10
11:197557-51599999	SBS5	1	1	58
11:197557-51599999	SBS8	1	1	32
11:197557-51599999	SBS99	1	1	2
11:51600000-55699999	SBS1	1	1	1
11:51600000-55699999	SBS8	1	1	2
11:55700000-88808521	SBS1	1	1	8
11:55700000-88808521	SBS5	1	1	36
11:55700000-88808521	SBS8	1	1	11
11:55700000-88808521	SBS99	1	1	4
11:88808522-100669513	SBS1	1	1	6
11:88808522-100669513	SBS5	1	1	16
11:88808522-100669513	SBS8	1	1	8
11:88808522-100669513	SBS99	1	1	1
12:132349401-133851894	SBS1	1	1	1
12:132349401-133851894	SBS5	1	1	4
12:132349401-133851894	SBS8	1	1	1
12:14883819-33299999	SBS1	1	1	1
12:14883819-33299999	SBS5	1	1	12
12:14883819-33299999	SBS8	1	1	8
12:14883819-33299999	SBS99	1	1	1
12:218155-7996889	SBS1	1	1	4
12:218155-7996889	SBS5	1	1	4
12:218155-7996889	SBS8	1	1	3
12:33300000-38199999	SBS5	1	1	7
12:33300000-38199999	SBS8	1	1	3
12:38200000-132349400	SBS1	1	1	22
12:38200000-132349400	SBS5	1	1	100
12:38200000-132349400	SBS8	1	1	42
12:38200000-132349400	SBS99	1	1	7
12:7996890-8125553	SBS8	1	1	2
12:8125554-8995961	SBS5	1	1	2
12:8995962-14883818	SBS1	1	0	3
12:8995962-14883818	SBS5	1	0	6
12:8995962-14883818	SBS8	1	0	2
13:100411637-101080154	SBS5	1	1	1
13:101080155-114142800	SBS1	1	1	11
13:101080155-114142800	SBS5	1	1	17
13:101080155-114142800	SBS8	1	1	7
13:114142801-115169877	SBS5	1	1	1
13:114142801-115169877	SBS8	1	1	1
13:16300000-19499999	SBS5	1	1	2
13:16300000-19499999	SBS8	1	1	1
13:19500000-46248856	SBS1	1	1	6
13:19500000-46248856	SBS5	1	1	32
13:19500000-46248856	SBS8	1	1	9
13:19500000-46248856	SBS99	1	1	1
13:46277016-57749225	SBS1	1	0	1
13:46277016-57749225	SBS5	1	0	4
13:46277016-57749225	SBS8	1	0	4
13:46277016-57749225	SBS99	1	0	3
13:57749226-64680038	SBS1	1	0	3
13:57749226-64680038	SBS5	1	0	4
13:57749226-64680038	SBS8	1	0	2
13:64680039-100411636	SBS1	1	1	9
13:64680039-100411636	SBS5	1	1	43
13:64680039-100411636	SBS8	1	1	20
13:64680039-100411636	SBS99	1	1	1
14:16100000-19099999	SBS5	1	1	1
14:19100000-20166027	SBS5	1	1	2
14:19100000-20166027	SBS8	1	1	2
14:20166028-20375050	SBS5	1	1	1
14:20166028-20375050	SBS8	1	1	1
14:20375051-37090327	SBS1	1	1	7
14:20375051-37090327	SBS5	1	1	17
14:20375051-37090327	SBS8	1	1	8
14:20375051-37090327	SBS99	1	1	2
14:37478425-47077549	SBS1	1	1	2
14:37478425-47077549	SBS5	1	1	8
14:37478425-47077549	SBS8	1	1	9
14:37478425-47077549	SBS99	1	1	1
14:47081177-106368400	SBS1	1	1	12
14:47081177-106368400	SBS5	1	1	67
14:47081177-106368400	SBS8	1	1	25
14:47081177-106368400	SBS99	1	1	2
15:100338801-102396558	SBS8	1	1	1
15:15800000-20699999	SBS5	1	1	1
15:15800000-20699999	SBS8	1	1	1
15:20700000-30266003	SBS1	1	1	5
15:20700000-30266003	SBS5	1	1	14
15:20700000-30266003	SBS8	1	1	7
15:20700000-30266003	SBS99	1	1	1
15:30266004-33523009	SBS1	1	0	1
15:30266004-33523009	SBS5	1	0	2
15:30266004-33523009	SBS8	1	0	1
15:33555731-45786155	SBS5	1	0	3
15:33555731-45786155	SBS8	1	0	5
15:45786156-100338800	SBS1	1	1	13
15:45786156-100338800	SBS5	1	1	47
15:45786156-100338800	SBS8	1	1	34
15:45786156-100338800	SBS99	1	1	5
16:34600000-38599999	SBS8	1	1	1
16:38600000-88827200	SBS1	1	1	11
16:38600000-88827200	SBS5	1	1	48
16:38600000-88827200	SBS8	1	1	26
16:38600000-88827200	SBS99	1	1	4
16:84170-34599999	SBS1	1	1	20
16:84170-34599999	SBS5	1	1	39
16:84170-34599999	SBS8	1	1	16
16:84170-34599999	SBS99	1	1	3
16:88827201-90354752	SBS1	1	1	2
16:88827201-90354752	SBS5	1	1	6
17:25800000-78774600	SBS1	1	1	13
17:25800000-78774600	SBS5	1	1	53
17:25800000-78774600	SBS8	1	1	17
17:25800000-78774600	SBS99	1	1	2
17:7-22199999	SBS1	1	1	3
17:7-22199999	SBS5	1	1	30
17:7-22199999	SBS8	1	1	15
17:78774601-81195209	SBS1	1	1	4
17:78774601-81195209	SBS5	1	1	7
17:78774601-81195209	SBS8	1	1	1
18:15400000-18999999	SBS5	1	1	2
18:19000000-76117000	SBS1	1	1	17
18:19000000-76117000	SBS5	1	1	48
18:19000000-76117000	SBS8	1	1	32
18:19000000-76117000	SBS99	1	1	2
18:27500-15399999	SBS1	1	1	6
18:27500-15399999	SBS5	1	1	14
18:27500-15399999	SBS8	1	1	10
18:27500-15399999	SBS99	1	1	1
18:76117001-78077247	SBS1	1	1	1
18:76117001-78077247	SBS5	1	1	2
19:24400000-28599999	SBS8	1	1	2
19:280540-24399999	SBS1	1	1	7
19:280540-24399999	SBS5	1	1	31
19:280540-24399999	SBS8	1	1	7
19:28600000-59128982	SBS1	1	1	8
19:28600000-59128982	SBS5	1	1	46
19:28600000-59128982	SBS8	1	1	20
19:28600000-59128982	SBS99	1	1	1
1:1-121499999	SBS1	1	1	32
1:1-121499999	SBS5	1	1	110
1:1-121499999	SBS8	1	1	49
1:1-121499999	SBS99	1	1	7
1:128900000-194114853	SBS1	1	1	13
1:128900000-194114853	SBS5	1	1	68
1:128900000-194114853	SBS8	1	1	26
1:128900000-194114853	SBS99	1	1	1
1:194114854-247247500	SBS1	1	1	18
1:194114854-247247500	SBS5	1	1	43
1:194114854-247247500	SBS8	1	1	20
1:194114854-247247500	SBS99	1	1	3
1:247247501-249250620	SBS5	1	1	1
1:247247501-249250620	SBS8	1	1	1
20:20490-25599999	SBS1	1	1	10
20:20490-25599999	SBS5	1	1	30
20:20490-25599999	SBS8	1	1	16
20:25600000-29399999	SBS8	1	1	1
20:29400000-62432500	SBS1	1	1	9
20:29400000-62432500	SBS5	1	1	40
20:29400000-62432500	SBS8	1	1	15
20:29400000-62432500	SBS99	1	1	1
21:10900000-14299999	SBS1	2	1	1
21:10900000-14299999	SBS5	2	1	1
21:14300000-46937500	SBS1	1	1	11
21:14300000-46937500	SBS5	1	1	42
21:14300000-46937500	SBS8	1	1	16
21:14300000-46937500	SBS99	1	1	3
22:12200000-17899999	SBS1	1	1	1
22:12200000-17899999	SBS5	1	1	2
22:12200000-17899999	SBS8	1	1	2
22:17900000-49687500	SBS1	1	1	10
22:17900000-49687500	SBS5	1	1	31
22:17900000-49687500	SBS8	1	1	8
22:49687501-51304565	SBS5	1	1	7
22:49687501-51304565	SBS8	1	1	2
2:106062957-106239656	SBS5	1	1	1
2:106242902-106882932	SBS5	1	1	1
2:107542029-107967350	SBS5	1	1	1
2:108073920-108131219	SBS5	1	0	1
2:108597042-108971596	SBS5	1	1	4
2:108979467-116142442	SBS1	1	1	3
2:108979467-116142442	SBS5	1	1	4
2:108979467-116142442	SBS8	1	1	2
2:116209960-116647743	SBS5	1	1	2
2:116209960-116647743	SBS8	1	1	1
2:116679466-117466571	SBS5	1	1	2
2:116679466-117466571	SBS8	1	1	1
2:117484655-137180622	SBS1	1	1	8
2:117484655-137180622	SBS5	1	1	25
2:117484655-137180622	SBS8	1	1	15
2:117484655-137180622	SBS99	1	1	2
2:137270111-242984215	SBS1	1	1	23
2:137270111-242984215	SBS5	1	1	85
2:137270111-242984215	SBS8	1	1	55
2:137270111-242984215	SBS99	1	1	8
2:20016-22855346	SBS1	1	1	4
2:20016-22855346	SBS5	1	1	33
2:20016-22855346	SBS8	1	1	8
2:20016-22855346	SBS99	1	1	2
2:22857594-57746138	SBS1	1	1	7
2:22857594-57746138	SBS5	1	1	38
2:22857594-57746138	SBS8	1	1	12
2:22857594-57746138	SBS99	1	1	1
2:57760862-90499999	SBS1	1	1	7
2:57760862-90499999	SBS5	1	1	36
2:57760862-90499999	SBS8	1	1	21
2:57760862-90499999	SBS99	1	1	4
2:90500000-96799999	SBS5	1	1	5
2:90500000-96799999	SBS8	1	1	5
2:96800000-106055273	SBS1	1	1	1
2:96800000-106055273	SBS5	1	1	12
2:96800000-106055273	SBS8	1	1	3
2:96800000-106055273	SBS99	1	1	2
3:100074-21769171	SBS1	1	1	6
3:100074-21769171	SBS5	1	1	28
3:100074-21769171	SBS8	1	1	19
3:100074-21769171	SBS99	1	1	2
3:148682619-160034715	SBS1	1	1	2
3:148682619-160034715	SBS5	1	1	7
3:148682619-160034715	SBS8	1	1	3
3:148682619-160034715	SBS99	1	1	2
3:160049486-197847500	SBS1	1	1	14
3:160049486-197847500	SBS5	1	1	38
3:160049486-197847500	SBS8	1	1	16
3:160049486-197847500	SBS99	1	1	4
3:21975183-87899999	SBS1	1	1	19
3:21975183-87899999	SBS5	1	1	57
3:21975183-87899999	SBS8	1	1	36
3:21975183-87899999	SBS99	1	1	2
3:87900000-93899999	SBS1	1	1	1
3:87900000-93899999	SBS5	1	1	4
3:87900000-93899999	SBS8	1	1	2
3:93900000-148678909	SBS1	1	1	11
3:93900000-148678909	SBS5	1	1	55
3:93900000-148678909	SBS8	1	1	33
3:93900000-148678909	SBS99	1	1	1
4:119093763-119885331	SBS5	1	1	1
4:119093763-119885331	SBS8	1	1	1
4:119900044-159017619	SBS1	1	1	9
4:119900044-159017619	SBS5	1	1	45
4:119900044-159017619	SBS8	1	1	20
4:119900044-159017619	SBS99	1	1	2
4:159020661-175911529	SBS1	1	1	10
4:159020661-175911529	SBS5	1	1	18
4:159020661-175911529	SBS8	1	1	9
4:159020661-175911529	SBS99	1	1	1
4:175911530-176085673	SBS5	1	1	1
4:175911530-176085673	SBS8	1	1	1
4:176093504-176326627	SBS5	1	1	1
4:176093504-176326627	SBS8	1	1	1
4:176338004-178090017	SBS1	1	1	1
4:176338004-178090017	SBS5	1	1	4
4:176338004-178090017	SBS8	1	1	1
4:178090018-181077660	SBS5	1	0	7
4:178090018-181077660	SBS8	1	0	1
4:178090018-181077660	SBS99	1	0	1
4:181287232-191154275	SBS1	1	0	2
4:181287232-191154275	SBS5	1	0	5
4:181287232-191154275	SBS8	1	0	2
4:18503366-18719603	SBS8	1	1	1
4:19406329-34792357	SBS1	1	1	4
4:19406329-34792357	SBS5	1	1	17
4:19406329-34792357	SBS8	1	1	6
4:34939021-35223282	SBS8	1	1	1
4:35223916-42363674	SBS1	1	1	1
4:35223916-42363674	SBS5	1	1	2
4:35223916-42363674	SBS8	1	1	4
4:35223916-42363674	SBS99	1	1	2
4:39235-18477093	SBS1	1	1	8
4:39235-18477093	SBS5	1	1	28
4:39235-18477093	SBS8	1	1	10
4:39235-18477093	SBS99	1	1	1
4:42369425-48199999	SBS1	1	1	2
4:42369425-48199999	SBS5	1	1	2
4:42369425-48199999	SBS8	1	1	3
4:48200000-52699999	SBS5	1	1	2
4:52700000-93567356	SBS1	1	1	4
4:52700000-93567356	SBS5	1	1	42
4:52700000-93567356	SBS8	1	1	16
4:52700000-93567356	SBS99	1	1	3
4:93570233-119068464	SBS1	1	1	7
4:93570233-119068464	SBS5	1	1	29
4:93570233-119068464	SBS8	1	1	11
4:93570233-119068464	SBS99	1	1	4
5:102702681-135059484	SBS1	1	0	4
5:102702681-135059484	SBS5	1	0	22
5:102702681-135059484	SBS8	1	0	9
5:102702681-135059484	SBS99	1	0	2
5:135059485-162475886	SBS1	1	1	12
5:135059485-162475886	SBS5	1	1	35
5:135059485-162475886	SBS8	1	1	8
5:135059485-162475886	SBS99	1	1	2
5:162475887-163030983	SBS99	1	0	1
5:163146770-163398384	SBS1	1	1	2
5:163723872-164297304	SBS5	1	1	1
5:163723872-164297304	SBS8	1	1	1
5:164304371-166733064	SBS5	1	1	3
5:164304371-166733064	SBS8	1	1	2
5:166764357-167487702	SBS1	1	1	1
5:166764357-167487702	SBS5	1	1	1
5:166764357-167487702	SBS8	1	1	1
5:167502460-169013205	SBS8	1	1	1
5:169028476-180689978	SBS1	1	1	6
5:169028476-180689978	SBS5	1	1	13
5:169028476-180689978	SBS8	1	1	5
5:22500-851475	SBS1	1	1	1
5:22500-851475	SBS5	1	1	3
5:22500-851475	SBS8	1	1	2
5:22500-851475	SBS99	1	1	1
5:46100000-50699999	SBS8	1	1	1
5:50700000-102702680	SBS1	1	1	14
5:50700000-102702680	SBS5	1	1	26
5:50700000-102702680	SBS8	1	1	30
5:50700000-102702680	SBS99	1	1	4
5:851476-46099999	SBS1	1	1	15
5:851476-46099999	SBS5	1	1	63
5:851476-46099999	SBS8	1	1	27
5:851476-46099999	SBS99	1	1	4
6:202452-58699999	SBS1	1	1	14
6:202452-58699999	SBS5	1	1	57
6:202452-58699999	SBS8	1	1	25
6:202452-58699999	SBS99	1	1	5
6:58700000-63299999	SBS1	1	1	1
6:58700000-63299999	SBS5	1	1	2
6:58700000-63299999	SBS8	1	1	2
6:63300000-67476139	SBS1	1	1	2
6:63300000-67476139	SBS5	1	1	3
6:63300000-67476139	SBS8	1	1	5
6:67478441-77654736	SBS1	1	1	8
6:67478441-77654736	SBS5	1	1	11
6:67478441-77654736	SBS8	1	1	4
6:67478441-77654736	SBS99	1	1	1
6:77654737-78047181	SBS5	1	1	1
6:78047182-170921585	SBS1	1	1	16
6:78047182-170921585	SBS5	1	1	80
6:78047182-170921585	SBS8	1	1	39
6:78047182-170921585	SBS99	1	1	2
7:106208873-107723228	SBS8	1	0	3
7:108061395-109368195	SBS99	1	0	1
7:113283064-116173968	SBS5	1	1	4
7:113283064-116173968	SBS8	1	1	3
7:116175171-117837838	SBS1	1	1	1
7:117872861-118612752	SBS1	1	1	1
7:119548313-120624204	SBS5	1	1	2
7:119548313-120624204	SBS8	1	1	1
7:121158709-121860913	SBS5	1	1	2
7:121158709-121860913	SBS8	1	1	1
7:121862146-123340260	SBS5	1	1	3
7:121862146-123340260	SBS8	1	1	1
7:123387812-158821400	SBS1	1	1	8
7:123387812-158821400	SBS5	1	1	38
7:123387812-158821400	SBS8	1	1	17
7:123387812-158821400	SBS99	1	1	3
7:14603429-57999999	SBS1	1	1	11
7:14603429-57999999	SBS5	1	1	32
7:14603429-57999999	SBS8	1	1	14
7:14603429-57999999	SBS99	1	1	4
7:40386-14603428	SBS1	1	1	10
7:40386-14603428	SBS5	1	1	16
7:40386-14603428	SBS8	1	1	3
7:61700000-106208872	SBS1	1	1	10
7:61700000-106208872	SBS5	1	1	47
7:61700000-106208872	SBS8	1	1	24
7:61700000-106208872	SBS99	1	1	2
8:12531171-24050106	SBS1	1	0	2
8:12531171-24050106	SBS5	1	0	10
8:12531171-24050106	SBS8	1	0	1
8:159949-12531170	SBS1	1	1	9
8:159949-12531170	SBS5	1	1	17
8:159949-12531170	SBS8	1	1	9
8:24050107-43099999	SBS1	1	1	5
8:24050107-43099999	SBS5	1	1	25
8:24050107-43099999	SBS8	1	1	14
8:24050107-43099999	SBS99	1	1	1
8:43100000-48099999	SBS1	1	1	1
8:43100000-48099999	SBS5	1	1	2
8:43100000-48099999	SBS8	1	1	1
8:48100000-50727817	SBS5	1	1	4
8:48100000-50727817	SBS8	1	1	1
8:50727818-63975367	SBS1	1	1	8
8:50727818-63975367	SBS5	1	1	8
8:50727818-63975367	SBS8	1	1	7
8:63975368-82150417	SBS1	1	1	6
8:63975368-82150417	SBS5	1	1	19
8:63975368-82150417	SBS8	1	1	5
8:82507337-83173622	SBS1	1	1	1
8:83173623-83247116	SBS5	1	0	1
8:83247117-83696988	SBS1	1	1	1
8:83727211-85417507	SBS1	1	1	1
8:83727211-85417507	SBS5	1	1	1
8:83727211-85417507	SBS8	1	1	2
8:86138069-87351736	SBS1	1	1	1
8:86138069-87351736	SBS5	1	1	1
8:87351737-146364021	SBS1	1	1	22
8:87351737-146364021	SBS5	1	1	74
