segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
10:106091552-135204669	SBS1	1	1	9	0	0
10:106091552-135204669	SBS5	1	1	48	0	0
10:42567501-89574903	SBS1	1	1	19	0	0
10:42567501-89574903	SBS5	1	1	54	0	0
10:90598279-103430697	SBS1	1	1	1	0	0
10:90598279-103430697	SBS5	1	1	15	0	0
10:95074-37999999	SBS1	1	1	15	0	0
10:95074-37999999	SBS5	1	1	62	0	0
11:190010-25253647	SBS1	1	1	7	0	0
11:190010-25253647	SBS5	1	1	55	0	0
11:25277571-48731200	SBS1	1	1	5	0	0
11:25277571-48731200	SBS5	1	1	31	0	0
11:48937501-50350163	SBS5	1	1	4	0	0
11:50620311-51386858	SBS5	1	1	2	0	0
11:51558321-55699999	SBS1	1	1	1	0	0
11:51558321-55699999	SBS5	1	1	4	0	0
11:55700000-67969715	SBS1	1	1	2	0	0
11:55700000-67969715	SBS5	1	1	12	0	0
11:67969716-134452200	SBS1	1	1	19	0	0
11:67969716-134452200	SBS5	1	1	88	0	0
12:110107-33299999	SBS1	1	1	13	0	0
12:110107-33299999	SBS5	1	1	53	0	0
12:132349401-133851894	SBS5	1	1	4	0	0
12:38200000-38350441	SBS5	1	0	1	0	0
12:38396801-75934453	SBS1	1	1	10	0	0
12:38396801-75934453	SBS5	1	1	55	0	0
12:75934454-79460170	SBS1	1	0	2	0	0
12:75934454-79460170	SBS5	1	0	2	0	0
12:79460171-79808984	SBS5	1	0	1	0	0
12:79808985-132349400	SBS1	1	1	10	0	0
12:79808985-132349400	SBS5	1	1	88	0	0
13:16300000-19499999	SBS5	1	1	1	0	0
13:19500000-24230994	SBS1	1	1	1	0	0
13:19500000-24230994	SBS5	1	1	8	0	0
13:24248766-43033142	SBS1	1	1	3	0	0
13:24248766-43033142	SBS5	1	1	30	0	0
13:43033143-46169683	SBS1	1	0	2	0	0
13:43033143-46169683	SBS5	1	0	4	0	0
13:46169684-57456502	SBS1	1	1	3	0	0
13:46169684-57456502	SBS5	1	1	26	0	0
13:57456503-114561945	SBS1	1	1	15	0	0
13:57456503-114561945	SBS5	1	1	93	0	0
14:16100000-19099999	SBS5	1	1	1	0	0
14:19100000-24585741	SBS1	1	1	1	0	0
14:19100000-24585741	SBS5	1	1	4	0	0
14:24585742-24585990	SBS5	1	1	1	0	0
14:24585991-46413705	SBS1	1	1	5	0	0
14:24585991-46413705	SBS5	1	1	27	0	0
14:46596432-106368400	SBS1	1	1	16	0	0
14:46596432-106368400	SBS5	1	1	65	0	0
15:100338801-102531391	SBS5	1	1	4	0	0
15:15800000-20699999	SBS5	1	1	4	0	0
15:20700000-41986772	SBS1	1	1	2	0	0
15:20700000-41986772	SBS5	1	1	34	0	0
15:41986773-41991023	SBS5	1	1	2	0	0
15:41991024-100338800	SBS1	1	1	11	0	0
15:41991024-100338800	SBS5	1	1	78	0	0
16:32520030-33871627	SBS5	1	1	4	0	0
16:33871628-38599999	SBS1	1	1	1	0	0
16:33871628-38599999	SBS5	1	1	8	0	0
16:46430530-88827200	SBS1	1	1	7	0	0
16:46430530-88827200	SBS5	1	1	69	0	0
16:88827201-90354752	SBS1	1	1	1	0	0
16:88827201-90354752	SBS5	1	1	4	0	0
16:90538-32520029	SBS1	1	1	11	0	0
16:90538-32520029	SBS5	1	1	45	0	0
17:14599839-14628066	SBS5	1	1	1	0	0
17:14628067-16864102	SBS5	1	1	2	0	0
17:16864292-22199999	SBS5	1	1	5	0	0
17:22200000-25799999	SBS5	1	1	2	0	0
17:25800000-42268631	SBS1	1	1	3	0	0
17:25800000-42268631	SBS5	1	1	26	0	0
17:42268632-43912820	SBS5	1	1	2	0	0
17:43912821-78774600	SBS1	1	1	13	0	0
17:43912821-78774600	SBS5	1	1	44	0	0
17:6603014-13460036	SBS5	1	0	11	0	0
17:7-6603013	SBS1	1	1	1	0	0
17:7-6603013	SBS5	1	1	10	0	0
17:80001554-81195209	SBS1	1	1	2	0	0
17:80001554-81195209	SBS5	1	1	2	0	0
18:15385469-18999999	SBS5	1	1	1	0	0
18:171131-15385468	SBS1	1	1	5	0	0
18:171131-15385468	SBS5	1	1	26	0	0
18:19000000-64489114	SBS1	1	1	14	0	0
18:19000000-64489114	SBS5	1	1	70	0	0
18:64489115-76117000	SBS1	1	1	3	0	0
18:64489115-76117000	SBS5	1	1	20	0	0
18:76117001-78077247	SBS1	1	1	1	0	0
19:108847-24373904	SBS1	1	1	5	0	0
19:108847-24373904	SBS5	1	1	45	0	0
19:28600000-29084842	SBS1	1	0	1	0	0
19:29084843-31273584	SBS1	1	1	1	0	0
19:29084843-31273584	SBS5	1	1	8	0	0
19:32602392-35792211	SBS1	1	1	1	0	0
19:32602392-35792211	SBS5	1	1	2	0	0
19:36140215-36179524	SBS5	1	1	1	0	0
19:36179785-42792730	SBS1	1	1	1	0	0
19:36179785-42792730	SBS5	1	1	7	0	0
19:42792731-42982199	SBS5	1	1	1	0	0
19:42982200-44479713	SBS1	1	1	1	0	0
19:42982200-44479713	SBS5	1	1	5	0	0
19:44624380-44815661	SBS5	1	1	1	0	0
19:44815970-46399134	SBS1	1	1	1	0	0
19:44815970-46399134	SBS5	1	1	2	0	0
19:46399135-49065833	SBS5	1	0	4	0	0
19:49163181-59128982	SBS1	1	1	2	0	0
19:49163181-59128982	SBS5	1	1	23	0	0
1:10001-98536800	SBS1	1	1	21	0	0
1:10001-98536800	SBS5	1	1	140	0	0
1:106583198-106785823	SBS5	1	0	1	0	0
1:106785874-121350938	SBS1	1	1	5	0	0
1:106785874-121350938	SBS5	1	1	17	0	0
1:128900000-146393195	SBS5	1	1	6	0	0
1:146695215-146978782	SBS5	1	0	1	0	0
1:146978783-147826274	SBS5	1	0	1	0	0
1:147826275-180823906	SBS1	1	1	6	0	0
1:147826275-180823906	SBS5	1	1	46	0	0
1:181171086-191014022	SBS1	1	1	1	0	0
1:181171086-191014022	SBS5	1	1	14	0	0
1:191051023-197565520	SBS1	1	1	1	0	0
1:191051023-197565520	SBS5	1	1	14	0	0
1:197594899-201142082	SBS5	1	1	6	0	0
1:201142083-202657061	SBS5	1	0	1	0	0
1:202657062-247247500	SBS1	1	1	9	0	0
1:202657062-247247500	SBS5	1	1	61	0	0
1:247247501-249250620	SBS1	1	1	1	0	0
1:247247501-249250620	SBS5	1	1	3	0	0
1:98536801-98635728	SBS5	1	1	1	0	0
1:98635729-106583197	SBS1	1	1	5	0	0
1:98635729-106583197	SBS5	1	1	13	0	0
20:13267903-18646411	SBS1	1	1	1	0	0
20:13267903-18646411	SBS5	1	1	10	0	0
20:18649711-25599999	SBS1	1	1	4	0	0
20:18649711-25599999	SBS5	1	1	4	0	0
20:24347-13233560	SBS1	1	1	1	0	0
20:24347-13233560	SBS5	1	1	14	0	0
20:25600000-29399999	SBS5	1	1	2	0	0
20:29400000-62432500	SBS1	1	1	16	0	0
20:29400000-62432500	SBS5	1	1	51	0	0
21:10672501-10858402	SBS5	2	0	2	0	0
21:14300000-39878516	SBS1	1	1	5	0	0
21:14300000-39878516	SBS5	1	1	40	0	0
21:39878517-42868090	SBS5	1	0	2	0	0
21:42868091-46937500	SBS5	1	1	8	0	0
21:46937501-48129894	SBS5	1	1	1	0	0
22:12200000-17899999	SBS5	1	1	3	0	0
22:18055380-20842421	SBS5	1	0	4	0	0
22:20842422-22279256	SBS5	1	1	5	0	0
22:22279257-24323908	SBS5	1	0	2	0	0
22:24323909-38166415	SBS1	1	1	1	0	0
22:24323909-38166415	SBS5	1	1	23	0	0
22:38166416-38864631	SBS5	1	0	3	0	0
22:38870677-46497410	SBS1	1	1	1	0	0
22:38870677-46497410	SBS5	1	1	13	0	0
22:46497486-49687500	SBS1	1	1	3	0	0
22:46497486-49687500	SBS5	1	1	7	0	0
22:49687501-51304565	SBS5	1	1	3	0	0
2:16078-32193024	SBS1	1	1	9	0	0
2:16078-32193024	SBS5	1	1	51	0	0
2:185096313-195869601	SBS1	1	1	1	0	0
2:185096313-195869601	SBS5	1	1	11	0	0
2:195869602-241389838	SBS1	1	1	8	0	0
2:195869602-241389838	SBS5	1	1	49	0	0
2:241389839-242985493	SBS5	1	1	2	0	0
2:32193091-32239850	SBS5	1	1	1	0	0
2:32240105-81665864	SBS1	1	1	15	0	0
2:32240105-81665864	SBS5	1	1	66	0	0
2:81665865-89872801	SBS1	1	1	3	0	0
2:81665865-89872801	SBS5	1	1	17	0	0
2:89872802-96799999	SBS1	1	1	2	0	0
2:89872802-96799999	SBS5	1	1	4	0	0
2:98179781-185096312	SBS1	1	1	27	0	0
2:98179781-185096312	SBS5	1	1	129	0	0
3:100074-9484748	SBS1	1	1	3	0	0
3:100074-9484748	SBS5	1	1	12	0	0
3:12144549-35362354	SBS1	1	1	6	0	0
3:12144549-35362354	SBS5	1	1	29	0	0
3:164467734-198022429	SBS1	1	1	5	0	0
3:164467734-198022429	SBS5	1	1	55	0	0
3:35399819-70709158	SBS1	1	1	4	0	0
3:35399819-70709158	SBS5	1	1	58	0	0
3:70709159-71638723	SBS1	1	0	1	0	0
3:70709159-71638723	SBS5	1	0	1	0	0
3:71638724-83017265	SBS1	1	1	4	0	0
3:71638724-83017265	SBS5	1	1	16	0	0
3:83054001-87899999	SBS1	1	1	3	0	0
3:83054001-87899999	SBS5	1	1	7	0	0
3:87900000-93899999	SBS1	1	1	2	0	0
3:87900000-93899999	SBS5	1	1	14	0	0
3:93900000-164467733	SBS1	1	1	12	0	0
3:93900000-164467733	SBS5	1	1	99	0	0
3:9484749-12144548	SBS5	1	0	2	0	0
4:182573893-191154275	SBS1	1	1	3	0	0
4:182573893-191154275	SBS5	1	1	15	0	0
4:21117-48199999	SBS1	1	1	16	0	0
4:21117-48199999	SBS5	1	1	70	0	0
4:48200000-52699999	SBS1	1	1	1	0	0
4:48200000-52699999	SBS5	1	1	3	0	0
4:52700000-63773721	SBS1	1	1	4	0	0
4:52700000-63773721	SBS5	1	1	21	0	0
4:63836941-182500565	SBS1	1	1	23	0	0
4:63836941-182500565	SBS5	1	1	190	0	0
5:100664656-117464068	SBS1	1	1	3	0	0
5:100664656-117464068	SBS5	1	1	23	0	0
5:11310976-40164222	SBS1	2	1	5	1	0
5:11310976-40164222	SBS5	2	1	45	8	0
5:117487852-180689978	SBS1	1	1	14	0	0
5:117487852-180689978	SBS5	1	1	83	0	0
5:22500-11310975	SBS1	2	1	1	1	0
5:22500-11310975	SBS5	2	1	15	2	0
5:40164223-46099999	SBS1	1	1	3	0	0
5:40164223-46099999	SBS5	1	1	11	0	0
5:46100000-50699999	SBS5	1	1	5	0	0
5:50700000-59113189	SBS1	1	1	1	0	0
5:50700000-59113189	SBS5	1	1	7	0	0
5:59113190-89150600	SBS1	1	1	11	0	0
5:59113190-89150600	SBS5	1	1	33	0	0
5:89224002-98523941	SBS5	1	1	16	0	0
5:98523942-100664655	SBS5	1	1	1	0	0
6:201976-57997430	SBS1	1	1	11	0	0
6:201976-57997430	SBS5	1	1	67	0	0
6:57997431-58699999	SBS5	1	1	2	0	0
6:58700000-63299999	SBS1	1	1	1	0	0
6:58700000-63299999	SBS5	1	1	4	0	0
6:63300000-80448969	SBS1	1	1	5	0	0
6:63300000-80448969	SBS5	1	1	19	0	0
6:80720657-170915126	SBS1	1	1	25	0	0
6:80720657-170915126	SBS5	1	1	131	0	0
7:11759543-57999999	SBS1	1	1	14	0	0
7:11759543-57999999	SBS5	1	1	84	0	0
7:124805737-127652929	SBS1	1	1	2	0	0
7:124805737-127652929	SBS5	1	1	2	0	0
7:127652930-158821400	SBS1	1	1	5	0	0
7:127652930-158821400	SBS5	1	1	49	0	0
7:40386-11685199	SBS1	1	1	3	0	0
