segment_id	sig_max	major_cn	minor_cn	N1
10:134590339-135389924	SBS5	1	0	2
10:38000000-42299999	SBS5	1	0	1
10:42300000-47703032	SBS31	1	0	1
10:42300000-47703032	SBS5	1	0	7
10:42300000-47703032	SBS51	1	0	1
10:47703033-134590338	SBS1	1	0	3
10:47703033-134590338	SBS2	1	0	4
10:47703033-134590338	SBS31	1	0	4
10:47703033-134590338	SBS5	1	0	39
10:47703033-134590338	SBS51	1	0	5
10:90127-37999999	SBS1	1	0	7
10:90127-37999999	SBS13	1	0	1
10:90127-37999999	SBS2	1	0	2
10:90127-37999999	SBS31	1	0	1
10:90127-37999999	SBS5	1	0	31
10:90127-37999999	SBS51	1	0	6
11:16497660-21252421	SBS2	1	0	1
11:16497660-21252421	SBS5	1	0	1
11:20721-225195	SBS5	1	0	1
11:21262127-21273918	SBS2	1	1	1
11:21896618-21896654	SBS5	1	1	1
11:21901388-26771801	SBS13	1	0	1
11:21901388-26771801	SBS5	1	0	2
11:225196-16482059	SBS1	1	0	1
11:225196-16482059	SBS31	1	0	2
11:225196-16482059	SBS5	1	0	6
11:225196-16482059	SBS51	1	0	2
11:26771802-27974397	SBS5	1	1	1
11:27974398-30173749	SBS51	1	0	1
11:30284970-33991299	SBS5	1	0	1
11:30284970-33991299	SBS51	1	0	1
11:33991300-34511711	SBS13	1	1	1
11:34515176-46453056	SBS1	1	0	1
11:34515176-46453056	SBS5	1	0	9
11:34515176-46453056	SBS51	1	0	1
11:46453057-47091344	SBS5	1	0	1
11:47091345-47369891	SBS5	1	1	1
11:47369892-51599999	SBS31	1	0	1
11:47369892-51599999	SBS5	1	0	3
11:55700000-64464639	SBS1	1	0	2
11:55700000-64464639	SBS5	1	0	4
11:64517577-64544552	SBS13	1	0	1
11:65327547-71504643	SBS5	1	1	3
11:65327547-71504643	SBS51	1	1	3
11:72137528-72492482	SBS51	1	1	1
11:75036502-75827212	SBS1	1	0	1
11:76156733-85455828	SBS5	1	0	2
