segment_id	sig_max	major_cn	minor_cn	N1
10:106142-37999999	SBS5	1	1	29
10:38000000-42299999	SBS5	1	1	3
10:42300000-43611773	SBS5	1	1	1
10:43611833-57561149	SBS5	1	1	8
10:57561502-61630995	SBS5	1	1	3
10:61631185-135389924	SBS5	1	1	28
11:198986-51599999	SBS5	1	1	34
11:51600000-55699999	SBS5	1	1	2
11:55700000-134442500	SBS5	1	1	58
12:110107-33299999	SBS5	1	1	20
12:132342501-133851894	SBS5	1	1	4
12:33300000-38199999	SBS5	1	1	2
12:38200000-132342500	SBS5	1	1	59
13:114137501-115169877	SBS5	1	1	2
13:16300000-19499999	SBS5	1	1	1
13:19500000-114137500	SBS5	1	1	62
14:20433516-106362500	SBS5	1	1	53
15:100332501-102531391	SBS5	1	1	6
15:15800000-20699999	SBS5	1	1	1
15:20700000-100332500	SBS5	1	1	32
16:34600000-38599999	SBS5	1	1	1
16:38600000-88822500	SBS5	1	1	29
16:88822501-90354752	SBS5	1	1	3
16:90024-34599999	SBS5	1	1	26
17:1389-22199999	SBS5	1	1	14
17:25800000-78772500	SBS5	1	1	23
17:78772501-81195209	SBS5	1	1	2
18:130031-15399999	SBS5	1	1	8
18:19000000-76112500	SBS5	1	1	26
18:27500-130030	SBS5	1	1	1
18:76112501-78077247	SBS5	1	1	5
19:24400000-28599999	SBS5	1	1	2
19:269254-24399999	SBS5	1	1	13
19:28600000-59128982	SBS5	1	1	23
1:10001-74385661	SBS5	1	1	38
1:128900000-247247500	SBS5	1	1	46
1:247247501-249250620	SBS5	1	1	3
1:74612783-121499999	SBS5	1	1	22
20:24347-25599999	SBS5	1	1	11
20:25600000-29399999	SBS5	1	1	1
20:29400000-62432500	SBS5	1	1	21
21:14300000-15304080	SBS5	1	1	2
21:15304081-46937500	SBS5	1	1	29
21:46937501-48129894	SBS5	1	1	2
22:17900000-49687500	SBS5	1	1	34
2:12821-90499999	SBS5	1	1	51
2:90500000-96799999	SBS5	1	1	2
2:96800000-242999968	SBS5	1	1	67
3:62226-87899999	SBS5	1	1	45
3:87900000-93899999	SBS5	1	1	2
3:93900000-198022429	SBS5	1	1	45
4:44436-48199999	SBS5	1	1	28
4:52700000-191154275	SBS5	1	1	82
5:14676-804813	SBS5	1	1	2
5:46100000-50699999	SBS5	1	1	1
5:50700000-180709915	SBS5	1	1	78
5:804814-46099999	SBS5	1	1	23
6:39919-58699999	SBS5	1	1	33
6:63300000-170904973	SBS5	1	1	76
7:40386-57999999	SBS5	1	1	40
7:58000000-61699999	SBS5	1	1	2
7:61700000-158817500	SBS5	1	1	68
8:159179-43099999	SBS5	1	1	28
8:48100000-146224800	SBS5	1	1	48
9:192219-47299999	SBS5	1	1	18
9:66527501-140267500	SBS5	1	1	34
X:1-58099999	SBS5	1	1	39
X:58100000-62999999	SBS5	1	1	1
X:63000000-154929638	SBS5	1	1	56
