	segment_id	sig_max	major_cn	minor_cn	N1	N4	N2	N3	N6	N9	N5	N7	N10	N8
0	chr10:1-2052663	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
1	chr10:1-2052663	SBS100	4	2	0	1	0	0	0	0	0	0	0	0
2	chr10:1-2052663	SBS3	4	2	25	1	1	2	0	0	0	0	0	0
3	chr10:103996934-113046451	SBS1	2	0	1	0	1	0	0	0	0	0	0	0
4	chr10:103996934-113046451	SBS100	2	0	2	0	0	0	0	0	0	0	0	0
5	chr10:103996934-113046451	SBS3	2	0	45	0	1	0	0	0	0	0	0	0
6	chr10:10498791-10739027	SBS3	4	2	2	0	0	0	0	0	0	0	0	0
7	chr10:10756750-18436090	SBS1	4	2	6	0	1	0	0	0	0	0	0	0
8	chr10:10756750-18436090	SBS100	4	2	7	0	0	0	0	0	0	0	0	0
9	chr10:10756750-18436090	SBS3	4	2	56	2	5	2	0	0	0	0	0	0
10	chr10:113080720-114821800	SBS1	2	0	1	0	0	0	0	0	0	0	0	0
11	chr10:113080720-114821800	SBS3	2	0	5	0	0	0	0	0	0	0	0	0
12	chr10:114821855-121970928	SBS100	2	0	2	0	1	0	0	0	0	0	0	0
13	chr10:114821855-121970928	SBS3	2	0	26	0	0	0	0	0	0	0	0	0
14	chr10:121973470-123701061	SBS100	2	0	2	0	0	0	0	0	0	0	0	0
15	chr10:121973470-123701061	SBS3	2	0	6	0	2	0	0	0	0	0	0	0
16	chr10:123701064-124797212	SBS1	2	0	1	0	0	0	0	0	0	0	0	0
17	chr10:123701064-124797212	SBS100	2	0	1	0	0	0	0	0	0	0	0	0
18	chr10:123701064-124797212	SBS3	2	0	3	0	0	0	0	0	0	0	0	0
19	chr10:124797270-126253229	SBS1	2	0	1	0	0	0	0	0	0	0	0	0
20	chr10:124797270-126253229	SBS3	2	0	7	0	3	0	0	0	0	0	0	0
21	chr10:126253268-127122276	SBS3	2	0	1	0	0	0	0	0	0	0	0	0
22	chr10:127515778-131414865	SBS1	2	0	2	0	0	0	0	0	0	0	0	0
