	chromosome	start	end	t1	t2	t3	t4	t5	t6	sum_t1_to_t1	sum_t1_to_t2	sum_t1_to_t3	sum_t1_to_t4	sum_t1_to_t5	sum_t1_to_t6	fully_solved	no_solution	tree_structure
0	chr17	1	12349159	3	5/2					3	11/2					True	False	2_0.1
1	chr1	1	19471867	7/2						7/2						True	False	1_1.1
2	chr4	1	50726025	8						8						True	False	1_0.1
3	chr9	1	12759405	(1/4, 1)	-2*t1 + 2	t1 - 1/4										False	False	2_2.1
4	chr2	2898899	26323792	3	0					3	3					True	False	2_1.1
5	chr19	4630920	25844926	2	4/3					2	10/3					True	False	2_1.1
6	chr5	8842001	29926572	3						3						True	False	1_1.1
7	chr17	12416513	24849829	1	5/2					1	7/2					True	False	2_0.1
8	chr15	18362627	44547396	3						3						True	False	1_1.1
9	chr1	19471923	36585859	7/2						7/2						True	False	1_1.1
10	chr16	22097014	30407019	1	0	4/3				1	1	7/3				True	False	3_0.1
11	chr19	25844927	32584653	2	3/2					2	7/2					True	False	2_0.1
12	chr11	27254301	37171498	(3/4, 3/2)	-2*t1 + 3	t1 - 3/4										False	False	2_2.1
13	chr20	28237290	37350034	1	10/3					1	13/3					True	False	2_1.1
14	chr17	28570042	46933541	2	2					2	4					True	False	2_0.1
15	chr19	32584710	58617616	0	3					0	3					True	False	2_0.1
16	chr17	46933581	76574500	1	7/2					1	9/2					True	False	2_0.1
17	chr5	48272854	111578000	6						6						True	False	1_0.1
18	chr12	49010185	126191091	2	2					2	4					True	False	2_0.1
19	chr4	50726026	89986000	5						5						True	False	1_0.1
20	chr14	55784990	96770364	9						9						True	False	1_0.1
21	chr11	58861854	69616354	0	2					0	2					True	False	2_1.1
22	chr2	61739662	79166000	3.5	0.0					3.5	3.5					True	False	2_1.1
23	chr7	65782721	121956970	6						6						True	False	1_0.1
24	chr3	65900750	92214015	1	3					1	4					True	False	2_0.1
25	chr18	67448203	80373285	4	1/2					4	9/2					True	False	2_0.1
26	chr6	68768899	102903531	1	1					1	2					True	False	2_1.1
27	chr1	80358735	98561154	5/2						5/2						True	False	1_1.1
28	chr2	82102865	93139350	(1/2, 3/2)	-2*t1 + 3	t1 - 1/2										False	False	2_2.1
29	chr13	89815369	102118000													False	True	5_0.1
30	chr13	89815369	102118000													False	True	5_0.2
31	chr13	89815369	102118000													False	True	5_0.3
32	chr13	89815369	102118000	0	1	t5 + 1/5	-2*t5 + 3/5	(0, 3/10)		0	1					False	False	5_0.4
33	chr2	93139351	108111904	1	3					1	4					True	False	2_0.1
34	chr14	96770545	107043718	0	5/2					0	5/2					True	False	2_0.1
35	chr13	102521228	113506732													False	True	6_0.10
36	chr13	102521228	113506732													False	True	6_0.11
37	chr13	102521228	113506732													False	True	6_0.1
38	chr13	102521228	113506732													False	True	6_0.2
39	chr13	102521228	113506732													False	True	6_0.3
40	chr13	102521228	113506732	0.0	0.62500228	0.0	t6 + 0.937419485	-2*t6	(0, 0)	0.0	0.62500228	0.62500228				False	False	6_0.4
41	chr13	102521228	113506732													False	True	6_0.5
42	chr13	102521228	113506732													False	True	6_0.6
43	chr13	102521228	113506732													False	True	6_0.7
44	chr13	102521228	113506732													False	True	6_0.8
45	chr13	102521228	113506732													False	True	6_0.9
46	chr11	105623999	133173282	5						5						True	False	1_0.1
47	chr2	122464433	166577627	6	1					6	7					True	False	2_0.1
48	chr7	141525396	159345973	8						8						True	False	1_0.1
49	chr6	142110300	162806890	1	4/3					1	7/3					True	False	2_1.1
50	chr1	147049791	158171045	1	0	1				1	1	2				True	False	3_1.1
51	chr1	158172857	195555423	0.83822616	1.44133284	0.0				0.83822616	2.279559	2.279559				True	False	3_1.1
52	chr2	187748396	208973043	1	3					1	4					True	False	2_0.1
