Chromosome	Segment_Start	Segment_End	Major_CN	Minor_CN
1	1	125000000	2	2
1	125000000	249250621	2	2
10	1	40000000	2	2
10	40000000	135534747	2	2
11	1	53000000	2	2
11	53000000	135006516	2	2
12	1	35000000	2	2
12	35000000	133851895	2	2
17	1	25000000	4	2
17	25000000	81195210	2	2
2	1	93000000	2	1
2	93000000	243199373	2	2
3	1	91000000	2	2
3	91000000	198022430	2	2
4	1	50000000	2	2
4	50000000	191154276	2	2
5	1	48000000	2	2
5	48000000	180915260	2	2
6	1	60000000	2	2
6	60000000	171115067	2	2
7	1	60000000	2	2
7	60000000	159138663	2	2
8	1	45000000	2	2
8	45000000	146364022	2	2
9	1	49000000	2	2
9	49000000	141213431	2	2
