,segment_id,chromosome,start,end,file_path,t1,t2,averaged,solved,fully_solved,t1_norm,t2_norm,t1_norm_cumsum,t2_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:24191622-123605522,chr1,24191622,123605522,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,1,[1.0],99413900
1,chr1:123605523-149849135,chr1,123605523,149849135,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,5/3,False,True,False,0.0,1.0,0.0,1.0,2,1,"[0.0, 1.0]",26243612
2,chr1:175450217-182400620,chr1,175450217,182400620,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,False,True,False,1.0,,1.0,,1,1,[1.0],6950403
3,chr1:186680612-228556000,chr1,186680612,228556000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,6,,False,True,False,1.0,,1.0,,1,1,[1.0],41875388
4,chr1:228556001-247485000,chr1,228556001,247485000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,5/3,False,True,False,0.5454545454545454,0.45454545454545453,0.5454545454545454,1.0,2,1,"[0.5454545454545454, 1.0]",18928999
5,chr2:75718001-139301694,chr2,75718001,139301694,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17/2,,False,True,False,1.0,,1.0,,1,1,[1.0],63583693
6,chr3:5221001-17662840,chr3,5221001,17662840,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1/3,False,True,False,0.8571428571428571,0.14285714285714285,0.8571428571428571,1.0,2,1,"[0.8571428571428571, 1.0]",12441839
7,chr3:17662841-92214015,chr3,17662841,92214015,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,12,,False,True,False,1.0,,1.0,,1,0,[1.0],74551174
8,chr3:96705544-198295559,chr3,96705544,198295559,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,23/2,,False,True,False,1.0,,1.0,,1,1,[1.0],101590015
9,chr4:1-50726025,chr4,1,50726025,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,16,,False,True,False,1.0,,1.0,,1,0,[1.0],50726024
