	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
0	chr10:1-3046983	SBS1	2	1	2	0	0
1	chr10:1-3046983	SBS2	2	1	1	0	0
2	chr10:1-3046983	SBS3	2	1	3	0	0
3	chr10:1-3046983	SBS5	2	1	9	2	0
4	chr10:1-3046983	SBS8	2	1	4	2	0
5	chr10:101061181-117419717	SBS1	1	1	1	0	0
6	chr10:101061181-117419717	SBS13	1	1	5	0	0
7	chr10:101061181-117419717	SBS2	1	1	4	0	0
8	chr10:101061181-117419717	SBS3	1	1	16	0	0
9	chr10:101061181-117419717	SBS5	1	1	13	0	0
10	chr10:101061181-117419717	SBS8	1	1	13	0	0
11	chr10:117420640-130509018	SBS1	1	1	2	0	0
12	chr10:117420640-130509018	SBS13	1	1	2	0	0
13	chr10:117420640-130509018	SBS2	1	1	1	0	0
14	chr10:117420640-130509018	SBS3	1	1	17	0	0
15	chr10:117420640-130509018	SBS5	1	1	6	0	0
16	chr10:117420640-130509018	SBS8	1	1	8	0	0
17	chr10:130518501-133797422	SBS13	1	1	1	0	0
18	chr10:130518501-133797422	SBS3	1	1	7	0	0
19	chr10:130518501-133797422	SBS5	1	1	2	0	0
20	chr10:130518501-133797422	SBS8	1	1	1	0	0
21	chr10:17983212-18923241	SBS8	2	1	1	0	0
22	chr10:18923306-27157973	SBS1	2	1	1	0	0
23	chr10:18923306-27157973	SBS13	2	1	1	0	0
24	chr10:18923306-27157973	SBS2	2	1	1	0	0
25	chr10:18923306-27157973	SBS3	2	1	8	4	0
26	chr10:18923306-27157973	SBS5	2	1	5	1	0
27	chr10:18923306-27157973	SBS8	2	1	2	1	0
28	chr10:27158091-33396936	SBS13	2	1	2	3	0
29	chr10:27158091-33396936	SBS2	2	1	0	1	0
30	chr10:27158091-33396936	SBS3	2	1	3	3	0
31	chr10:27158091-33396936	SBS5	2	1	3	1	0
32	chr10:27158091-33396936	SBS8	2	1	2	0	0
33	chr10:3047017-4412897	SBS1	2	1	1	0	0
34	chr10:3047017-4412897	SBS2	2	1	1	0	0
35	chr10:3047017-4412897	SBS3	2	1	2	3	0
36	chr10:33398067-38489000	SBS13	1	1	1	0	0
37	chr10:33398067-38489000	SBS2	1	1	1	0	0
38	chr10:33398067-38489000	SBS3	1	1	3	0	0
39	chr10:33398067-38489000	SBS5	1	1	2	0	0
40	chr10:33398067-38489000	SBS8	1	1	2	0	0
41	chr10:38489001-40640101	SBS13	1	0	1	0	0
42	chr10:38489001-40640101	SBS2	1	0	1	0	0
43	chr10:38489001-40640101	SBS3	1	0	7	0	0
44	chr10:38489001-40640101	SBS5	1	0	6	0	0
45	chr10:38489001-40640101	SBS8	1	0	1	0	0
46	chr10:40640102-73460695	SBS1	1	1	6	0	0
47	chr10:40640102-73460695	SBS13	1	1	1	0	0
48	chr10:40640102-73460695	SBS2	1	1	9	0	0
49	chr10:40640102-73460695	SBS3	1	1	16	0	0
50	chr10:40640102-73460695	SBS5	1	1	25	0	0
51	chr10:40640102-73460695	SBS8	1	1	14	0	0
52	chr10:4413388-17983162	SBS1	2	1	2	2	0
53	chr10:4413388-17983162	SBS13	2	1	1	0	0
54	chr10:4413388-17983162	SBS2	2	1	4	1	0
55	chr10:4413388-17983162	SBS3	2	1	12	2	0
56	chr10:4413388-17983162	SBS5	2	1	10	2	0
