segment_id	sig_max	major_cn	minor_cn	N1
10:38000000-42299999	SBS1	1	1	2
10:38000000-42299999	SBS5	1	1	3
10:42300000-135389924	SBS1	1	1	13
10:42300000-135389924	SBS18	1	1	2
10:42300000-135389924	SBS5	1	1	62
10:90127-37999999	SBS1	1	1	4
10:90127-37999999	SBS18	1	1	2
10:90127-37999999	SBS5	1	1	23
11:190010-51599999	SBS1	1	1	10
11:190010-51599999	SBS18	1	1	5
11:190010-51599999	SBS5	1	1	26
11:51600000-55699999	SBS1	1	1	1
11:55700000-134442500	SBS1	1	1	7
11:55700000-134442500	SBS18	1	1	7
11:55700000-134442500	SBS5	1	1	37
12:110107-33299999	SBS1	1	1	6
12:110107-33299999	SBS18	1	1	1
12:110107-33299999	SBS5	1	1	15
12:33300000-38199999	SBS18	1	1	2
12:33300000-38199999	SBS5	1	1	2
12:38200000-40812117	SBS18	1	1	1
12:38200000-40812117	SBS5	1	1	1
12:40848670-132342500	SBS1	1	1	15
12:40848670-132342500	SBS18	1	1	2
12:40848670-132342500	SBS5	1	1	41
13:19500000-21519007	SBS1	1	1	1
13:19500000-21519007	SBS5	1	1	2
13:21519039-22052200	SBS1	1	1	1
13:22053868-26029659	SBS18	1	1	1
13:22053868-26029659	SBS5	1	1	2
13:26029660-26555255	SBS5	1	0	2
13:26563536-26564467	SBS5	1	1	1
13:26565008-35605225	SBS5	1	1	2
13:35605226-35934581	SBS1	1	1	1
13:35605226-35934581	SBS5	1	1	1
13:36086709-43302508	SBS1	1	1	2
13:36086709-43302508	SBS18	1	1	1
13:36086709-43302508	SBS5	1	1	5
13:43302509-43312261	SBS5	1	1	1
13:43312262-45396641	SBS5	1	0	1
13:45399559-45907624	SBS5	1	1	1
13:45907846-73500214	SBS1	1	0	6
13:45907846-73500214	SBS18	1	0	4
13:45907846-73500214	SBS5	1	0	13
13:73500215-77775017	SBS1	1	0	1
13:77775018-114137500	SBS1	1	1	4
13:77775018-114137500	SBS18	1	1	1
13:77775018-114137500	SBS5	1	1	28
14:19100000-75164985	SBS1	1	1	9
14:19100000-75164985	SBS18	1	1	1
14:19100000-75164985	SBS5	1	1	30
14:75164986-81009126	SBS1	1	0	1
14:75164986-81009126	SBS5	1	0	1
14:81009127-106362500	SBS1	1	1	3
14:81009127-106362500	SBS5	1	1	15
15:100332501-102531391	SBS5	1	1	1
15:15800000-20699999	SBS18	1	1	1
15:20700000-100332500	SBS1	1	1	10
15:20700000-100332500	SBS18	1	1	3
15:20700000-100332500	SBS5	1	1	22
16:100010-34599999	SBS1	1	1	11
16:100010-34599999	SBS5	1	1	17
16:34600000-38599999	SBS5	1	1	1
16:38600000-72350866	SBS1	1	1	2
16:38600000-72350866	SBS5	1	1	18
16:72350867-88870021	SBS1	1	1	1
16:72350867-88870021	SBS18	1	1	1
16:72350867-88870021	SBS5	1	1	8
17:22200000-25799999	SBS5	1	1	1
17:25800000-78772500	SBS1	1	1	5
17:25800000-78772500	SBS18	1	1	1
17:25800000-78772500	SBS5	1	1	21
17:7-22199999	SBS1	1	1	2
17:7-22199999	SBS5	1	1	8
17:78772501-81195209	SBS5	1	1	1
18:19000000-76067000	SBS1	1	1	15
18:19000000-76067000	SBS18	1	1	4
18:19000000-76067000	SBS5	1	1	28
18:27500-15399999	SBS18	1	1	1
18:27500-15399999	SBS5	1	1	3
18:76067001-78077247	SBS5	1	1	2
19:2327063-5538537	SBS5	1	1	4
19:28600000-59128982	SBS1	1	1	8
19:28600000-59128982	SBS18	1	1	1
19:28600000-59128982	SBS5	1	1	10
19:6785880-24399999	SBS1	1	1	3
19:6785880-24399999	SBS5	1	1	6
1:10001-61460003	SBS1	1	1	4
1:10001-61460003	SBS18	1	1	1
1:10001-61460003	SBS5	1	1	21
1:106904695-121499999	SBS1	1	1	2
1:106904695-121499999	SBS18	1	1	2
1:106904695-121499999	SBS5	1	1	8
1:128900000-247247500	SBS1	1	1	12
1:128900000-247247500	SBS18	1	1	7
1:128900000-247247500	SBS5	1	1	44
1:61460004-62261030	SBS5	1	0	1
1:62261031-106653564	SBS1	1	1	4
1:62261031-106653564	SBS18	1	1	2
1:62261031-106653564	SBS5	1	1	23
20:29400000-62432500	SBS1	1	1	7
20:29400000-62432500	SBS18	1	1	1
20:29400000-62432500	SBS5	1	1	11
20:32013-25599999	SBS1	1	1	2
20:32013-25599999	SBS5	1	1	10
21:10900000-14299999	SBS1	1	1	1
21:10900000-14299999	SBS5	1	1	1
21:14300000-34784810	SBS1	1	1	5
21:14300000-34784810	SBS5	1	1	16
21:34784846-39824979	SBS1	1	1	1
21:34784846-39824979	SBS5	1	1	3
21:39825054-42836244	SBS1	1	1	1
21:39825054-42836244	SBS5	1	1	2
21:42868123-46937500	SBS1	1	1	1
21:42868123-46937500	SBS5	1	1	1
22:12200000-17899999	SBS1	1	1	1
22:17900000-49687500	SBS1	1	1	3
22:17900000-49687500	SBS5	1	1	14
2:181106899-189316112	SBS18	1	1	2
2:181106899-189316112	SBS5	1	1	5
2:189316113-242985695	SBS1	1	1	6
2:189316113-242985695	SBS18	1	1	1
2:189316113-242985695	SBS5	1	1	18
2:20016-27265192	SBS1	1	1	2
2:20016-27265192	SBS5	1	1	15
2:27265193-90499999	SBS1	1	1	10
2:27265193-90499999	SBS18	1	1	4
2:27265193-90499999	SBS5	1	1	21
2:96800000-174269961	SBS1	1	1	8
2:96800000-174269961	SBS18	1	1	5
2:96800000-174269961	SBS5	1	1	39
3:100074-69736460	SBS1	1	1	10
3:100074-69736460	SBS18	1	1	2
3:100074-69736460	SBS5	1	1	28
3:131928826-192767281	SBS1	1	1	7
3:131928826-192767281	SBS18	1	1	3
3:131928826-192767281	SBS5	1	1	20
3:192767282-198022429	SBS1	1	1	1
3:192767282-198022429	SBS18	1	1	1
3:192767282-198022429	SBS5	1	1	1
3:69736461-77333379	SBS1	1	0	1
3:69736461-77333379	SBS5	1	0	1
3:77863842-79512798	SBS5	1	0	1
3:79512799-87899999	SBS1	1	1	1
3:79512799-87899999	SBS5	1	1	11
3:87900000-93899999	SBS1	1	1	1
3:87900000-93899999	SBS5	1	1	3
3:93900000-131928825	SBS1	1	1	12
3:93900000-131928825	SBS18	1	1	1
3:93900000-131928825	SBS5	1	1	18
4:36510-48199999	SBS1	1	1	10
4:36510-48199999	SBS18	1	1	5
4:36510-48199999	SBS5	1	1	30
4:52700000-190799943	SBS1	1	1	19
4:52700000-190799943	SBS18	1	1	8
4:52700000-190799943	SBS5	1	1	99
5:117968154-180689978	SBS1	1	1	6
5:117968154-180689978	SBS18	1	1	2
5:117968154-180689978	SBS5	1	1	32
5:22500-46099999	SBS1	1	1	8
5:22500-46099999	SBS18	1	1	5
5:22500-46099999	SBS5	1	1	22
5:46100000-50699999	SBS5	1	1	2
5:50700000-116850008	SBS1	1	1	13
5:50700000-116850008	SBS5	1	1	26
6:202331-58699999	SBS1	1	1	4
6:202331-58699999	SBS18	1	1	3
6:202331-58699999	SBS5	1	1	25
6:58700000-63299999	SBS5	1	1	2
6:63300000-95432499	SBS1	1	1	6
6:63300000-95432499	SBS18	1	1	3
6:63300000-95432499	SBS5	1	1	16
6:95432500-170899934	SBS1	1	1	8
6:95432500-170899934	SBS18	1	1	3
6:95432500-170899934	SBS5	1	1	32
7:40386-50590996	SBS1	1	1	8
7:40386-50590996	SBS18	1	1	4
7:40386-50590996	SBS5	1	1	16
7:50625908-57999999	SBS1	1	1	3
7:50625908-57999999	SBS18	1	1	1
7:50625908-57999999	SBS5	1	1	1
7:61700000-158817500	SBS1	1	1	14
7:61700000-158817500	SBS18	1	1	3
7:61700000-158817500	SBS5	1	1	47
8:134277468-146364021	SBS1	1	1	4
8:134277468-146364021	SBS18	1	1	1
8:134277468-146364021	SBS5	1	1	13
8:170012-43099999	SBS1	1	1	6
8:170012-43099999	SBS18	1	1	2
8:170012-43099999	SBS5	1	1	17
8:48100000-63870975	SBS1	1	1	4
8:48100000-63870975	SBS18	1	1	4
8:48100000-63870975	SBS5	1	1	12
8:63870976-134277345	SBS1	1	1	11
8:63870976-134277345	SBS18	1	1	8
8:63870976-134277345	SBS5	1	1	42
9:10001-47299999	SBS1	1	1	5
9:10001-47299999	SBS18	1	1	2
9:10001-47299999	SBS5	1	1	34
9:50700000-68152802	SBS1	1	1	1
9:50700000-68152802	SBS5	1	1	1
9:68152803-140267500	SBS1	1	1	4
9:68152803-140267500	SBS18	1	1	3
9:68152803-140267500	SBS5	1	1	29
X:1-58099999	SBS1	1	0	10
X:1-58099999	SBS18	1	0	1
X:1-58099999	SBS5	1	0	25
X:107994394-155270559	SBS1	1	0	6
X:107994394-155270559	SBS18	1	0	2
X:107994394-155270559	SBS5	1	0	26
X:63000000-107994393	SBS1	1	0	4
X:63000000-107994393	SBS18	1	0	1
X:63000000-107994393	SBS5	1	0	19
