segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
10:102787800-103389188	SBS5	2	0	1	0	0
10:105882147-113638138	SBS1	2	2	1	3	0
10:105882147-113638138	SBS18	2	2	3	3	0
10:105882147-113638138	SBS5	2	2	6	11	0
10:114218065-114451920	SBS18	2	2	1	0	0
10:114218065-114451920	SBS5	2	2	0	1	0
10:115147747-115710516	SBS5	2	2	2	0	0
10:115719088-135534746	SBS1	2	2	4	3	0
10:115719088-135534746	SBS18	2	2	2	3	0
10:115719088-135534746	SBS5	2	2	9	10	0
10:147192-37999999	SBS1	2	2	12	15	0
10:147192-37999999	SBS18	2	2	9	4	0
10:147192-37999999	SBS5	2	2	20	28	0
10:38000000-42299999	SBS1	2	2	0	1	0
10:38000000-42299999	SBS5	2	2	0	1	0
10:42300000-55661443	SBS1	2	2	2	2	0
10:42300000-55661443	SBS18	2	2	2	4	0
10:42300000-55661443	SBS5	2	2	4	6	0
10:56444806-56536861	SBS18	2	0	1	0	0
10:56583110-58013413	SBS1	2	2	0	2	0
10:56583110-58013413	SBS18	2	2	2	0	0
10:56583110-58013413	SBS5	2	2	4	3	0
10:58013414-64352847	SBS18	2	2	0	1	0
10:58013414-64352847	SBS5	2	2	5	6	0
10:64711516-64717920	SBS5	2	2	1	0	0
10:64795871-86376312	SBS1	2	2	1	6	0
10:64795871-86376312	SBS18	2	2	2	0	0
10:64795871-86376312	SBS5	2	2	9	10	0
10:86722506-88422104	SBS5	2	0	1	2	0
10:90483459-91169947	SBS1	2	0	1	0	0
10:90483459-91169947	SBS18	2	0	0	1	0
10:91176835-92472388	SBS5	2	2	0	1	0
10:92472409-93116153	SBS5	2	0	1	0	0
10:93116154-94438745	SBS1	2	2	0	1	0
10:93116154-94438745	SBS5	2	2	1	1	0
10:94446754-96191375	SBS5	2	0	0	1	0
10:96219485-97376220	SBS1	2	2	0	1	0
10:96219485-97376220	SBS5	2	2	2	1	0
10:97390023-99678940	SBS1	2	0	0	1	0
10:97390023-99678940	SBS18	2	0	1	0	0
10:97390023-99678940	SBS5	2	0	2	0	0
10:99683745-102756784	SBS18	2	2	1	0	0
10:99683745-102756784	SBS5	2	2	1	3	0
11:197337-51599999	SBS1	2	1	10	3	0
11:197337-51599999	SBS18	2	1	10	4	0
11:197337-51599999	SBS5	2	1	34	20	0
11:51600000-55699999	SBS1	2	1	0	1	0
11:51600000-55699999	SBS5	2	1	0	2	0
11:55700000-135006515	SBS1	2	1	19	14	0
11:55700000-135006515	SBS18	2	1	15	6	0
11:55700000-135006515	SBS5	2	1	50	33	0
12:191525-33299999	SBS1	3	0	2	1	5
12:191525-33299999	SBS18	3	0	1	0	5
12:191525-33299999	SBS5	3	0	12	0	9
12:33300000-38199999	SBS1	3	0	0	0	1
12:33300000-38199999	SBS18	3	0	0	0	1
12:33300000-38199999	SBS5	3	0	1	0	3
12:38200000-53442254	SBS1	3	0	3	0	2
12:38200000-53442254	SBS18	3	0	3	1	2
12:38200000-53442254	SBS5	3	0	5	2	8
12:53442255-133851894	SBS1	3	3	2	4	15
12:53442255-133851894	SBS18	3	3	10	7	11
12:53442255-133851894	SBS5	3	3	41	10	54
13:16300000-19499999	SBS5	2	1	0	1	0
13:19500000-40348347	SBS1	2	1	3	5	0
13:19500000-40348347	SBS18	2	1	5	4	0
13:19500000-40348347	SBS5	2	1	11	11	0
13:40348348-74249291	SBS1	1	0	1	0	0
13:40348348-74249291	SBS18	1	0	11	0	0
13:40348348-74249291	SBS5	1	0	35	0	0
13:74249292-115169877	SBS1	2	1	11	11	0
13:74249292-115169877	SBS18	2	1	10	5	0
13:74249292-115169877	SBS5	2	1	33	17	0
14:19100000-51712151	SBS1	2	1	9	5	0
14:19100000-51712151	SBS18	2	1	8	3	0
14:19100000-51712151	SBS5	2	1	21	11	0
14:51719800-52297056	SBS5	2	1	0	1	0
14:52303315-52458872	SBS5	2	1	0	1	0
14:52488109-73703157	SBS1	2	1	0	4	0
14:52488109-73703157	SBS18	2	1	4	2	0
14:52488109-73703157	SBS5	2	1	8	9	0
14:73703866-107349539	SBS1	3	1	5	0	4
14:73703866-107349539	SBS18	3	1	6	4	2
14:73703866-107349539	SBS5	3	1	36	3	8
15:15800000-20699999	SBS1	2	1	1	0	0
15:15800000-20699999	SBS5	2	1	1	0	0
15:20700000-102407483	SBS1	2	1	20	10	0
15:20700000-102407483	SBS18	2	1	7	12	0
15:20700000-102407483	SBS5	2	1	58	12	0
16:117500-2470235	SBS1	2	1	1	0	0
16:117500-2470235	SBS18	2	1	1	0	0
16:117500-2470235	SBS5	2	1	1	0	0
16:2470236-3207622	SBS18	2	2	0	2	0
16:2470236-3207622	SBS5	2	2	1	0	0
16:3207623-34599999	SBS1	2	1	11	4	0
16:3207623-34599999	SBS18	2	1	14	6	0
16:3207623-34599999	SBS5	2	1	17	11	0
16:34600000-38599999	SBS18	2	1	1	0	0
16:34600000-38599999	SBS5	2	1	1	0	0
16:46447500-90159555	SBS1	2	1	12	12	0
16:46447500-90159555	SBS18	2	1	7	2	0
16:46447500-90159555	SBS5	2	1	47	16	0
17:11930438-22199999	SBS1	2	2	1	1	0
17:11930438-22199999	SBS18	2	2	2	1	0
17:11930438-22199999	SBS5	2	2	2	9	0
17:22200000-25799999	SBS1	2	2	0	1	0
17:22200000-25799999	SBS18	2	2	0	1	0
