	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N5	N6	N7	N8
0	chr10:1-599836	SBS3	5	1	5	2	0	0	0	0	0	0
1	chr10:101982510-105798379	SBS100	2	0	1	0	0	0	0	0	0	0
2	chr10:101982510-105798379	SBS13	2	0	1	0	0	0	0	0	0	0
3	chr10:101982510-105798379	SBS2	2	0	1	0	0	0	0	0	0	0
4	chr10:101982510-105798379	SBS3	2	0	14	0	0	0	0	0	0	0
5	chr10:105798421-109542568	SBS13	2	0	2	0	0	0	0	0	0	0
6	chr10:105798421-109542568	SBS2	2	0	1	0	0	0	0	0	0	0
7	chr10:105798421-109542568	SBS3	2	0	20	3	0	0	0	0	0	0
8	chr10:109542604-109853000	SBS3	2	0	2	0	0	0	0	0	0	0
9	chr10:109853001-111051000	SBS1	2	0	1	1	0	0	0	0	0	0
10	chr10:109853001-111051000	SBS3	2	0	7	1	0	0	0	0	0	0
11	chr10:111192507-112357000	SBS1	2	0	1	0	0	0	0	0	0	0
12	chr10:111192507-112357000	SBS3	2	0	4	0	0	0	0	0	0	0
13	chr10:112357001-112600678	SBS3	2	0	1	0	0	0	0	0	0	0
14	chr10:112603205-113084000	SBS13	3	0	0	1	0	0	0	0	0	0
15	chr10:112603205-113084000	SBS3	3	0	3	3	1	0	0	0	0	0
16	chr10:113163001-117407814	SBS1	2	0	1	0	0	0	0	0	0	0
17	chr10:113163001-117407814	SBS100	2	0	1	1	0	0	0	0	0	0
18	chr10:113163001-117407814	SBS13	2	0	1	0	0	0	0	0	0	0
19	chr10:113163001-117407814	SBS2	2	0	0	1	0	0	0	0	0	0
20	chr10:113163001-117407814	SBS3	2	0	15	0	0	0	0	0	0	0
21	chr10:117425519-121470373	SBS1	2	0	1	0	0	0	0	0	0	0
22	chr10:117425519-121470373	SBS13	2	0	1	3	0	0	0	0	0	0
23	chr10:117425519-121470373	SBS3	2	0	15	3	0	0	0	0	0	0
24	chr10:121472093-125253643	SBS1	2	0	2	0	0	0	0	0	0	0
25	chr10:121472093-125253643	SBS13	2	0	1	0	0	0	0	0	0	0
26	chr10:121472093-125253643	SBS2	2	0	2	0	0	0	0	0	0	0
27	chr10:121472093-125253643	SBS3	2	0	22	1	0	0	0	0	0	0
28	chr10:125270524-129757275	SBS1	2	0	5	0	0	0	0	0	0	0
29	chr10:125270524-129757275	SBS3	2	0	23	1	0	0	0	0	0	0
30	chr10:129757432-130842787	SBS13	2	0	0	1	0	0	0	0	0	0
31	chr10:129757432-130842787	SBS3	2	0	7	0	0	0	0	0	0	0
32	chr10:130842847-131895852	SBS1	2	0	1	1	0	0	0	0	0	0
33	chr10:130842847-131895852	SBS3	2	0	12	0	0	0	0	0	0	0
34	chr10:131931420-133797422	SBS1	2	0	3	0	0	0	0	0	0	0
35	chr10:131931420-133797422	SBS100	2	0	1	0	0	0	0	0	0	0
36	chr10:131931420-133797422	SBS3	2	0	8	3	0	0	0	0	0	0
37	chr10:1467822-4202536	SBS1	4	1	1	0	0	2	0	0	0	0
38	chr10:1467822-4202536	SBS3	4	1	20	1	4	2	0	0	0	0
39	chr10:14793359-15066370	SBS3	6	3	1	1	0	1	0	0	0	0
40	chr10:15066371-15417748	SBS3	4	3	1	2	0	0	0	0	0	0
41	chr10:15420860-16774000	SBS1	4	2	1	0	1	0	0	0	0	0
42	chr10:15420860-16774000	SBS100	4	2	1	0	0	0	0	0	0	0
43	chr10:15420860-16774000	SBS13	4	2	1	0	0	0	0	0	0	0
44	chr10:15420860-16774000	SBS2	4	2	1	1	0	0	0	0	0	0
45	chr10:15420860-16774000	SBS3	4	2	11	4	1	0	0	0	0	0
46	chr10:16774001-22992717	SBS1	5	3	0	4	1	1	0	0	0	0
47	chr10:16774001-22992717	SBS100	5	3	1	0	0	0	0	0	0	0
48	chr10:16774001-22992717	SBS13	5	3	4	2	1	0	1	0	0	0
49	chr10:16774001-22992717	SBS2	5	3	1	0	0	1	1	0	0	0
50	chr10:16774001-22992717	SBS3	5	3	23	19	8	5	2	0	0	0
51	chr10:22992718-24428286	SBS1	4	3	0	2	1	0	0	0	0	0
52	chr10:22992718-24428286	SBS2	4	3	1	0	0	0	0	0	0	0
53	chr10:22992718-24428286	SBS3	4	3	9	4	2	0	0	0	0	0
54	chr10:24431860-24996011	SBS3	4	3	5	2	1	0	0	0	0	0
55	chr10:24996012-26182816	SBS100	3	2	1	0	0	0	0	0	0	0
56	chr10:24996012-26182816	SBS2	3	2	1	0	0	0	0	0	0	0
57	chr10:24996012-26182816	SBS3	3	2	9	3	2	0	0	0	0	0
58	chr10:26182817-29448651	SBS1	3	1	0	1	0	0	0	0	0	0
59	chr10:26182817-29448651	SBS100	3	1	1	0	0	0	0	0	0	0
60	chr10:26182817-29448651	SBS13	3	1	0	0	2	0	0	0	0	0
61	chr10:26182817-29448651	SBS2	3	1	1	0	0	0	0	0	0	0
62	chr10:26182817-29448651	SBS3	3	1	15	7	8	0	0	0	0	0
63	chr10:29448652-29499024	SBS3	3	2	0	1	0	0	0	0	0	0
64	chr10:29499025-34195805	SBS1	3	1	3	0	0	0	0	0	0	0
65	chr10:29499025-34195805	SBS13	3	1	3	2	0	0	0	0	0	0
66	chr10:29499025-34195805	SBS2	3	1	1	0	0	0	0	0	0	0
67	chr10:29499025-34195805	SBS3	3	1	30	9	3	0	0	0	0	0
68	chr10:34195806-38485564	SBS1	3	2	0	1	1	0	0	0	0	0
69	chr10:34195806-38485564	SBS100	3	2	0	1	0	0	0	0	0	0
70	chr10:34195806-38485564	SBS2	3	2	1	2	0	0	0	0	0	0
71	chr10:34195806-38485564	SBS3	3	2	28	11	5	0	0	0	0	0
72	chr10:38501704-40640101	SBS100	2	1	0	1	0	0	0	0	0	0
73	chr10:38501704-40640101	SBS3	2	1	11	3	0	0	0	0	0	0
74	chr10:40640102-42319112	SBS2	2	1	1	0	0	0	0	0	0	0
75	chr10:40640102-42319112	SBS3	2	1	7	0	0	0	0	0	0	0
76	chr10:4202537-5273757	SBS1	5	2	1	0	0	0	0	0	0	0
77	chr10:4202537-5273757	SBS3	5	2	6	2	2	0	0	0	0	0
78	chr10:42319113-42511202	SBS1	3	2	1	0	0	0	0	0	0	0
79	chr10:42319113-42511202	SBS3	3	2	1	0	0	0	0	0	0	0
80	chr10:42520740-42765446	SBS13	3	2	0	1	0	0	0	0	0	0
81	chr10:42520740-42765446	SBS3	3	2	2	0	0	0	0	0	0	0
82	chr10:42782699-50315443	SBS1	2	2	0	3	0	0	0	0	0	0
83	chr10:42782699-50315443	SBS100	2	2	1	0	0	0	0	0	0	0
84	chr10:42782699-50315443	SBS13	2	2	4	1	0	0	0	0	0	0
85	chr10:42782699-50315443	SBS2	2	2	2	2	0	0	0	0	0	0
86	chr10:42782699-50315443	SBS3	2	2	46	19	0	0	0	0	0	0
87	chr10:50315444-52439721	SBS1	2	1	1	0	0	0	0	0	0	0
88	chr10:50315444-52439721	SBS13	2	1	1	0	0	0	0	0	0	0
89	chr10:50315444-52439721	SBS3	2	1	17	5	0	0	0	0	0	0
90	chr10:52499190-53770252	SBS13	2	1	2	1	0	0	0	0	0	0
91	chr10:52499190-53770252	SBS3	2	1	10	1	0	0	0	0	0	0
92	chr10:5273831-5428133	SBS3	4	2	0	0	2	0	0	0	0	0
93	chr10:53771397-59466269	SBS100	2	1	2	0	0	0	0	0	0	0
94	chr10:53771397-59466269	SBS13	2	1	3	2	0	0	0	0	0	0
95	chr10:53771397-59466269	SBS2	2	1	1	0	0	0	0	0	0	0
96	chr10:53771397-59466269	SBS3	2	1	40	7	0	0	0	0	0	0
97	chr10:5428134-7639367	SBS1	4	3	0	2	1	0	0	0	0	0
98	chr10:5428134-7639367	SBS13	4	3	1	0	0	0	0	0	0	0
99	chr10:5428134-7639367	SBS2	4	3	1	0	0	2	0	0	0	0
100	chr10:5428134-7639367	SBS3	4	3	8	10	1	2	0	0	0	0
101	chr10:59467950-61286985	SBS1	2	1	3	0	0	0	0	0	0	0
102	chr10:59467950-61286985	SBS13	2	1	2	0	0	0	0	0	0	0
103	chr10:59467950-61286985	SBS2	2	1	1	0	0	0	0	0	0	0
104	chr10:59467950-61286985	SBS3	2	1	6	3	0	0	0	0	0	0
105	chr10:61287033-63952000	SBS2	2	1	1	0	0	0	0	0	0	0
106	chr10:61287033-63952000	SBS3	2	1	20	2	0	0	0	0	0	0
107	chr10:64018001-65838822	SBS13	2	1	1	0	0	0	0	0	0	0
108	chr10:64018001-65838822	SBS2	2	1	1	1	0	0	0	0	0	0
109	chr10:64018001-65838822	SBS3	2	1	10	1	0	0	0	0	0	0
110	chr10:651221-1467821	SBS2	5	1	0	1	0	0	0	0	0	0
