chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minor_cn	major_cn
chr1	1	8198000	3.8575	3744	0.5805	0.7592	TELOMERE	NONE	BAF_WEIGHTED	5444	0.5177	1	1	1	3
chr1	8198001	9638000	4.7861	692	0.604	0.7893	NONE	NONE	BAF_WEIGHTED	1337	0.4741	8198001	8198001	1	4
chr1	9638001	25443170	4.0869	6983	0.5873	0.769	NONE	DUP	BAF_WEIGHTED	13693	0.479	9638001	9638001	1	3
chr1	25443171	25445476	7.5745	0	0	0.5851	DUP	DUP	NON_DIPLOID	1	0.456	25443171	25443171	3	4
chr1	25445477	26264442	4.191	291	0.5835	0.754	DUP	DEL	BAF_WEIGHTED	769	0.4836	25445477	25445477	1	3
chr1	26264443	26264483	2.2963	0	0	0.551	DEL	DEL	STRUCTURAL_VARIANT	0	0	26264443	26264443	1	1
chr1	26264484	26570711	3.9681	132	0.5954	0.8012	DEL	DEL	BAF_WEIGHTED	281	0.4978	26264484	26264484	1	3
chr1	26570712	28229000	3.1698	367	0.6245	0.9599	DEL	NONE	BAF_WEIGHTED	1535	0.4752	26570712	26570712	0	3
chr1	28229001	28390982	4.9104	0	0	0.7931	NONE	BND	BAF_WEIGHTED	157	0.4646	28229001	28229001	1	4
chr1	28390983	28405000	4.678	0	0	0.7828	BND	NONE	BAF_WEIGHTED	14	0.4296	28390983	28390983	1	4
chr1	28405001	28674372	2.0515	0	0	0.5048	NONE	DEL	BAF_WEIGHTED	255	0.4599	28405001	28405001	1	1
chr1	28674373	30523000	3.0155	725	0.5641	0.6631	DEL	NONE	BAF_WEIGHTED	1744	0.4729	28674373	28674373	1	2
chr1	30523001	33889000	2.2953	1226	0.5625	0.5643	NONE	NONE	BAF_WEIGHTED	3178	0.4708	30523001	30523001	1	1
chr1	33889001	36929330	3.0614	1144	0.5682	0.6533	NONE	DUP	BAF_WEIGHTED	2898	0.4517	33889001	33889001	1	2
chr1	36929331	36931524	4.2435	1	0.5556	0.707	DUP	DUP	BAF_WEIGHTED	1	0.476	36929331	36929331	1	3
chr1	36931525	51004000	3.1331	4053	0.5667	0.6383	DUP	NONE	BAF_WEIGHTED	12998	0.4431	36931525	36931525	1	2
chr1	51004001	66335000	2.3294	5913	0.5608	0.5747	NONE	NONE	BAF_WEIGHTED	14553	0.4141	51004001	51004001	1	1
chr1	66335001	66815000	3.4594	65	0.5588	0.5781	NONE	NONE	BAF_WEIGHTED	449	0.3805	66335001	66335001	1	2
chr1	66815001	116559000	2.2556	19983	0.5609	0.5531	NONE	NONE	BAF_WEIGHTED	46010	0.3816	66815001	66815001	1	1
chr1	116559001	118026000	3.1977	454	0.57	0.6255	NONE	NONE	BAF_WEIGHTED	1314	0.4137	116559001	116559001	1	2
chr1	118026001	118879000	2.0084	491	0.5676	0.5021	NONE	NONE	BAF_WEIGHTED	770	0.3729	118026001	118026001	1	1
chr1	118879001	119149000	3.0315	156	0.5789	0.8008	NONE	NONE	BAF_WEIGHTED	257	0.4055	118879001	118879001	1	2
chr1	119149001	123605522	3.928	266	0.5664	0.5092	NONE	CENTROMERE	BAF_WEIGHTED	803	0.4156	119149001	119149001	2	2
chr1	123605523	143741500	3.0606	76	0.5695	0.6299	CENTROMERE	NONE	BAF_WEIGHTED	197	0.4156	123605523	123605523	1	2
chr1	143741501	146473000	5.661	244	0.5556	0.5299	NONE	NONE	BAF_WEIGHTED	337	0.448	143737001	143746001	3	3
chr1	146473001	151854420	7.1645	1166	0.5714	0.657	NONE	DUP	BAF_WEIGHTED	2613	0.4383	146052001	146894001	2	5
