,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,t6,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:1-31456373,chr1,1,31456373,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,6,10/3,,,,,False,True,False,0.6428571428571428,0.35714285714285715,,,,,0.6428571428571428,1.0,,,,,2,1,"[0.6428571428571428, 1.0]",31456372
1,chr1:38787001-48529000,chr1,38787001,48529000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.5_solutions_downsized.sobj,1.0,0.9166666666666667,1.0833333333333335,0.08333333333333333,0.08333333333333333,,True,True,False,0.3157894736842105,0.2894736842105263,0.34210526315789475,0.026315789473684206,0.026315789473684206,,0.3157894736842105,0.6052631578947368,0.9473684210526316,0.9736842105263158,1.0,,4,2,"[0.3157894736842105, 0.6052631578947368, 0.9473684210526316, 0.9736842105263158, 1.0]",9741999
2,chr1:66599924-84412000,chr1,66599924,84412000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.25,0.5,0.25,,,,True,True,False,0.75,0.16666666666666666,0.08333333333333333,,,,0.75,0.9166666666666666,1.0,,,,2,2,"[0.75, 0.9166666666666666, 1.0]",17812076
3,chr1:87185001-116917552,chr1,87185001,116917552,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,3.75,2.5,1.25,,,,True,True,False,0.5,0.3333333333333333,0.16666666666666666,,,,0.5,0.8333333333333333,0.9999999999999999,,,,2,2,"[0.5, 0.8333333333333333, 0.9999999999999999]",29732551
4,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.242_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
5,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.244_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
6,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.246_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
7,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.292_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
8,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.32_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
9,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.359_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
10,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.104_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
11,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.105_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
12,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.107_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
13,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.126_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
14,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.127_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
15,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.128_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
16,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.129_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
17,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.142_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
18,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.143_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
19,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.147_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
20,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.148_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
21,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.152_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
22,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.158_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
23,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.161_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
24,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.162_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
25,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.175_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
26,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.176_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
27,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.181_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
28,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.188_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
29,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.189_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
30,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.237_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
31,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.241_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
32,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.245_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
33,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.249_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
34,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.250_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
35,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.251_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
36,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.25_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
37,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.261_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
38,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.262_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
39,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.274_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
40,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.27_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
41,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.283_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
42,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.284_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
43,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.288_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
44,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.294_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
45,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.298_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
46,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.29_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
47,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.303_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
48,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.304_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
49,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.322_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
50,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.323_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
51,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.33_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
52,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.360_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
53,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.37_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
54,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.380_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
55,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.381_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
56,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.39_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
57,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.67_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
58,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.69_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
59,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.76_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
60,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.77_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
61,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.78_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
62,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.79_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
63,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.80_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
64,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.82_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
