	segment_id	sig_max	major_cn	minor_cn	N1	N2	N4	N3	N5	N6	N9	N12
0	chr10:1-272000	SBS1	3	2	1	0	0	0	0	0	0	0
1	chr10:1-272000	SBS3	3	2	1	0	0	0	0	0	0	0
2	chr10:100908001-103884000	SBS3	1	0	8	0	0	0	0	0	0	0
3	chr10:1030001-1064000	SBS3	2	1	1	0	0	0	0	0	0	0
4	chr10:103921001-104355000	SBS3	1	0	1	0	0	0	0	0	0	0
5	chr10:104355001-109843000	SBS3	2	0	17	9	0	0	0	0	0	0
6	chr10:1064001-1334040	SBS3	4	2	1	0	2	0	0	0	0	0
7	chr10:109843001-110815000	SBS100	1	0	1	0	0	0	0	0	0	0
8	chr10:109843001-110815000	SBS3	1	0	1	0	0	0	0	0	0	0
9	chr10:111029001-112137000	SBS3	2	0	3	2	0	0	0	0	0	0
10	chr10:112137001-114738318	SBS100	1	0	2	0	0	0	0	0	0	0
11	chr10:112137001-114738318	SBS3	1	0	9	0	0	0	0	0	0	0
12	chr10:115005001-115424535	SBS3	2	0	1	1	0	0	0	0	0	0
13	chr10:115424536-116834000	SBS3	2	1	9	1	0	0	0	0	0	0
14	chr10:11616001-12290000	SBS1	3	2	2	0	0	0	0	0	0	0
15	chr10:11616001-12290000	SBS3	3	2	3	2	0	1	0	0	0	0
16	chr10:116834001-117011000	SBS100	1	1	1	0	0	0	0	0	0	0
17	chr10:116834001-117011000	SBS3	1	1	1	0	0	0	0	0	0	0
18	chr10:117278936-119829138	SBS3	1	0	14	0	0	0	0	0	0	0
19	chr10:119829139-119850320	SBS3	2	0	1	0	0	0	0	0	0	0
20	chr10:119850321-123455369	SBS1	1	0	2	0	0	0	0	0	0	0
21	chr10:119850321-123455369	SBS100	1	0	1	0	0	0	0	0	0	0
22	chr10:119850321-123455369	SBS3	1	0	12	0	0	0	0	0	0	0
23	chr10:12290001-13090000	SBS1	4	2	0	1	0	0	0	0	0	0
24	chr10:12290001-13090000	SBS3	4	2	2	0	1	2	0	0	0	0
25	chr10:123470769-128348044	SBS1	1	0	3	0	0	0	0	0	0	0
26	chr10:123470769-128348044	SBS100	1	0	2	0	0	0	0	0	0	0
27	chr10:123470769-128348044	SBS3	1	0	9	0	0	0	0	0	0	0
28	chr10:128348079-133797422	SBS1	1	0	1	0	0	0	0	0	0	0
29	chr10:128348079-133797422	SBS3	1	0	16	0	0	0	0	0	0	0
30	chr10:13090001-13605115	SBS1	3	2	2	0	0	0	0	0	0	0
31	chr10:13090001-13605115	SBS100	3	2	1	0	0	0	0	0	0	0
32	chr10:13090001-13605115	SBS3	3	2	3	0	0	0	0	0	0	0
33	chr10:1336434-1473037	SBS3	5	4	2	0	0	0	0	0	0	0
34	chr10:13790001-13868000	SBS3	4	1	1	0	0	1	0	0	0	0
35	chr10:14023435-14466000	SBS3	5	1	4	3	0	2	0	0	0	0
36	chr10:14466001-14833000	SBS3	4	1	4	0	0	1	0	0	0	0
37	chr10:14833001-15108130	SBS100	4	1	0	1	0	0	0	0	0	0
38	chr10:14833001-15108130	SBS3	4	1	1	0	0	0	0	0	0	0
39	chr10:15108196-15779000	SBS3	4	1	3	0	0	0	0	0	0	0
40	chr10:1511368-1559299	SBS1	5	3	0	1	0	0	0	0	0	0
41	chr10:1511368-1559299	SBS3	5	3	1	0	0	0	0	0	0	0
42	chr10:1562897-2474107	SBS3	4	3	6	1	2	0	0	0	0	0
43	chr10:15911773-16808000	SBS1	4	1	0	0	0	1	0	0	0	0
44	chr10:15911773-16808000	SBS3	4	1	7	3	0	0	0	0	0	0
45	chr10:16808001-17195000	SBS100	3	1	1	0	0	0	0	0	0	0
46	chr10:16808001-17195000	SBS3	3	1	2	0	0	0	0	0	0	0
47	chr10:17233001-17808674	SBS3	3	1	2	0	0	0	0	0	0	0
48	chr10:17810758-18143315	SBS3	3	1	1	0	0	0	0	0	0	0
49	chr10:18143316-18648000	SBS3	2	1	4	0	0	0	0	0	0	0
50	chr10:18691001-19811000	SBS1	2	1	0	1	0	0	0	0	0	0
51	chr10:18691001-19811000	SBS3	2	1	6	0	0	0	0	0	0	0
52	chr10:19855001-20282044	SBS3	2	1	0	1	0	0	0	0	0	0
53	chr10:20282045-20809129	SBS1	3	1	1	0	0	0	0	0	0	0
54	chr10:20282045-20809129	SBS3	3	1	1	0	0	0	0	0	0	0
55	chr10:20809130-21267112	SBS3	4	1	4	3	0	0	0	0	0	0
56	chr10:21741397-21767772	SBS3	2	0	0	1	0	0	0	0	0	0
57	chr10:21767773-21904000	SBS3	2	1	1	0	0	0	0	0	0	0
58	chr10:22006001-22727000	SBS3	2	1	3	0	0	0	0	0	0	0
59	chr10:22727001-24194000	SBS1	2	1	1	0	0	0	0	0	0	0
60	chr10:22727001-24194000	SBS3	2	1	11	2	0	0	0	0	0	0
61	chr10:24194001-24718000	SBS3	2	1	1	0	0	0	0	0	0	0
62	chr10:24727001-26683000	SBS1	2	1	1	0	0	0	0	0	0	0
63	chr10:24727001-26683000	SBS100	2	1	0	1	0	0	0	0	0	0
