	segment_id	sig_max	major_cn	minor_cn	N1	N2	N5	N3	N4
0	chr10:1-330716	SBS3	3	1	3	1	0	0	0
1	chr10:1-330716	SBS5	3	1	2	0	0	0	0
2	chr10:1-330716	SBS8	3	1	1	0	0	0	0
3	chr10:10128254-12042597	SBS3	1	1	4	0	0	0	0
4	chr10:10128254-12042597	SBS5	1	1	2	0	0	0	0
5	chr10:10128254-12042597	SBS8	1	1	2	0	0	0	0
6	chr10:101337082-105603230	SBS1	1	0	2	0	0	0	0
7	chr10:101337082-105603230	SBS3	1	0	2	0	0	0	0
8	chr10:101337082-105603230	SBS5	1	0	2	0	0	0	0
9	chr10:105604058-109203601	SBS3	1	0	2	0	0	0	0
10	chr10:105604058-109203601	SBS5	1	0	4	0	0	0	0
11	chr10:105604058-109203601	SBS8	1	0	1	0	0	0	0
12	chr10:109208412-119978000	SBS1	1	0	2	0	0	0	0
13	chr10:109208412-119978000	SBS3	1	0	10	0	0	0	0
14	chr10:109208412-119978000	SBS5	1	0	10	0	0	0	0
15	chr10:109208412-119978000	SBS8	1	0	6	0	0	0	0
16	chr10:119978001-121261348	SBS1	2	0	1	0	0	0	0
17	chr10:119978001-121261348	SBS8	2	0	2	0	0	0	0
18	chr10:12042631-12694505	SBS5	1	1	1	0	0	0	0
19	chr10:12042631-12694505	SBS8	1	1	1	0	0	0	0
20	chr10:121269851-127279484	SBS3	2	0	6	2	0	0	0
21	chr10:121269851-127279484	SBS5	2	0	3	0	0	0	0
22	chr10:121269851-127279484	SBS8	2	0	0	1	0	0	0
23	chr10:12694506-23776259	SBS1	1	1	5	0	0	0	0
24	chr10:12694506-23776259	SBS3	1	1	23	0	0	0	0
25	chr10:12694506-23776259	SBS5	1	1	19	0	0	0	0
26	chr10:12694506-23776259	SBS8	1	1	11	0	0	0	0
27	chr10:127279521-129700143	SBS1	2	0	1	0	0	0	0
28	chr10:127279521-129700143	SBS100	2	0	1	0	0	0	0
29	chr10:127279521-129700143	SBS3	2	0	7	2	0	0	0
30	chr10:127279521-129700143	SBS5	2	0	1	0	0	0	0
31	chr10:129704221-133797422	SBS1	2	0	3	0	0	0	0
32	chr10:129704221-133797422	SBS3	2	0	16	0	0	0	0
33	chr10:129704221-133797422	SBS5	2	0	3	0	0	0	0
34	chr10:129704221-133797422	SBS8	2	0	2	0	0	0	0
35	chr10:2116883-2442000	SBS1	3	1	0	1	0	0	0
36	chr10:2116883-2442000	SBS3	3	1	0	1	0	0	0
37	chr10:23776350-33737912	SBS1	1	1	3	0	0	0	0
38	chr10:23776350-33737912	SBS3	1	1	29	0	0	0	0
39	chr10:23776350-33737912	SBS5	1	1	14	0	0	0	0
40	chr10:23776350-33737912	SBS8	1	1	6	0	0	0	0
41	chr10:2442001-6548000	SBS100	2	1	1	0	0	0	0
42	chr10:2442001-6548000	SBS3	2	1	8	2	0	0	0
43	chr10:2442001-6548000	SBS5	2	1	10	1	0	0	0
44	chr10:2442001-6548000	SBS8	2	1	5	0	0	0	0
45	chr10:33751654-35722597	SBS1	1	1	1	0	0	0	0
46	chr10:33751654-35722597	SBS3	1	1	1	0	0	0	0
47	chr10:33751654-35722597	SBS5	1	1	1	0	0	0	0
48	chr10:33751654-35722597	SBS8	1	1	2	0	0	0	0
49	chr10:35723847-38502000	SBS1	1	1	4	0	0	0	0
50	chr10:35723847-38502000	SBS3	1	1	5	0	0	0	0
51	chr10:35723847-38502000	SBS5	1	1	5	0	0	0	0
52	chr10:35723847-38502000	SBS8	1	1	4	0	0	0	0
53	chr10:38513001-40640101	SBS1	1	1	2	0	0	0	0
54	chr10:38513001-40640101	SBS100	1	1	1	0	0	0	0
55	chr10:38513001-40640101	SBS3	1	1	6	0	0	0	0
56	chr10:38513001-40640101	SBS5	1	1	1	0	0	0	0
57	chr10:38513001-40640101	SBS8	1	1	1	0	0	0	0
58	chr10:40640102-42700000	SBS3	2	1	3	0	0	0	0
59	chr10:421282-2104746	SBS1	2	1	1	0	0	0	0
60	chr10:421282-2104746	SBS5	2	1	1	0	0	0	0
61	chr10:42700001-51343000	SBS1	1	1	3	0	0	0	0
62	chr10:42700001-51343000	SBS3	1	1	23	0	0	0	0
63	chr10:42700001-51343000	SBS5	1	1	15	0	0	0	0
64	chr10:42700001-51343000	SBS8	1	1	3	0	0	0	0
65	chr10:51343001-52341189	SBS3	2	1	4	0	0	0	0
66	chr10:51343001-52341189	SBS5	2	1	2	0	0	0	0
67	chr10:51343001-52341189	SBS8	2	1	1	0	0	0	0
68	chr10:52369644-57689842	SBS1	2	1	2	0	0	0	0
69	chr10:52369644-57689842	SBS100	2	1	1	0	0	0	0
70	chr10:52369644-57689842	SBS3	2	1	11	7	0	0	0
71	chr10:52369644-57689842	SBS5	2	1	11	1	0	0	0
72	chr10:52369644-57689842	SBS8	2	1	14	3	0	0	0
73	chr10:57720504-60450777	SBS1	2	1	0	1	0	0	0
74	chr10:57720504-60450777	SBS3	2	1	3	1	0	0	0
75	chr10:57720504-60450777	SBS5	2	1	1	1	0	0	0
76	chr10:57720504-60450777	SBS8	2	1	3	1	0	0	0
77	chr10:60450778-61770686	SBS3	2	1	3	0	0	0	0
78	chr10:60450778-61770686	SBS5	2	1	2	0	0	0	0
79	chr10:60450778-61770686	SBS8	2	1	2	1	0	0	0
80	chr10:61770725-62084006	SBS3	2	1	0	1	0	0	0
81	chr10:61770725-62084006	SBS5	2	1	0	1	0	0	0
82	chr10:62234131-63153874	SBS3	2	1	8	0	0	0	0
83	chr10:62234131-63153874	SBS5	2	1	4	0	0	0	0
84	chr10:62234131-63153874	SBS8	2	1	2	0	0	0	0
85	chr10:63322856-63441456	SBS3	2	1	0	1	0	0	0
86	chr10:63455067-66803145	SBS1	2	1	0	2	0	0	0
87	chr10:63455067-66803145	SBS3	2	1	5	1	0	0	0
88	chr10:63455067-66803145	SBS5	2	1	6	1	0	0	0
89	chr10:63455067-66803145	SBS8	2	1	3	1	0	0	0
90	chr10:6548001-8977259	SBS3	1	1	2	0	0	0	0
91	chr10:6548001-8977259	SBS5	1	1	5	0	0	0	0
92	chr10:6548001-8977259	SBS8	1	1	1	0	0	0	0
93	chr10:66803213-70001000	SBS1	2	1	1	1	0	0	0
94	chr10:66803213-70001000	SBS100	2	1	1	0	0	0	0
95	chr10:66803213-70001000	SBS3	2	1	4	5	0	0	0
96	chr10:66803213-70001000	SBS5	2	1	3	0	0	0	0
97	chr10:66803213-70001000	SBS8	2	1	2	0	0	0	0
98	chr10:70001001-76570507	SBS100	1	1	1	0	0	0	0
99	chr10:70001001-76570507	SBS3	1	1	11	0	0	0	0
100	chr10:70001001-76570507	SBS5	1	1	6	0	0	0	0
101	chr10:70001001-76570507	SBS8	1	1	2	0	0	0	0
102	chr10:76570581-80449000	SBS1	1	1	1	0	0	0	0
103	chr10:76570581-80449000	SBS3	1	1	4	0	0	0	0
104	chr10:76570581-80449000	SBS5	1	1	13	0	0	0	0
105	chr10:76570581-80449000	SBS8	1	1	1	0	0	0	0
106	chr10:80449001-87916186	SBS3	1	0	4	0	0	0	0
107	chr10:80449001-87916186	SBS5	1	0	2	0	0	0	0
108	chr10:80449001-87916186	SBS8	1	0	4	0	0	0	0
109	chr10:87952988-95653000	SBS100	1	0	1	0	0	0	0
110	chr10:87952988-95653000	SBS3	1	0	7	0	0	0	0
111	chr10:87952988-95653000	SBS5	1	0	3	0	0	0	0
112	chr10:87952988-95653000	SBS8	1	0	5	0	0	0	0
113	chr10:9079768-10128180	SBS3	1	1	1	0	0	0	0
114	chr10:9079768-10128180	SBS5	1	1	1	0	0	0	0
115	chr10:95653001-97692533	SBS3	1	1	6	0	0	0	0
116	chr10:95653001-97692533	SBS5	1	1	2	0	0	0	0
117	chr10:97692534-101337030	SBS3	1	0	6	0	0	0	0
118	chr10:97692534-101337030	SBS5	1	0	2	0	0	0	0
119	chr11:1-13223306	SBS1	1	0	3	0	0	0	0
120	chr11:1-13223306	SBS100	1	0	1	0	0	0	0
121	chr11:1-13223306	SBS3	1	0	26	0	0	0	0
122	chr11:1-13223306	SBS5	1	0	14	0	0	0	0
123	chr11:1-13223306	SBS8	1	0	5	0	0	0	0
124	chr11:102234567-106983786	SBS1	2	1	1	0	0	0	0
125	chr11:102234567-106983786	SBS100	2	1	2	0	0	0	0
126	chr11:102234567-106983786	SBS3	2	1	4	1	0	0	0
127	chr11:102234567-106983786	SBS5	2	1	11	0	0	0	0
128	chr11:102234567-106983786	SBS8	2	1	6	0	0	0	0
129	chr11:106983787-107131452	SBS3	1	1	1	0	0	0	0
130	chr11:107136858-108786163	SBS3	1	1	1	0	0	0	0
131	chr11:108786164-114665370	SBS1	1	1	1	0	0	0	0
132	chr11:108786164-114665370	SBS3	1	1	12	0	0	0	0
133	chr11:108786164-114665370	SBS5	1	1	4	0	0	0	0
134	chr11:108786164-114665370	SBS8	1	1	3	0	0	0	0
135	chr11:114665404-118242537	SBS1	1	1	3	0	0	0	0
136	chr11:114665404-118242537	SBS3	1	1	6	0	0	0	0
137	chr11:114665404-118242537	SBS5	1	1	6	0	0	0	0
138	chr11:118248167-125706250	SBS3	1	1	14	0	0	0	0
139	chr11:118248167-125706250	SBS5	1	1	13	0	0	0	0
140	chr11:118248167-125706250	SBS8	1	1	5	0	0	0	0
141	chr11:125730728-128174370	SBS1	1	1	1	0	0	0	0
142	chr11:125730728-128174370	SBS3	1	1	6	0	0	0	0
