	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N6	N5	N16	N14	N8	N12	N18	N10	N7	N11
0	chr10:1-2304937	SBS3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1	chr10:1-2304937	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	chr10:1-2304937	SBS8	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3	chr10:114792082-128976882	SBS1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
4	chr10:114792082-128976882	SBS100	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
5	chr10:114792082-128976882	SBS3	1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
6	chr10:114792082-128976882	SBS5	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
7	chr10:114792082-128976882	SBS8	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
8	chr10:128976891-128977116	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	chr10:129015886-132130709	SBS1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10	chr10:129015886-132130709	SBS100	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
11	chr10:129015886-132130709	SBS3	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
12	chr10:129015886-132130709	SBS8	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
13	chr10:132209758-133797422	SBS1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
14	chr10:132209758-133797422	SBS3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
15	chr10:132209758-133797422	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16	chr10:18691211-34390204	SBS1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
17	chr10:18691211-34390204	SBS100	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
18	chr10:18691211-34390204	SBS3	1	1	49	0	0	0	0	0	0	0	0	0	0	0	0	0
19	chr10:18691211-34390204	SBS5	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0
20	chr10:18691211-34390204	SBS8	1	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0
21	chr10:2304938-2600155	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22	chr10:2304938-2600155	SBS8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23	chr10:2600156-18691139	SBS1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
24	chr10:2600156-18691139	SBS100	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
25	chr10:2600156-18691139	SBS3	1	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0
26	chr10:2600156-18691139	SBS5	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
27	chr10:2600156-18691139	SBS8	1	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0
28	chr10:34390531-40640101	SBS1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
29	chr10:34390531-40640101	SBS100	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
30	chr10:34390531-40640101	SBS3	1	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0
31	chr10:34390531-40640101	SBS5	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
32	chr10:34390531-40640101	SBS8	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0
33	chr10:40640102-43419796	SBS100	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34	chr10:40640102-43419796	SBS3	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
35	chr10:40640102-43419796	SBS5	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
36	chr10:40640102-43419796	SBS8	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
37	chr10:43420724-44104387	SBS3	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
38	chr10:44104388-45012000	SBS3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
