	chromosome	start	end	t1	sum_t1_to_t1	fully_solved	no_solution	tree_structure
0	chr11	1197001	20213017	6	6	True	False	1_0.1
1	chr17	24849830	31200928	7	7	True	False	1_0.1
2	chr20	28237290	31453000	3	3	True	False	1_1.1
3	chr16	29916195	37295919	10	10	True	False	1_0.1
4	chr14	90468773	107043718	5	5	True	False	1_0.1
5	chr3	105990001	112840736	5/2	5/2	True	False	1_1.1
6	chr4	119684894	134984578	6	6	True	False	1_0.1
7	chr1	123605523	146372748	9/2	9/2	True	False	1_1.1
8	chr4	134992659	169799295	9	9	True	False	1_0.1
9	chr5	155339273	181538259	5	5	True	False	1_0.1
