,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:52539001-149415500,chr1,52539001,149415500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],96876499
1,chr1:149415501-248956422,chr1,149415501,248956422,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,4,7/3,,,,False,True,False,0.631578947368421,0.3684210526315789,,,,0.631578947368421,1.0,,,,2,1,"[0.631578947368421, 1.0]",99540921
2,chr2:50220012-84410000,chr2,50220012,84410000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,3,1/3,,,,False,True,False,0.8999999999999999,0.09999999999999999,,,,0.8999999999999999,0.9999999999999999,,,,2,1,"[0.8999999999999999, 0.9999999999999999]",34189988
3,chr2:95294723-242193529,chr2,95294723,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17/2,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],146898806
4,chr3:83960773-198295559,chr3,83960773,198295559,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,4,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],114334786
5,chr4:1-190214555,chr4,1,190214555,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,25/2,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],190214554
6,chr5:1-181538259,chr5,1,181538259,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,15,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],181538258
7,chr6:99343786-170805979,chr6,99343786,170805979,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,10,,,,,False,True,False,1.0,,,,,1.0,,,,,1,0,[1.0],71462193
8,chr7:33900825-71875845,chr7,33900825,71875845,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,4,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],37975020
9,chr8:90816390-122789452,chr8,90816390,122789452,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_3.1_solutions_downsized.sobj,0.75,0.5,0.25,0.0,0.3333333333333333,True,True,False,0.4090909090909091,0.27272727272727276,0.13636363636363638,0.0,0.18181818181818182,0.4090909090909091,0.6818181818181819,0.8181818181818182,0.8181818181818182,1.0,3,3,"[0.4090909090909091, 0.6818181818181819, 0.8181818181818182, 0.8181818181818182, 1.0]",31973062
