	chromosome	start	end	t1	t2	t3	t4	t5	t6	t7	sum_t1_to_t1	sum_t1_to_t2	sum_t1_to_t3	sum_t1_to_t4	sum_t1_to_t5	sum_t1_to_t6	sum_t1_to_t7	fully_solved	no_solution	tree_structure
0	chr4	3069463	8357973	0	5/2						0	5/2						True	False	2_0.1
1	chr19	12817713	23992451	1	2						1	3						True	False	2_0.1
2	chr13	17025624	29349592	3	1						3	4						True	False	2_0.1
3	chr5	21424802	48272853	3	3/2						3	9/2						True	False	2_0.1
4	chr20	31864306	50872517	1	3						1	4						True	False	2_0.1
5	chr7	59498944	66224818	1	t4 - t6 - 2*t7 + 1	-2*t4 + 2*t6 + 4*t7 - 2	(inf, t6 + 2*t7 - 1)	-2*t6 - 3*t7 + 3/2	(inf, -3/2*t7 + 3/4)	(1/2, 1/2)	1							False	False	6_2.10
6	chr7	59498944	66224818	1	t6 + t7 - 1/2	-t6 - 1/2*t7 + 1/4	0	-t6 - 3/2*t7 + 3/4	(inf, min(-3/2*t7 + 3/4, -1/2*t7 + 1/4))	(1/2, 1/2)	1							False	False	6_2.11
7	chr7	59498944	66224818	t7 + 1/2	-t7 + 1/2	0	0	0	-t7 + 1/2	(0, 1/2)								False	False	6_2.12
8	chr7	59498944	66224818	t6 + 2*t7	-t6 - 2*t7 + 1	0	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.13
9	chr7	59498944	66224818	t6 + 2*t7	-t6 - 2*t7 + 1	0	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.14
10	chr7	59498944	66224818	t5 + t7 + 1/2	-t5 - t7 + 1/2	0	-t5	(inf, min(0, -t7 + 1/2))	-t7 + 1/2	(0, 1/2)								False	False	6_2.15
11	chr7	59498944	66224818	t5 + t7 + 1/2	-t5 - t7 + 1/2	0	-t5	(inf, min(0, -t7 + 1/2))	-t7 + 1/2	(0, 1/2)								False	False	6_2.16
12	chr7	59498944	66224818	t5 + 2*t6 + 3*t7 - 1/2	-t5 - 2*t6 - 3*t7 + 3/2	0	-t5 - t6 - t7 + 1/2	(inf, min(-2*t6 - 3*t7 + 3/2, -t6 - t7 + 1/2))	(inf, min(-3/2*t7 + 3/4, -t7 + 1/2))	(0, 1/2)								False	False	6_2.17
13	chr7	59498944	66224818	t6 + 2*t7	-t6 - 2*t7 + 1	0	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.18
14	chr7	59498944	66224818	t7 + 1/2	-t7 + 1/2	0	0	0	-t7 + 1/2	(0, 1/2)								False	False	6_2.19
15	chr7	59498944	66224818	1	0	0	t7 - 1/2	-t7 + 1/2	-t7 + 1/2	(1/2, 1/2)	1	1	1					False	False	6_2.1
16	chr7	59498944	66224818	t4 + t6 + 2*t7	-t4 - t6 - 2*t7 + 1	-t4	(inf, min(0, -t6 - 2*t7 + 1))	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.20
17	chr7	59498944	66224818	t6 + 2*t7	-t6 - 2*t7 + 1	t5 + t6 + t7 - 1/2	-2*t5 - 2*t6 - 2*t7 + 1	(inf, -t6 - t7 + 1/2)	(inf, min(-2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.21
18	chr7	59498944	66224818	t5 + t6 + 2*t7	-t5 - t6 - 2*t7 + 1	t6 + t7 - 1/2	-t5 - 2*t6 - 2*t7 + 1	(inf, min(-2*t6 - 2*t7 + 1, -t6 - 2*t7 + 1))	(inf, min(1, -2*t7 + 1, -t7 + 1/2))	(0, 1/2)								False	False	6_2.22
19	chr7	59498944	66224818	1	t7 - 1/2	-t7 + 1/2	0	0	-t7 + 1/2	(1/2, 1/2)	1							False	False	6_2.23
20	chr7	59498944	66224818	1	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.24
21	chr7	59498944	66224818	1	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.25
22	chr7	59498944	66224818	1	t5 + t7 - 1/2	-t5 - t7 + 1/2	-t5	(inf, min(0, -t7 + 1/2))	-t7 + 1/2	(1/2, 1/2)	1							False	False	6_2.26
23	chr7	59498944	66224818	1	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.27
24	chr7	59498944	66224818	1	-1/2*t3 + 1/2*t7 - 1/4	(0, min(-t7 + 1/2, t7 - 1/2))	-1/2*t3 - 1/2*t7 + 1/4	0	-t7 + 1/2	(1/2, 1/2)	1							False	False	6_2.28
25	chr7	59498944	66224818	1	t4 + t6 + 2*t7 - 1	-2*t4 - t6 - 2*t7 + 1	(inf, -1/2*t6 - t7 + 1/2)	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.29
26	chr7	59498944	66224818	1	0	0	t6 + 2*t7 - 1	-2*t6 - 3*t7 + 3/2	(inf, -3/2*t7 + 3/4)	(1/2, 1/2)	1	1	1					False	False	6_2.2
27	chr7	59498944	66224818	1	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	0	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.30
28	chr7	59498944	66224818	1	t6 + t7 - 1/2	0	-2*t6 - t7 + 1/2	-t7 + 1/2	(inf, -1/2*t7 + 1/4)	(1/2, 1/2)	1							False	False	6_2.31
29	chr7	59498944	66224818	1	0	0	0	(0, 0)	-2*t5	t5 + 1/2	1	1	1	1				False	False	6_2.32
30	chr7	59498944	66224818	1	0	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1	1						False	False	6_2.33
31	chr7	59498944	66224818	1	0	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1	1						False	False	6_2.34
32	chr7	59498944	66224818	1	t5 + t6 + t7 - 1/2	-t5 + t7 - 1/2	-t5 - 2*t6 - 3*t7 + 3/2	(inf, min(-2*t6 - 3*t7 + 3/2, t7 - 1/2))	(inf, min(-2*t7 + 1, -3/2*t7 + 3/4))	(1/2, 1/2)	1							False	False	6_2.35
33	chr7	59498944	66224818	1	0	t7 - 1/2	-t7 + 1/2	0	-t7 + 1/2	(1/2, 1/2)	1	1						False	False	6_2.36
34	chr7	59498944	66224818	1	0	t6 + 2*t7 - 1	-t6 - 2*t7 + 1	-t6 - t7 + 1/2	(inf, min(-2*t7 + 1, -t7 + 1/2))	(1/2, 1/2)	1	1						False	False	6_2.37
35	chr7	59498944	66224818	1	0	0	t6 + 2*t7 - 1	-2*t6 - 3*t7 + 3/2	(inf, -3/2*t7 + 3/4)	(1/2, 1/2)	1	1	1					False	False	6_2.3
36	chr7	59498944	66224818	1	0	t5 + t7 - 1/2	-2*t5 - t7 + 1/2	(inf, -1/2*t7 + 1/4)	-t7 + 1/2	(1/2, 1/2)	1	1						False	False	6_2.4
37	chr7	59498944	66224818	1	0	t5 + t7 - 1/2	-2*t5 - t7 + 1/2	(inf, -1/2*t7 + 1/4)	-t7 + 1/2	(1/2, 1/2)	1	1						False	False	6_2.5
38	chr7	59498944	66224818	1	0	(inf, -3/4*t4)	(0, 0)	-2*t3 - 3/2*t4	0	t3 + 1/2*t4 + 1/2	1	1						False	False	6_2.6
39	chr7	59498944	66224818	1	0	0	t6 + 2*t7 - 1	-2*t6 - 3*t7 + 3/2	(inf, -3/2*t7 + 3/4)	(1/2, 1/2)	1	1	1					False	False	6_2.7
40	chr7	59498944	66224818	1	t5 + t7 - 1/2	-t5 - t7 + 1/2	-t5	(inf, min(0, -t7 + 1/2))	-t7 + 1/2	(1/2, 1/2)	1							False	False	6_2.8
41	chr7	59498944	66224818	1	t5 + 2*t6 + 3*t7 - 3/2	-t5 - 2*t6 - 3*t7 + 3/2	-t5 - t6 - t7 + 1/2	(inf, min(-2*t6 - 3*t7 + 3/2, -t6 - t7 + 1/2))	(inf, min(-3/2*t7 + 3/4, -t7 + 1/2))	(1/2, 1/2)	1							False	False	6_2.9
42	chr10	92316577	109220086	2	5/2						2	9/2						True	False	2_0.1
43	chr14	97221327	107043718	3	0	2/3					3	3	11/3					True	False	3_0.1
44	chr2	98816401	106733240	2	1/3						2	7/3						True	False	2_1.1
45	chr10	127644174	133797422	5/2							5/2							True	False	1_1.1
46	chr2	128319882	133031588	(0, 1)	-2*t1 + 2	t1												False	False	2_2.1
47	chr1	222615939	239014711															False	True	3_2.1
48	chr1	222615939	239014711	t4 + 0.49871218799999983	-t4 + 2.000865622	-t4	(0, 0)											False	False	3_2.2
