	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N8	N4	N9	N11	N10	N12	N7	N6	N5
0	chr10:1-1488000	SBS1	2	1	2	0	0	0	0	0	0	0	0	0	0	0
1	chr10:1-1488000	SBS13	2	1	2	0	0	0	0	0	0	0	0	0	0	0
2	chr10:1-1488000	SBS3	2	1	6	1	0	0	0	0	0	0	0	0	0	0
3	chr10:1-1488000	SBS5	2	1	1	0	0	0	0	0	0	0	0	0	0	0
4	chr10:106692588-119381034	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
5	chr10:106692588-119381034	SBS100	1	0	1	0	0	0	0	0	0	0	0	0	0	0
6	chr10:106692588-119381034	SBS13	1	0	1	0	0	0	0	0	0	0	0	0	0	0
7	chr10:106692588-119381034	SBS3	1	0	21	0	0	0	0	0	0	0	0	0	0	0
8	chr10:119381035-119826615	SBS3	2	0	3	0	0	0	0	0	0	0	0	0	0	0
9	chr10:119381035-119826615	SBS5	2	0	3	0	0	0	0	0	0	0	0	0	0	0
10	chr10:119826616-120022528	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
11	chr10:120042365-124078330	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
12	chr10:120042365-124078330	SBS13	1	0	2	0	0	0	0	0	0	0	0	0	0	0
13	chr10:120042365-124078330	SBS3	1	0	7	0	0	0	0	0	0	0	0	0	0	0
14	chr10:120042365-124078330	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0	0
15	chr10:124078331-128283000	SBS1	1	1	3	0	0	0	0	0	0	0	0	0	0	0
16	chr10:124078331-128283000	SBS100	1	1	2	0	0	0	0	0	0	0	0	0	0	0
17	chr10:124078331-128283000	SBS13	1	1	1	0	0	0	0	0	0	0	0	0	0	0
18	chr10:124078331-128283000	SBS3	1	1	15	0	0	0	0	0	0	0	0	0	0	0
19	chr10:128283001-131814000	SBS1	1	1	3	0	0	0	0	0	0	0	0	0	0	0
20	chr10:128283001-131814000	SBS100	1	1	2	0	0	0	0	0	0	0	0	0	0	0
21	chr10:128283001-131814000	SBS3	1	1	8	0	0	0	0	0	0	0	0	0	0	0
22	chr10:131814001-133797422	SBS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
23	chr10:131814001-133797422	SBS100	1	1	1	0	0	0	0	0	0	0	0	0	0	0
24	chr10:131814001-133797422	SBS3	1	1	8	0	0	0	0	0	0	0	0	0	0	0
25	chr10:1488001-2902000	SBS1	2	1	0	2	0	0	0	0	0	0	0	0	0	0
26	chr10:1488001-2902000	SBS3	2	1	3	2	0	0	0	0	0	0	0	0	0	0
27	chr10:21969927-22230604	SBS13	3	2	1	0	0	0	0	0	0	0	0	0	0	0
28	chr10:21969927-22230604	SBS3	3	2	2	0	0	0	0	0	0	0	0	0	0	0
29	chr10:22273709-26412236	SBS1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
30	chr10:22273709-26412236	SBS100	2	1	1	0	0	0	0	0	0	0	0	0	0	0
31	chr10:22273709-26412236	SBS13	2	1	1	0	0	0	0	0	0	0	0	0	0	0
32	chr10:22273709-26412236	SBS3	2	1	17	5	0	0	0	0	0	0	0	0	0	0
33	chr10:22273709-26412236	SBS5	2	1	2	0	0	0	0	0	0	0	0	0	0	0
34	chr10:26412289-30078555	SBS13	2	1	1	0	0	0	0	0	0	0	0	0	0	0
35	chr10:26412289-30078555	SBS3	2	1	14	3	0	0	0	0	0	0	0	0	0	0
36	chr10:2902001-21822425	SBS1	2	1	4	1	0	0	0	0	0	0	0	0	0	0
37	chr10:2902001-21822425	SBS100	2	1	5	2	0	0	0	0	0	0	0	0	0	0
38	chr10:2902001-21822425	SBS13	2	1	5	4	0	0	0	0	0	0	0	0	0	0
39	chr10:2902001-21822425	SBS3	2	1	41	26	0	0	0	0	0	0	0	0	0	0
40	chr10:2902001-21822425	SBS5	2	1	2	6	0	0	0	0	0	0	0	0	0	0
41	chr10:30079007-32271643	SBS1	2	1	2	0	0	0	0	0	0	0	0	0	0	0
42	chr10:30079007-32271643	SBS100	2	1	1	0	0	0	0	0	0	0	0	0	0	0
43	chr10:30079007-32271643	SBS3	2	1	7	3	0	0	0	0	0	0	0	0	0	0
44	chr10:32271873-36836000	SBS100	2	1	2	1	0	0	0	0	0	0	0	0	0	0
45	chr10:32271873-36836000	SBS13	2	1	2	0	0	0	0	0	0	0	0	0	0	0
46	chr10:32271873-36836000	SBS3	2	1	4	6	0	0	0	0	0	0	0	0	0	0
47	chr10:32271873-36836000	SBS5	2	1	0	1	0	0	0	0	0	0	0	0	0	0
48	chr10:36836001-40640101	SBS13	2	1	2	0	0	0	0	0	0	0	0	0	0	0
49	chr10:36836001-40640101	SBS3	2	1	23	3	0	0	0	0	0	0	0	0	0	0
50	chr10:40640102-48475959	SBS13	1	0	1	0	0	0	0	0	0	0	0	0	0	0
51	chr10:40640102-48475959	SBS3	1	0	23	0	0	0	0	0	0	0	0	0	0	0
52	chr10:40640102-48475959	SBS5	1	0	3	0	0	0	0	0	0	0	0	0	0	0
53	chr10:48485549-62919662	SBS1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
54	chr10:48485549-62919662	SBS100	1	0	3	0	0	0	0	0	0	0	0	0	0	0
55	chr10:48485549-62919662	SBS13	1	0	2	0	0	0	0	0	0	0	0	0	0	0
56	chr10:48485549-62919662	SBS3	1	0	27	0	0	0	0	0	0	0	0	0	0	0
57	chr10:48485549-62919662	SBS5	1	0	4	0	0	0	0	0	0	0	0	0	0	0
58	chr10:62919695-63844218	SBS3	1	0	2	0	0	0	0	0	0	0	0	0	0	0
59	chr10:63848020-65499255	SBS100	1	0	1	0	0	0	0	0	0	0	0	0	0	0
60	chr10:63848020-65499255	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
61	chr10:65499286-86893373	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
62	chr10:65499286-86893373	SBS100	1	0	2	0	0	0	0	0	0	0	0	0	0	0
63	chr10:65499286-86893373	SBS13	1	0	8	0	0	0	0	0	0	0	0	0	0	0
64	chr10:65499286-86893373	SBS3	1	0	24	0	0	0	0	0	0	0	0	0	0	0
65	chr10:65499286-86893373	SBS5	1	0	1	0	0	0	0	0	0	0	0	0	0	0
66	chr10:89238001-92239593	SBS13	1	0	1	0	0	0	0	0	0	0	0	0	0	0
67	chr10:89238001-92239593	SBS3	1	0	5	0	0	0	0	0	0	0	0	0	0	0
68	chr10:92239839-94559443	SBS3	1	0	2	0	0	0	0	0	0	0	0	0	0	0
69	chr10:94564819-96887986	SBS3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
70	chr10:96907519-106692529	SBS1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
71	chr10:96907519-106692529	SBS100	1	0	1	0	0	0	0	0	0	0	0	0	0	0
72	chr10:96907519-106692529	SBS13	1	0	2	0	0	0	0	0	0	0	0	0	0	0
73	chr10:96907519-106692529	SBS3	1	0	14	0	0	0	0	0	0	0	0	0	0	0
74	chr11:1-12973935	SBS1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
75	chr11:1-12973935	SBS13	1	0	2	0	0	0	0	0	0	0	0	0	0	0
76	chr11:1-12973935	SBS3	1	0	30	0	0	0	0	0	0	0	0	0	0	0
77	chr11:1-12973935	SBS5	1	0	2	0	0	0	0	0	0	0	0	0	0	0
78	chr11:102148922-102537192	SBS3	2	2	0	1	0	0	0	0	0	0	0	0	0	0
79	chr11:102696238-104784140	SBS1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
80	chr11:102696238-104784140	SBS13	2	1	0	1	0	0	0	0	0	0	0	0	0	0
81	chr11:102696238-104784140	SBS3	2	1	6	1	0	0	0	0	0	0	0	0	0	0
82	chr11:104784178-115142915	SBS1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
83	chr11:104784178-115142915	SBS100	2	1	1	0	0	0	0	0	0	0	0	0	0	0
84	chr11:104784178-115142915	SBS13	2	1	2	0	0	0	0	0	0	0	0	0	0	0
85	chr11:104784178-115142915	SBS3	2	1	34	6	0	0	0	0	0	0	0	0	0	0
86	chr11:104784178-115142915	SBS5	2	1	1	0	0	0	0	0	0	0	0	0	0	0
87	chr11:115160377-115913000	SBS3	2	1	4	0	0	0	0	0	0	0	0	0	0	0
88	chr11:115913001-125032659	SBS1	3	1	4	0	1	0	0	0	0	0	0	0	0	0
89	chr11:115913001-125032659	SBS100	3	1	1	0	0	0	0	0	0	0	0	0	0	0
90	chr11:115913001-125032659	SBS13	3	1	4	0	0	0	0	0	0	0	0	0	0	0
91	chr11:115913001-125032659	SBS3	3	1	27	3	6	0	0	0	0	0	0	0	0	0
92	chr11:115913001-125032659	SBS5	3	1	2	0	0	0	0	0	0	0	0	0	0	0
93	chr11:125054247-126489000	SBS100	3	0	1	0	0	0	0	0	0	0	0	0	0	0
94	chr11:125054247-126489000	SBS13	3	0	1	0	0	0	0	0	0	0	0	0	0	0
95	chr11:125054247-126489000	SBS3	3	0	4	0	1	0	0	0	0	0	0	0	0	0
96	chr11:126489001-128009000	SBS100	2	0	0	1	0	0	0	0	0	0	0	0	0	0
97	chr11:126489001-128009000	SBS13	2	0	1	0	0	0	0	0	0	0	0	0	0	0
98	chr11:126489001-128009000	SBS3	2	0	1	0	0	0	0	0	0	0	0	0	0	0
99	chr11:128009001-130937000	SBS1	3	0	1	2	0	0	0	0	0	0	0	0	0	0
100	chr11:128009001-130937000	SBS13	3	0	2	0	0	0	0	0	0	0	0	0	0	0
101	chr11:128009001-130937000	SBS3	3	0	6	0	0	0	0	0	0	0	0	0	0	0
102	chr11:12973936-12975175	SBS13	2	0	1	0	0	0	0	0	0	0	0	0	0	0
103	chr11:12973936-12975175	SBS3	2	0	2	0	0	0	0	0	0	0	0	0	0	0
