,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,t6,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:7931001-17379500,chr1,7931001,17379500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1,,,,,False,True,False,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,1.0,,,,,2,1,"[0.6666666666666666, 1.0]",9448499
1,chr1:17686001-31456373,chr1,17686001,31456373,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,4,2/3,,,,,False,True,False,0.8571428571428571,0.14285714285714285,,,,,0.8571428571428571,1.0,,,,,2,1,"[0.8571428571428571, 1.0]",13770372
2,chr1:38787001-42245329,chr1,38787001,42245329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.1_solutions_downsized.sobj,0.5833333333333334,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,,True,True,False,0.3181818181818182,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,,0.3181818181818182,0.5454545454545454,0.5454545454545454,0.7727272727272727,1.0,,4,2,"[0.3181818181818182, 0.5454545454545454, 0.5454545454545454, 0.7727272727272727, 1.0]",3458328
3,chr1:38787001-42245329,chr1,38787001,42245329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.2_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,4,2,[],3458328
4,chr1:38787001-42245329,chr1,38787001,42245329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.3_solutions_downsized.sobj,1.0,0.0,0.0,0.0,0.8333333333333334,,False,True,False,0.5454545454545454,0.0,0.0,0.0,0.45454545454545453,,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,,4,2,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 1.0]",3458328
5,chr1:38787001-42245329,chr1,38787001,42245329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.4_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,4,2,[],3458328
6,chr1:38787001-42245329,chr1,38787001,42245329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.5_solutions_downsized.sobj,1.0,0.0,0.0,0.0,0.8333333333333334,,False,True,False,0.5454545454545454,0.0,0.0,0.0,0.45454545454545453,,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,,4,2,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 1.0]",3458328
7,chr1:75705001-84412000,chr1,75705001,84412000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.5,0.0,0.0,,,,False,True,False,1.0,0.0,0.0,,,,1.0,1.0,1.0,,,,2,2,"[1.0, 1.0, 1.0]",8706999
8,chr1:87185001-93629915,chr1,87185001,93629915,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.75,0.5,0.25,,,,True,True,False,0.7,0.2,0.1,,,,0.7,0.8999999999999999,0.9999999999999999,,,,2,2,"[0.7, 0.8999999999999999, 0.9999999999999999]",6444914
9,chr1:95092001-111779000,chr1,95092001,111779000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.125,1.75,0.875,,,,True,True,False,0.3,0.4666666666666667,0.23333333333333334,,,,0.3,0.7666666666666666,1.0,,,,2,2,"[0.3, 0.7666666666666666, 1.0]",16686999
10,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.242_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
11,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.244_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
12,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.246_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
13,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.292_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
14,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.32_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
15,chr1:144647501-152194000,chr1,144647501,152194000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.359_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],7546499
16,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.104_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
17,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.105_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
18,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.107_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
19,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.126_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
20,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.127_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
21,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.128_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
22,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.129_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
23,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.142_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
24,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.143_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
25,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.147_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
26,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.148_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
27,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.152_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
28,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.158_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
29,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.161_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
30,chr1:159772001-161483776,chr1,159772001,161483776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_4.162_solutions_downsized.sobj,,,,,,,,False,False,,,,,,,,,,,,,6,4,[],1711775
