,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:9638001-25443170,chr1,9638001,25443170,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,3.81515102,1.12356087,0.0,,False,True,False,0.7724992072781147,0.2275007927218852,0.0,,0.7724992072781147,0.9999999999999999,0.9999999999999999,,3,1,"[0.7724992072781147, 0.9999999999999999, 0.9999999999999999]",15805169
1,chr1:66815001-116559000,chr1,66815001,116559000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],49743999
2,chr2:84256001-242193529,chr2,84256001,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,13.5,0.0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,1,"[1.0, 1.0]",157937528
3,chr3:67829214-99488000,chr3,67829214,99488000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,5.375,0.25,0.125,,True,True,False,0.9347826086956522,0.043478260869565216,0.021739130434782608,,0.9347826086956522,0.9782608695652174,1.0,,2,2,"[0.9347826086956522, 0.9782608695652174, 1.0]",31658786
4,chr3:119664851-136171654,chr3,119664851,136171654,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,2.4996163,0.0,0.0,0.0,False,True,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,2,"[1.0, 1.0, 1.0, 1.0]",16506803
5,chr4:483385-26348907,chr4,483385,26348907,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,2,,,False,True,False,0.5,0.5,,,0.5,1.0,,,2,0,"[0.5, 1.0]",25865522
6,chr5:142227001-162436457,chr5,142227001,162436457,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,5,0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,0,"[1.0, 1.0]",20209456
7,chr5:163355306-181538259,chr5,163355306,181538259,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,3/2,,,False,True,False,0.5714285714285714,0.42857142857142855,,,0.5714285714285714,1.0,,,2,0,"[0.5714285714285714, 1.0]",18182953
8,chr6:59191911-136428000,chr6,59191911,136428000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,5.0,0.0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,1,"[1.0, 1.0]",77236089
9,chr7:1-51531000,chr7,1,51531000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,6.375,0.25,0.125,,True,True,False,0.9444444444444444,0.037037037037037035,0.018518518518518517,,0.9444444444444444,0.9814814814814814,0.9999999999999999,,2,2,"[0.9444444444444444, 0.9814814814814814, 0.9999999999999999]",51530999
10,chr7:55749001-70901912,chr7,55749001,70901912,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,6.0,0.0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,1,"[1.0, 1.0]",15152911
11,chr7:134759001-158986169,chr7,134759001,158986169,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,3.49993381,0.0,0.0,0.0,False,True,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,2,"[1.0, 1.0, 1.0, 1.0]",24227168
12,chr8:95092001-144126000,chr8,95092001,144126000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.1_solutions_downsized.sobj,4.9999752,0.0,0.0,0.0,False,True,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,2,"[1.0, 1.0, 1.0, 1.0]",49033999
13,chr9:69751378-122300000,chr9,69751378,122300000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,4.5,0.0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,1,"[1.0, 1.0]",52548622
14,chr10:105418001-133797422,chr10,105418001,133797422,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],28379421
15,chr11:61384088-73956000,chr11,61384088,73956000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.5,0.0,0.0,,False,True,False,1.0,0.0,0.0,,1.0,1.0,1.0,,2,2,"[1.0, 1.0, 1.0]",12571912
16,chr11:73956001-80803590,chr11,73956001,80803590,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,2.49987065,0.0,0.0,0.0,False,True,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,2,"[1.0, 1.0, 1.0, 1.0]",6847589
17,chr12:1-11817251,chr12,1,11817251,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,3.5,0.0,0.0,,False,True,False,1.0,0.0,0.0,,1.0,1.0,1.0,,2,2,"[1.0, 1.0, 1.0]",11817250
18,chr12:18258001-35977329,chr12,18258001,35977329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.5,0.0,0.0,,False,True,False,1.0,0.0,0.0,,1.0,1.0,1.0,,2,2,"[1.0, 1.0, 1.0]",17719328
19,chr12:44575001-90182000,chr12,44575001,90182000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,3,2,,,False,True,False,0.6,0.4,,,0.6,1.0,,,2,0,"[0.6, 1.0]",45606999
20,chr12:117369001-133275309,chr12,117369001,133275309,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,4.00067367,2.49963812,0.0,,False,True,False,0.6154587347878585,0.38454126521214144,0.0,,0.6154587347878585,1.0,1.0,,3,0,"[0.6154587347878585, 1.0, 1.0]",15906308
21,chr17:1-52606566,chr17,1,52606566,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,3,,,False,True,False,0.4,0.6,,,0.4,1.0,,,2,0,"[0.4, 1.0]",52606565
22,chr17:52606567-64088000,chr17,52606567,64088000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_0.1_solutions_downsized.sobj,2.00003899,1.49999434,1.33345052,0.0,False,True,False,0.4137882844069087,0.3103339923231563,0.275877723269935,0.0,0.4137882844069087,0.724122276730065,1.0,1.0,4,0,"[0.4137882844069087, 0.724122276730065, 1.0, 1.0]",11481433
23,chr19:25844927-58617616,chr19,25844927,58617616,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,9.0,0.0,,,False,True,False,1.0,0.0,,,1.0,1.0,,,2,1,"[1.0, 1.0]",32772689
24,chr20:28237290-53198004,chr20,28237290,53198004,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,4.875,0.25,0.125,,True,True,False,0.9285714285714286,0.047619047619047616,0.023809523809523808,,0.9285714285714286,0.9761904761904763,1.0,,2,2,"[0.9285714285714286, 0.9761904761904763, 1.0]",24960714
25,chr22:27513286-50818468,chr22,27513286,50818468,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,3,1,,,False,True,False,0.75,0.25,,,0.75,1.0,,,2,0,"[0.75, 1.0]",23305182
