	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N5	N6
0	chr10:1-2929520	SBS1	2	0	1	0	0	0	0	0
1	chr10:1-2929520	SBS13	2	0	1	1	0	0	0	0
2	chr10:1-2929520	SBS3	2	0	4	0	0	0	0	0
3	chr10:122229679-133797422	SBS1	2	0	0	1	0	0	0	0
4	chr10:122229679-133797422	SBS13	2	0	2	0	0	0	0	0
5	chr10:122229679-133797422	SBS3	2	0	24	3	0	0	0	0
6	chr10:13128554-19206572	SBS13	2	1	2	1	0	0	0	0
7	chr10:13128554-19206572	SBS2	2	1	1	1	0	0	0	0
8	chr10:13128554-19206572	SBS3	2	1	19	3	0	0	0	0
9	chr10:19207246-21444427	SBS13	2	1	1	0	0	0	0	0
10	chr10:19207246-21444427	SBS3	2	1	7	3	0	0	0	0
11	chr10:21444428-21446215	SBS13	3	2	1	3	0	0	0	0
12	chr10:21444428-21446215	SBS3	3	2	0	2	0	0	0	0
13	chr10:21446216-21777988	SBS2	4	2	0	0	1	0	0	0
14	chr10:21446216-21777988	SBS3	4	2	0	2	0	0	0	0
15	chr10:21777989-24433737	SBS13	2	2	3	0	0	0	0	0
16	chr10:21777989-24433737	SBS2	2	2	2	0	0	0	0	0
17	chr10:21777989-24433737	SBS3	2	2	8	5	0	0	0	0
18	chr10:24433738-24735052	SBS3	2	2	0	3	0	0	0	0
19	chr10:24735068-25652627	SBS3	2	2	2	3	0	0	0	0
20	chr10:25653200-28123627	SBS1	3	2	0	0	2	0	0	0
21	chr10:25653200-28123627	SBS13	3	2	0	1	0	0	0	0
22	chr10:25653200-28123627	SBS2	3	2	2	1	0	0	0	0
23	chr10:25653200-28123627	SBS3	3	2	9	3	4	0	0	0
24	chr10:28123737-29158786	SBS13	2	2	1	0	0	0	0	0
25	chr10:28123737-29158786	SBS3	2	2	1	1	0	0	0	0
26	chr10:29158787-30694190	SBS13	2	1	1	1	0	0	0	0
