	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4
0	chr10:1-1155000	SBS13	2	1	1	0	0	0
1	chr10:1-1155000	SBS3	2	1	1	0	0	0
2	chr10:1-1155000	SBS5	2	1	1	1	0	0
3	chr10:1-1155000	SBS8	2	1	2	0	0	0
4	chr10:104296662-106011337	SBS13	1	0	1	0	0	0
5	chr10:104296662-106011337	SBS3	1	0	2	0	0	0
6	chr10:104296662-106011337	SBS5	1	0	7	0	0	0
7	chr10:104296662-106011337	SBS8	1	0	2	0	0	0
8	chr10:106012003-113117813	SBS13	1	0	1	0	0	0
9	chr10:106012003-113117813	SBS3	1	0	5	0	0	0
10	chr10:106012003-113117813	SBS5	1	0	12	0	0	0
11	chr10:106012003-113117813	SBS8	1	0	9	0	0	0
12	chr10:10776001-14085237	SBS1	2	1	0	1	0	0
13	chr10:10776001-14085237	SBS13	2	1	2	0	0	0
14	chr10:10776001-14085237	SBS3	2	1	2	1	0	0
15	chr10:10776001-14085237	SBS5	2	1	8	0	0	0
16	chr10:10776001-14085237	SBS8	2	1	4	0	0	0
17	chr10:113131600-116756707	SBS1	1	0	3	0	0	0
18	chr10:113131600-116756707	SBS13	1	0	1	0	0	0
19	chr10:113131600-116756707	SBS3	1	0	6	0	0	0
20	chr10:113131600-116756707	SBS5	1	0	8	0	0	0
21	chr10:113131600-116756707	SBS8	1	0	5	0	0	0
22	chr10:1155001-3026000	SBS1	2	1	1	0	0	0
23	chr10:1155001-3026000	SBS13	2	1	1	0	0	0
24	chr10:1155001-3026000	SBS3	2	1	2	0	0	0
25	chr10:1155001-3026000	SBS5	2	1	3	0	0	0
26	chr10:1155001-3026000	SBS8	2	1	2	0	0	0
27	chr10:116756708-116882682	SBS5	2	0	1	0	0	0
28	chr10:116892287-117533239	SBS3	2	0	6	0	0	0
29	chr10:116892287-117533239	SBS5	2	0	6	0	0	0
30	chr10:116892287-117533239	SBS8	2	0	2	0	0	0
31	chr10:117533240-120390233	SBS13	1	0	1	0	0	0
32	chr10:117533240-120390233	SBS3	1	0	1	0	0	0
33	chr10:117533240-120390233	SBS5	1	0	4	0	0	0
34	chr10:117533240-120390233	SBS8	1	0	2	0	0	0
35	chr10:120390234-123846960	SBS13	2	0	1	0	0	0
36	chr10:120390234-123846960	SBS3	2	0	1	0	0	0
37	chr10:120390234-123846960	SBS5	2	0	7	0	0	0
38	chr10:120390234-123846960	SBS8	2	0	2	2	0	0
39	chr10:123847012-128833830	SBS1	2	0	3	1	0	0
40	chr10:123847012-128833830	SBS13	2	0	2	0	0	0
41	chr10:123847012-128833830	SBS3	2	0	8	3	0	0
42	chr10:123847012-128833830	SBS5	2	0	18	0	0	0
43	chr10:123847012-128833830	SBS8	2	0	3	0	0	0
44	chr10:128833831-129706718	SBS13	3	0	1	0	1	0
45	chr10:128833831-129706718	SBS3	3	0	2	0	0	0
46	chr10:128833831-129706718	SBS5	3	0	3	0	0	0
47	chr10:128833831-129706718	SBS8	3	0	0	1	0	0
48	chr10:129706719-130832000	SBS13	1	0	1	0	0	0
49	chr10:129706719-130832000	SBS3	1	0	1	0	0	0
50	chr10:129706719-130832000	SBS5	1	0	1	0	0	0
51	chr10:129706719-130832000	SBS8	1	0	2	0	0	0
52	chr10:130832001-131111000	SBS13	1	0	1	0	0	0
53	chr10:130832001-131111000	SBS8	1	0	2	0	0	0
