segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
10:103994161-114188017	SBS16	1	0	6	0	0
10:103994161-114188017	SBS5	1	0	15	0	0
10:103994161-114188017	SBS8	1	0	11	0	0
10:114730700-135389924	SBS16	1	0	15	0	0
10:114730700-135389924	SBS5	1	0	37	0	0
10:114730700-135389924	SBS8	1	0	13	0	0
10:130013-37999999	SBS1	2	1	8	2	0
10:130013-37999999	SBS16	2	1	79	12	0
10:130013-37999999	SBS5	2	1	159	17	0
10:130013-37999999	SBS8	2	1	86	6	0
10:38000000-42387499	SBS16	2	1	3	0	0
10:38000000-42387499	SBS5	2	1	8	1	0
10:38000000-42387499	SBS8	2	1	2	0	0
10:42387500-71797977	SBS16	2	1	45	5	0
10:42387500-71797977	SBS5	2	1	82	11	0
10:42387500-71797977	SBS8	2	1	55	5	0
10:71797978-72039142	SBS16	1	1	3	0	0
10:71797978-72039142	SBS5	1	1	1	0	0
10:72425928-86860399	SBS1	1	1	2	0	0
10:72425928-86860399	SBS16	1	1	30	0	0
10:72425928-86860399	SBS5	1	1	36	0	0
10:72425928-86860399	SBS8	1	1	17	0	0
10:86866146-103994160	SBS1	1	1	2	0	0
10:86866146-103994160	SBS16	1	1	34	0	0
10:86866146-103994160	SBS5	1	1	39	0	0
10:86866146-103994160	SBS8	1	1	12	0	0
11:101359711-113149384	SBS1	1	1	1	0	0
11:101359711-113149384	SBS16	1	1	19	0	0
11:101359711-113149384	SBS5	1	1	53	0	0
11:101359711-113149384	SBS8	1	1	13	0	0
11:113168095-134452200	SBS1	1	1	3	0	0
11:113168095-134452200	SBS16	1	1	42	0	0
11:113168095-134452200	SBS5	1	1	49	0	0
11:113168095-134452200	SBS8	1	1	22	0	0
11:190010-19730215	SBS1	2	1	3	0	0
11:190010-19730215	SBS16	2	1	39	9	0
11:190010-19730215	SBS5	2	1	59	7	0
11:190010-19730215	SBS8	2	1	24	3	0
11:19915320-22895666	SBS1	2	1	1	0	0
11:19915320-22895666	SBS16	2	1	15	3	0
11:19915320-22895666	SBS5	2	1	8	0	0
11:19915320-22895666	SBS8	2	1	8	1	0
11:22952501-51599999	SBS1	2	1	2	0	0
11:22952501-51599999	SBS16	2	1	45	7	0
11:22952501-51599999	SBS5	2	1	107	18	0
11:22952501-51599999	SBS8	2	1	68	6	0
11:51600000-55699999	SBS5	2	1	5	2	0
11:51600000-55699999	SBS8	2	1	4	0	0
11:55700000-60399624	SBS1	2	1	1	1	0
11:55700000-60399624	SBS16	2	1	12	2	0
11:55700000-60399624	SBS5	2	1	19	1	0
11:55700000-60399624	SBS8	2	1	8	0	0
11:60399625-60423625	SBS5	2	1	0	1	0
11:60423626-72600906	SBS16	2	1	33	3	0
11:60423626-72600906	SBS5	2	1	37	6	0
11:60423626-72600906	SBS8	2	1	15	1	0
11:72600907-72780649	SBS16	1	1	1	0	0
11:72780650-74354329	SBS16	2	1	0	2	0
11:72780650-74354329	SBS5	2	1	5	1	0
11:72780650-74354329	SBS8	2	1	5	0	0
11:74355678-101359710	SBS1	2	1	2	0	0
11:74355678-101359710	SBS16	2	1	61	6	0
11:74355678-101359710	SBS5	2	1	108	18	0
11:74355678-101359710	SBS8	2	1	52	3	0
12:110107-33299999	SBS1	1	1	3	0	0
12:110107-33299999	SBS16	1	1	61	0	0
12:110107-33299999	SBS5	1	1	89	0	0
12:110107-33299999	SBS8	1	1	30	0	0
12:124901375-133293626	SBS1	1	0	1	0	0
12:124901375-133293626	SBS16	1	0	4	0	0
12:124901375-133293626	SBS5	1	0	14	0	0
12:124901375-133293626	SBS8	1	0	7	0	0
12:33300000-38199999	SBS5	1	1	11	0	0
12:33300000-38199999	SBS8	1	1	3	0	0
12:38200000-46185762	SBS16	1	1	16	0	0
12:38200000-46185762	SBS5	1	1	14	0	0
12:38200000-46185762	SBS8	1	1	19	0	0
12:46241447-124901374	SBS1	1	1	5	0	0
12:46241447-124901374	SBS16	1	1	115	0	0
12:46241447-124901374	SBS5	1	1	204	0	0
12:46241447-124901374	SBS8	1	1	92	0	0
13:111978079-114142800	SBS16	2	1	2	1	0
13:111978079-114142800	SBS5	2	1	5	6	0
13:111978079-114142800	SBS8	2	1	3	3	0
13:114142801-115169877	SBS1	2	1	0	1	0
