	segment_id	sig_max	major_cn	minor_cn	N2	N1	N3	N4	N5	N7	N8	N6	N11
0	chr10:1-1123000	SBS13	3	1	1	0	0	0	0	0	0	0	0
1	chr10:1-1123000	SBS3	3	1	3	5	1	0	0	0	0	0	0
2	chr10:1-1123000	SBS5	3	1	0	3	1	0	0	0	0	0	0
3	chr10:1-1123000	SBS8	3	1	0	1	0	0	0	0	0	0	0
4	chr10:10018260-11458000	SBS13	3	1	1	0	0	0	0	0	0	0	0
5	chr10:10018260-11458000	SBS3	3	1	1	1	0	0	0	0	0	0	0
6	chr10:10018260-11458000	SBS5	3	1	0	0	1	0	0	0	0	0	0
7	chr10:10018260-11458000	SBS8	3	1	0	1	0	0	0	0	0	0	0
8	chr10:100560001-100878000	SBS13	2	0	0	1	0	0	0	0	0	0	0
9	chr10:100878001-104249000	SBS1	2	0	0	1	0	0	0	0	0	0	0
10	chr10:100878001-104249000	SBS100	2	0	1	0	0	0	0	0	0	0	0
11	chr10:100878001-104249000	SBS13	2	0	0	1	0	0	0	0	0	0	0
12	chr10:100878001-104249000	SBS3	2	0	1	3	0	0	0	0	0	0	0
13	chr10:100878001-104249000	SBS5	2	0	0	1	0	0	0	0	0	0	0
14	chr10:100878001-104249000	SBS8	2	0	0	1	0	0	0	0	0	0	0
15	chr10:104358001-109850000	SBS3	2	0	6	0	0	0	0	0	0	0	0
16	chr10:104358001-109850000	SBS5	2	0	1	0	0	0	0	0	0	0	0
17	chr10:104358001-109850000	SBS8	2	0	4	0	0	0	0	0	0	0	0
18	chr10:109850001-111020000	SBS3	2	0	0	1	0	0	0	0	0	0	0
19	chr10:111020001-112352000	SBS3	2	0	1	0	0	0	0	0	0	0	0
20	chr10:1123001-2597591	SBS1	4	1	0	1	0	0	0	0	0	0	0
21	chr10:1123001-2597591	SBS13	4	1	0	1	0	0	0	0	0	0	0
22	chr10:1123001-2597591	SBS3	4	1	5	1	1	1	0	0	0	0	0
23	chr10:1123001-2597591	SBS8	4	1	0	1	1	0	0	0	0	0	0
24	chr10:112352001-114979000	SBS1	2	0	2	0	0	0	0	0	0	0	0
25	chr10:112352001-114979000	SBS3	2	0	0	2	0	0	0	0	0	0	0
26	chr10:112352001-114979000	SBS8	2	0	1	0	0	0	0	0	0	0	0
27	chr10:114979001-118762000	SBS100	2	0	0	1	0	0	0	0	0	0	0
28	chr10:114979001-118762000	SBS3	2	0	7	2	0	0	0	0	0	0	0
29	chr10:114979001-118762000	SBS5	2	0	0	1	0	0	0	0	0	0	0
30	chr10:114979001-118762000	SBS8	2	0	1	0	0	0	0	0	0	0	0
31	chr10:11620001-16359235	SBS1	3	1	0	1	0	0	0	0	0	0	0
32	chr10:11620001-16359235	SBS100	3	1	0	2	0	0	0	0	0	0	0
33	chr10:11620001-16359235	SBS13	3	1	2	0	0	0	0	0	0	0	0
34	chr10:11620001-16359235	SBS3	3	1	7	12	3	0	0	0	0	0	0
35	chr10:11620001-16359235	SBS5	3	1	2	1	0	0	0	0	0	0	0
36	chr10:11620001-16359235	SBS8	3	1	0	2	0	0	0	0	0	0	0
37	chr10:118762001-122979000	SBS1	2	1	0	1	0	0	0	0	0	0	0
38	chr10:118762001-122979000	SBS13	2	1	0	1	0	0	0	0	0	0	0
