	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
0	chr10:101696559-102384000	SBS3	1	1	1	0	0
1	chr10:102384001-123236892	SBS1	1	0	3	0	0
2	chr10:102384001-123236892	SBS13	1	0	2	0	0
3	chr10:102384001-123236892	SBS2	1	0	1	0	0
4	chr10:102384001-123236892	SBS3	1	0	32	0	0
5	chr10:123236893-133797422	SBS1	2	1	2	5	0
6	chr10:123236893-133797422	SBS2	2	1	0	3	0
7	chr10:123236893-133797422	SBS3	2	1	14	13	0
8	chr10:123236893-133797422	SBS5	2	1	1	0	0
9	chr10:269001-34232543	SBS1	1	1	6	0	0
10	chr10:269001-34232543	SBS13	1	1	3	0	0
11	chr10:269001-34232543	SBS17b	1	1	3	0	0
12	chr10:269001-34232543	SBS2	1	1	4	0	0
13	chr10:269001-34232543	SBS3	1	1	72	0	0
14	chr10:269001-34232543	SBS5	1	1	1	0	0
15	chr10:34235545-38913000	SBS3	1	1	12	0	0
16	chr10:38913001-40640101	SBS2	1	0	1	0	0
17	chr10:38913001-40640101	SBS3	1	0	7	0	0
18	chr10:40640102-63269000	SBS1	1	1	2	0	0
19	chr10:40640102-63269000	SBS13	1	1	2	0	0
20	chr10:40640102-63269000	SBS17b	1	1	1	0	0
21	chr10:40640102-63269000	SBS2	1	1	3	0	0
22	chr10:40640102-63269000	SBS3	1	1	55	0	0
23	chr10:40640102-63269000	SBS5	1	1	2	0	0
24	chr10:63581001-67590000	SBS1	1	1	1	0	0
25	chr10:63581001-67590000	SBS13	1	1	3	0	0
26	chr10:63581001-67590000	SBS3	1	1	5	0	0
27	chr10:63581001-67590000	SBS5	1	1	1	0	0
28	chr10:67590001-70888186	SBS1	1	1	1	0	0
29	chr10:67590001-70888186	SBS3	1	1	2	0	0
30	chr10:70891001-101696558	SBS1	1	0	4	0	0
31	chr10:70891001-101696558	SBS13	1	0	1	0	0
32	chr10:70891001-101696558	SBS17b	1	0	1	0	0
33	chr10:70891001-101696558	SBS2	1	0	1	0	0
34	chr10:70891001-101696558	SBS3	1	0	40	0	0
35	chr11:1-1011000	SBS3	2	0	0	1	0
36	chr11:1011001-9016292	SBS1	2	0	4	0	0
37	chr11:1011001-9016292	SBS13	2	0	3	0	0
38	chr11:1011001-9016292	SBS2	2	0	3	0	0
39	chr11:1011001-9016292	SBS3	2	0	18	4	0
40	chr11:1011001-9016292	SBS5	2	0	1	0	0
41	chr11:117675001-119516000	SBS3	1	1	3	0	0
42	chr11:119516001-129241636	SBS1	1	1	1	0	0
43	chr11:119516001-129241636	SBS3	1	1	10	0	0
44	chr11:12242001-33819000	SBS1	1	0	2	0	0
45	chr11:12242001-33819000	SBS13	1	0	2	0	0
46	chr11:12242001-33819000	SBS17b	1	0	1	0	0
47	chr11:12242001-33819000	SBS3	1	0	27	0	0
48	chr11:12242001-33819000	SBS5	1	0	1	0	0
49	chr11:129244169-135086622	SBS17b	1	0	1	0	0
50	chr11:129244169-135086622	SBS2	1	0	1	0	0
51	chr11:129244169-135086622	SBS3	1	0	9	0	0
52	chr11:33819001-35211630	SBS3	1	1	4	0	0
53	chr11:35230898-36472219	SBS13	1	1	1	0	0
54	chr11:35230898-36472219	SBS3	1	1	1	0	0
55	chr11:36658043-43324000	SBS1	1	1	1	0	0
56	chr11:36658043-43324000	SBS2	1	1	1	0	0
57	chr11:36658043-43324000	SBS3	1	1	10	0	0
58	chr11:43324001-47089049	SBS13	1	1	1	0	0
59	chr11:43324001-47089049	SBS3	1	1	8	0	0
60	chr11:47097058-48579000	SBS3	2	0	1	0	0
61	chr11:48579001-52751710	SBS3	1	0	8	0	0
62	chr11:52751711-56401500	SBS2	1	0	1	0	0
63	chr11:52751711-56401500	SBS3	1	0	5	0	0
64	chr11:56401501-59338158	SBS3	1	1	6	0	0
65	chr11:59342703-69769000	SBS1	1	1	3	0	0
66	chr11:59342703-69769000	SBS13	1	1	3	0	0
67	chr11:59342703-69769000	SBS2	1	1	1	0	0
68	chr11:59342703-69769000	SBS3	1	1	24	0	0
69	chr11:59342703-69769000	SBS5	1	1	2	0	0
70	chr11:69769001-87159792	SBS1	1	1	5	0	0
71	chr11:69769001-87159792	SBS13	1	1	4	0	0
72	chr11:69769001-87159792	SBS2	1	1	1	0	0
73	chr11:69769001-87159792	SBS3	1	1	25	0	0
74	chr11:87167296-89720082	SBS3	1	1	7	0	0
75	chr11:89723109-117675000	SBS1	1	0	3	0	0
76	chr11:89723109-117675000	SBS13	1	0	1	0	0
77	chr11:89723109-117675000	SBS2	1	0	3	0	0
78	chr11:89723109-117675000	SBS3	1	0	33	0	0
79	chr11:9022149-12242000	SBS2	2	0	0	1	0
80	chr11:9022149-12242000	SBS3	2	0	2	1	0
81	chr11:9022149-12242000	SBS5	2	0	1	0	0
82	chr12:1-364000	SBS3	2	0	0	2	0
83	chr12:100321001-101770000	SBS3	2	0	1	0	0
84	chr12:101770001-105478065	SBS3	1	0	8	0	0
85	chr12:105480601-133275309	SBS1	1	0	6	0	0
86	chr12:105480601-133275309	SBS13	1	0	2	0	0
87	chr12:105480601-133275309	SBS3	1	0	32	0	0
88	chr12:105480601-133275309	SBS5	1	0	1	0	0
89	chr12:35977330-38006000	SBS13	1	0	1	0	0
90	chr12:35977330-38006000	SBS3	1	0	2	0	0
91	chr12:364001-35977329	SBS1	1	1	7	0	0
92	chr12:364001-35977329	SBS13	1	1	8	0	0
93	chr12:364001-35977329	SBS17b	1	1	1	0	0
94	chr12:364001-35977329	SBS2	1	1	2	0	0
95	chr12:364001-35977329	SBS3	1	1	103	0	0
96	chr12:38006001-42762666	SBS1	1	1	3	0	0
97	chr12:38006001-42762666	SBS13	1	1	2	0	0
98	chr12:38006001-42762666	SBS3	1	1	12	0	0
99	chr12:42765682-46215883	SBS1	1	1	1	0	0
100	chr12:42765682-46215883	SBS3	1	1	7	0	0
101	chr12:46215884-54498000	SBS3	1	0	12	0	0
102	chr12:54548001-99863000	SBS1	2	0	3	1	0
103	chr12:54548001-99863000	SBS13	2	0	3	0	0
104	chr12:54548001-99863000	SBS17b	2	0	0	3	0
105	chr12:54548001-99863000	SBS2	2	0	6	2	0
106	chr12:54548001-99863000	SBS3	2	0	46	24	0
107	chr12:54548001-99863000	SBS5	2	0	1	0	0
108	chr13:1-17025623	SBS3	1	1	2	0	0
109	chr13:104625001-112523000	SBS1	2	0	1	0	0
110	chr13:104625001-112523000	SBS13	2	0	1	0	0
111	chr13:104625001-112523000	SBS3	2	0	6	2	0
112	chr13:112523001-114364328	SBS1	2	0	1	0	0
113	chr13:112523001-114364328	SBS3	2	0	2	0	0
114	chr13:17025624-25550000	SBS1	1	1	2	0	0
115	chr13:17025624-25550000	SBS13	1	1	1	0	0
116	chr13:17025624-25550000	SBS17b	1	1	1	0	0
117	chr13:17025624-25550000	SBS2	1	1	1	0	0
118	chr13:17025624-25550000	SBS3	1	1	22	0	0
119	chr13:17025624-25550000	SBS5	1	1	1	0	0
120	chr13:25550001-29491432	SBS2	2	1	0	1	0
121	chr13:25550001-29491432	SBS3	2	1	2	1	0
122	chr13:25550001-29491432	SBS5	2	1	0	1	0
123	chr13:29491433-32388942	SBS17b	2	2	0	1	0
124	chr13:29491433-32388942	SBS2	2	2	0	1	0
125	chr13:29491433-32388942	SBS3	2	2	3	5	0
126	chr13:32645487-37221852	SBS17b	2	2	1	0	0
127	chr13:32645487-37221852	SBS2	2	2	0	1	0
128	chr13:32645487-37221852	SBS3	2	2	4	8	0
129	chr13:32645487-37221852	SBS5	2	2	0	1	0
130	chr13:37221853-38294852	SBS13	1	1	1	0	0
131	chr13:37221853-38294852	SBS3	1	1	2	0	0
132	chr13:38294853-47069674	SBS13	1	0	1	0	0
133	chr13:38294853-47069674	SBS3	1	0	15	0	0
134	chr13:47069842-48365865	SBS3	1	0	1	0	0
135	chr13:48372412-52936000	SBS13	1	0	1	0	0
136	chr13:48372412-52936000	SBS3	1	0	6	0	0
137	chr13:61086204-78051000	SBS1	2	0	4	2	0
138	chr13:61086204-78051000	SBS13	2	0	0	2	0
139	chr13:61086204-78051000	SBS17b	2	0	1	0	0
140	chr13:61086204-78051000	SBS2	2	0	2	0	0
141	chr13:61086204-78051000	SBS3	2	0	23	8	0
142	chr13:61086204-78051000	SBS5	2	0	1	0	0
143	chr13:78051001-104620000	SBS1	3	0	0	1	0
144	chr13:78051001-104620000	SBS13	3	0	0	1	1
145	chr13:78051001-104620000	SBS17b	3	0	0	1	0
146	chr13:78051001-104620000	SBS2	3	0	0	2	1
147	chr13:78051001-104620000	SBS3	3	0	10	24	16
148	chr13:78051001-104620000	SBS5	3	0	0	1	0
149	chr14:1-17086761	SBS13	1	1	1	0	0
150	chr14:1-17086761	SBS3	1	1	2	0	0
151	chr14:104795140-105756000	SBS1	2	1	1	0	0
152	chr14:104795140-105756000	SBS3	2	1	1	4	0
153	chr14:105756001-107043718	SBS1	1	1	2	0	0
154	chr14:105756001-107043718	SBS3	1	1	20	0	0
155	chr14:17086762-21874000	SBS3	1	1	6	0	0
156	chr14:22043001-23925759	SBS13	1	1	1	0	0
157	chr14:22043001-23925759	SBS3	1	1	6	0	0
158	chr14:23927382-58519882	SBS1	1	1	3	0	0
159	chr14:23927382-58519882	SBS13	1	1	5	0	0
160	chr14:23927382-58519882	SBS17b	1	1	1	0	0
161	chr14:23927382-58519882	SBS2	1	1	3	0	0
162	chr14:23927382-58519882	SBS3	1	1	49	0	0
163	chr14:23927382-58519882	SBS5	1	1	1	0	0
164	chr14:58524351-77773000	SBS17b	1	1	1	0	0
165	chr14:58524351-77773000	SBS2	1	1	3	0	0
166	chr14:58524351-77773000	SBS3	1	1	45	0	0
167	chr14:58524351-77773000	SBS5	1	1	2	0	0
168	chr14:77773001-89200253	SBS1	1	1	2	0	0
169	chr14:77773001-89200253	SBS17b	1	1	1	0	0
170	chr14:77773001-89200253	SBS3	1	1	23	0	0
171	chr14:89203527-104741148	SBS1	1	1	3	0	0
172	chr14:89203527-104741148	SBS13	1	1	1	0	0
173	chr14:89203527-104741148	SBS17b	1	1	2	0	0
174	chr14:89203527-104741148	SBS3	1	1	21	0	0
175	chr15:18362627-30363500	SBS1	1	0	2	0	0
176	chr15:18362627-30363500	SBS2	1	0	3	0	0
177	chr15:18362627-30363500	SBS3	1	0	19	0	0
178	chr15:18362627-30363500	SBS5	1	0	1	0	0
179	chr15:31071522-43658563	SBS1	1	0	1	0	0
180	chr15:31071522-43658563	SBS13	1	0	2	0	0
181	chr15:31071522-43658563	SBS3	1	0	9	0	0
182	chr15:31071522-43658563	SBS5	1	0	2	0	0
183	chr15:43658619-58348723	SBS1	1	0	1	0	0
184	chr15:43658619-58348723	SBS17b	1	0	1	0	0
185	chr15:43658619-58348723	SBS2	1	0	1	0	0
186	chr15:43658619-58348723	SBS3	1	0	15	0	0
187	chr15:58348724-74645988	SBS1	2	0	2	0	0
188	chr15:58348724-74645988	SBS13	2	0	1	1	0
189	chr15:58348724-74645988	SBS3	2	0	19	11	0
190	chr15:58348724-74645988	SBS5	2	0	1	0	0
191	chr15:74653888-90446142	SBS1	2	0	5	0	0
192	chr15:74653888-90446142	SBS13	2	0	2	0	0
193	chr15:74653888-90446142	SBS17b	2	0	0	1	0
194	chr15:74653888-90446142	SBS2	2	0	4	1	0
195	chr15:74653888-90446142	SBS3	2	0	22	6	0
196	chr15:74653888-90446142	SBS5	2	0	1	0	0
197	chr15:90459038-91115000	SBS3	3	0	1	0	0
198	chr15:91115001-101991189	SBS1	2	0	2	0	0
199	chr15:91115001-101991189	SBS13	2	0	0	1	0
200	chr15:91115001-101991189	SBS3	2	0	6	6	0
