segment_id	sig_max	major_cn	minor_cn	N1
10:38000000-42299999	SBS5	1	1	2
10:38000000-42299999	SBS8	1	1	1
10:42300000-135389924	SBS40	1	1	35
10:42300000-135389924	SBS5	1	1	102
10:42300000-135389924	SBS8	1	1	64
10:94426-37999999	SBS40	1	1	10
10:94426-37999999	SBS5	1	1	41
10:94426-37999999	SBS8	1	1	23
11:190010-51599999	SBS40	1	1	14
11:190010-51599999	SBS5	1	1	67
11:190010-51599999	SBS8	1	1	30
11:51600000-55699999	SBS5	1	1	3
11:55700000-134442500	SBS40	1	1	24
11:55700000-134442500	SBS5	1	1	86
11:55700000-134442500	SBS8	1	1	40
12:132342501-133851894	SBS5	1	1	1
12:188285-33299999	SBS40	1	1	8
12:188285-33299999	SBS5	1	1	37
12:188285-33299999	SBS8	1	1	12
12:33300000-38199999	SBS40	1	1	2
12:33300000-38199999	SBS5	1	1	2
12:33300000-38199999	SBS8	1	1	2
12:38200000-55782222	SBS40	1	1	5
12:38200000-55782222	SBS5	1	1	18
12:38200000-55782222	SBS8	1	1	5
12:55782223-132342500	SBS40	1	1	24
12:55782223-132342500	SBS5	1	1	87
12:55782223-132342500	SBS8	1	1	49
13:114137501-115169877	SBS5	1	1	1
13:114137501-115169877	SBS8	1	1	1
13:16300000-19499999	SBS5	1	1	1
13:16300000-19499999	SBS8	1	1	2
13:19500000-114137500	SBS40	1	1	32
13:19500000-114137500	SBS5	1	1	133
13:19500000-114137500	SBS8	1	1	63
14:19100000-106362500	SBS40	1	1	21
14:19100000-106362500	SBS5	1	1	116
14:19100000-106362500	SBS8	1	1	59
15:100332501-102531391	SBS40	1	1	1
15:100332501-102531391	SBS5	1	1	6
15:15800000-20699999	SBS40	1	1	1
15:15800000-20699999	SBS5	1	1	1
15:15800000-20699999	SBS8	1	1	1
15:20700000-100332500	SBS40	1	1	30
15:20700000-100332500	SBS5	1	1	101
15:20700000-100332500	SBS8	1	1	38
16:100010-34599999	SBS40	1	1	14
16:100010-34599999	SBS5	1	1	43
16:100010-34599999	SBS8	1	1	21
16:34600000-38599999	SBS5	1	1	1
16:38600000-88827200	SBS40	1	1	12
16:38600000-88827200	SBS5	1	1	46
16:38600000-88827200	SBS8	1	1	19
16:88827201-90354752	SBS5	1	1	2
16:88827201-90354752	SBS8	1	1	1
17:12500-22199999	SBS40	1	1	4
17:12500-22199999	SBS5	1	1	27
17:12500-22199999	SBS8	1	1	16
17:22200000-25799999	SBS40	1	1	1
17:22200000-25799999	SBS5	1	1	4
17:25800000-78772500	SBS40	1	1	15
17:25800000-78772500	SBS5	1	1	63
17:25800000-78772500	SBS8	1	1	31
17:78772501-81195209	SBS5	1	1	4
17:78772501-81195209	SBS8	1	1	2
18:15400000-18999999	SBS8	1	1	1
18:19000000-76117000	SBS40	1	1	14
18:19000000-76117000	SBS5	1	1	63
18:19000000-76117000	SBS8	1	1	37
18:27500-15399999	SBS40	1	1	7
18:27500-15399999	SBS5	1	1	37
18:27500-15399999	SBS8	1	1	5
18:76117001-78077247	SBS5	1	1	3
18:76117001-78077247	SBS8	1	1	1
19:24400000-28599999	SBS40	1	1	1
19:24400000-28599999	SBS5	1	1	4
19:24400000-28599999	SBS8	1	1	1
19:260137-24399999	SBS40	1	1	8
19:260137-24399999	SBS5	1	1	34
19:260137-24399999	SBS8	1	1	12
19:28600000-59128982	SBS40	1	1	10
19:28600000-59128982	SBS5	1	1	54
19:28600000-59128982	SBS8	1	1	15
1:10001-121499999	SBS40	1	1	41
1:10001-121499999	SBS5	1	1	147
1:10001-121499999	SBS8	1	1	77
1:128900000-247247500	SBS40	1	1	37
1:128900000-247247500	SBS5	1	1	120
1:128900000-247247500	SBS8	1	1	58
1:247247501-249250620	SBS40	1	1	1
1:247247501-249250620	SBS5	1	1	3
1:247247501-249250620	SBS8	1	1	3
20:25600000-29399999	SBS5	1	1	1
20:25600000-29399999	SBS8	1	1	1
20:29400000-62432500	SBS40	1	1	10
20:29400000-62432500	SBS5	1	1	34
20:29400000-62432500	SBS8	1	1	15
20:32012-25599999	SBS40	1	1	6
20:32012-25599999	SBS5	1	1	27
20:32012-25599999	SBS8	1	1	11
21:14300000-46937500	SBS40	1	1	14
21:14300000-46937500	SBS5	1	1	46
21:14300000-46937500	SBS8	1	1	20
21:46937501-48129894	SBS40	1	1	1
21:46937501-48129894	SBS5	1	1	3
22:12200000-17899999	SBS40	1	1	1
22:12200000-17899999	SBS5	1	1	1
22:12200000-17899999	SBS8	1	1	1
22:17900000-49687500	SBS40	1	1	18
22:17900000-49687500	SBS5	1	1	41
22:17900000-49687500	SBS8	1	1	17
22:49687501-51304565	SBS5	1	1	3
2:11320-90499999	SBS40	1	1	23
2:11320-90499999	SBS5	1	1	128
2:11320-90499999	SBS8	1	1	60
2:90500000-96799999	SBS5	1	1	10
2:90500000-96799999	SBS8	1	1	1
2:96800000-242852391	SBS40	1	1	46
2:96800000-242852391	SBS5	1	1	152
2:96800000-242852391	SBS8	1	1	90
3:100074-75590945	SBS40	1	0	11
3:100074-75590945	SBS5	1	0	78
3:100074-75590945	SBS8	1	0	28
3:75590946-78081702	SBS40	1	0	1
3:75590946-78081702	SBS5	1	0	2
3:75590946-78081702	SBS8	1	0	1
3:78081703-78323576	SBS40	1	1	3
3:78081703-78323576	SBS5	1	1	4
3:78081703-78323576	SBS8	1	1	1
3:78844317-79378393	SBS40	1	1	2
3:78844317-79378393	SBS5	1	1	2
3:78844317-79378393	SBS8	1	1	3
3:79378394-79400390	SBS40	1	1	5
3:79400391-80405229	SBS40	1	1	2
3:79400391-80405229	SBS5	1	1	4
3:79400391-80405229	SBS8	1	1	2
3:80415333-80416434	SBS40	1	0	3
3:81300738-81301512	SBS40	1	0	3
3:81303511-82369206	SBS40	1	1	3
3:81303511-82369206	SBS5	1	1	4
3:81303511-82369206	SBS8	1	1	1
3:82636959-83601743	SBS40	1	1	2
3:82636959-83601743	SBS5	1	1	1
3:83602340-83603664	SBS40	1	0	3
3:83602340-83603664	SBS5	1	0	2
3:83603692-83608120	SBS40	1	0	2
3:83608121-84514899	SBS5	1	0	1
3:83608121-84514899	SBS8	1	0	2
3:84617847-87899999	SBS40	1	1	2
3:84617847-87899999	SBS5	1	1	9
3:84617847-87899999	SBS8	1	1	2
3:87900000-93899999	SBS5	1	1	4
3:87900000-93899999	SBS8	1	1	3
3:93900000-197847500	SBS40	1	1	29
3:93900000-197847500	SBS5	1	1	127
3:93900000-197847500	SBS8	1	1	72
4:27500-48199999	SBS40	1	1	18
4:27500-48199999	SBS5	1	1	57
4:27500-48199999	SBS8	1	1	28
4:48200000-52699999	SBS40	1	1	1
4:48200000-52699999	SBS8	1	1	1
4:52700000-191154275	SBS40	1	1	53
4:52700000-191154275	SBS5	1	1	169
4:52700000-191154275	SBS8	1	1	94
5:22500-46099999	SBS40	1	1	20
5:22500-46099999	SBS5	1	1	73
5:22500-46099999	SBS8	1	1	32
5:46100000-50699999	SBS5	1	1	1
5:50700000-180689978	SBS40	1	1	44
5:50700000-180689978	SBS5	1	1	176
5:50700000-180689978	SBS8	1	1	84
6:242501-58699999	SBS40	1	1	15
6:242501-58699999	SBS5	1	1	51
6:242501-58699999	SBS8	1	1	39
6:58700000-63299999	SBS40	1	1	1
6:58700000-63299999	SBS5	1	1	2
6:58700000-63299999	SBS8	1	1	4
6:63300000-170899934	SBS40	1	1	42
6:63300000-170899934	SBS5	1	1	134
6:63300000-170899934	SBS8	1	1	66
7:40386-57999999	SBS40	1	1	17
7:40386-57999999	SBS5	1	1	89
7:40386-57999999	SBS8	1	1	34
7:58000000-61699999	SBS5	1	1	1
7:61700000-158817500	SBS40	1	1	26
7:61700000-158817500	SBS5	1	1	94
7:61700000-158817500	SBS8	1	1	65
8:170012-17859508	SBS40	1	1	8
8:170012-17859508	SBS5	1	1	27
8:170012-17859508	SBS8	1	1	16
8:17859509-43099999	SBS40	1	1	10
8:17859509-43099999	SBS5	1	1	25
8:17859509-43099999	SBS8	1	1	19
8:43100000-48099999	SBS40	1	1	1
8:43100000-48099999	SBS5	1	1	7
8:48100000-146364021	SBS40	1	1	34
8:48100000-146364021	SBS5	1	1	119
8:48100000-146364021	SBS8	1	1	76
9:107368902-140267500	SBS40	1	1	12
9:107368902-140267500	SBS5	1	1	28
9:107368902-140267500	SBS8	1	1	23
9:50700000-71030092	SBS40	1	1	2
9:50700000-71030092	SBS5	1	1	6
9:52702-47299999	SBS40	1	1	13
9:52702-47299999	SBS5	1	1	62
9:52702-47299999	SBS8	1	1	25
9:71030093-107362864	SBS40	1	1	9
9:71030093-107362864	SBS5	1	1	49
9:71030093-107362864	SBS8	1	1	23
X:1-7552811	SBS40	1	1	7
X:1-7552811	SBS5	1	1	14
X:1-7552811	SBS8	1	1	1
X:58100000-62999999	SBS40	1	1	2
X:58100000-62999999	SBS5	1	1	1
X:58100000-62999999	SBS8	1	1	1
X:63000000-154929638	SBS40	1	1	43
X:63000000-154929638	SBS5	1	1	124
X:63000000-154929638	SBS8	1	1	94
X:7552812-8138181	SBS5	1	1	1
X:7552812-8138181	SBS8	1	1	1
X:8138182-58099999	SBS40	1	1	14
X:8138182-58099999	SBS5	1	1	69
X:8138182-58099999	SBS8	1	1	59
