	segment_id	sig_max	major_cn	minor_cn	N1	N2
0	chr10:1-5507217	SBS1	2	1	3	1
1	chr10:1-5507217	SBS18	2	1	1	0
2	chr10:1-5507217	SBS3	2	1	18	4
3	chr10:1-5507217	SBS5	2	1	8	1
4	chr10:106071390-110817000	SBS1	1	1	3	0
5	chr10:106071390-110817000	SBS18	1	1	4	0
6	chr10:106071390-110817000	SBS3	1	1	19	0
7	chr10:106071390-110817000	SBS5	1	1	12	0
8	chr10:110875001-113602748	SBS1	1	1	2	0
9	chr10:110875001-113602748	SBS3	1	1	7	0
10	chr10:110875001-113602748	SBS5	1	1	4	0
11	chr10:113602956-119321900	SBS1	1	1	1	0
12	chr10:113602956-119321900	SBS18	1	1	2	0
13	chr10:113602956-119321900	SBS3	1	1	16	0
14	chr10:113602956-119321900	SBS5	1	1	3	0
15	chr10:11624773-16567607	SBS1	2	1	4	2
16	chr10:11624773-16567607	SBS18	2	1	1	2
17	chr10:11624773-16567607	SBS3	2	1	10	4
18	chr10:11624773-16567607	SBS5	2	1	8	2
19	chr10:119324503-124684006	SBS1	1	1	2	0
20	chr10:119324503-124684006	SBS18	1	1	1	0
21	chr10:119324503-124684006	SBS3	1	1	18	0
22	chr10:119324503-124684006	SBS5	1	1	8	0
23	chr10:124684056-130874028	SBS1	1	1	3	0
24	chr10:124684056-130874028	SBS18	1	1	3	0
25	chr10:124684056-130874028	SBS3	1	1	19	0
26	chr10:124684056-130874028	SBS5	1	1	12	0
27	chr10:130874085-133797422	SBS1	1	1	3	0
28	chr10:130874085-133797422	SBS18	1	1	4	0
29	chr10:130874085-133797422	SBS3	1	1	7	0
30	chr10:130874085-133797422	SBS5	1	1	4	0
31	chr10:16567608-21070974	SBS3	2	1	13	2
32	chr10:16567608-21070974	SBS5	2	1	5	2
33	chr10:21071027-22367280	SBS18	2	1	1	0
34	chr10:21071027-22367280	SBS3	2	1	1	0
35	chr10:22367281-36302086	SBS1	1	1	3	0
36	chr10:22367281-36302086	SBS18	1	1	7	0
37	chr10:22367281-36302086	SBS3	1	1	44	0
38	chr10:22367281-36302086	SBS5	1	1	32	0
39	chr10:36303385-38579505	SBS3	1	1	8	0
40	chr10:36303385-38579505	SBS5	1	1	4	0
41	chr10:38579506-40640101	SBS1	1	1	4	0
42	chr10:38579506-40640101	SBS18	1	1	2	0
43	chr10:38579506-40640101	SBS3	1	1	29	0
44	chr10:38579506-40640101	SBS5	1	1	17	0
45	chr10:40640102-47820000	SBS1	1	1	10	0
46	chr10:40640102-47820000	SBS18	1	1	2	0
47	chr10:40640102-47820000	SBS3	1	1	31	0
