	chromosome	start	end	t1	t2	t3	t4	t5	sum_t1_to_t1	sum_t1_to_t2	sum_t1_to_t3	sum_t1_to_t4	sum_t1_to_t5	fully_solved	no_solution	tree_structure
0	chr1	1	16955000	1	5				1	6				True	False	2_0.1
1	chr3	327282	14636381	(9/4, 5/2)	-2*t1 + 5	t1 - 9/4								False	False	2_2.1
2	chr17	4361930	17754589	1	0	2			1	1	3			True	False	3_0.1
3	chr12	6641697	10643300	(0, 0)	-2*t1	t1 + 1/2	0	2/3						False	False	3_3.1
4	chr12	6641697	10643300	(inf, 1/2*t4 - 1/2)	-t4 + 1	-2*t1 + t4 - 1	(1, 1)	t1 - t4 + 7/6						False	False	3_3.2
5	chr16	17122486	35082000	1	2				1	3				True	False	2_0.1
6	chr17	17757040	24849829	1	2				1	3				True	False	2_0.1
7	chr15	18362627	31551136	0	3				0	3				True	False	2_0.1
8	chr17	24849830	36978709	0	4				0	4				True	False	2_0.1
9	chr20	28237290	36003360	0	8/3				0	8/3				True	False	2_1.1
10	chr19	30040168	37192513	1.20583596	0.8629228	0.0			1.20583596	2.0687587599999997	2.0687587599999997			True	False	3_1.1
11	chr8	30799001	41673286	2.5	0.0				2.5	2.5				True	False	2_1.1
12	chr12	35977330	66614746	2	2				2	4				True	False	2_0.1
13	chr20	36037152	57407566	0	10/3				0	10/3				True	False	2_1.1
14	chr9	37415069	44377362	(0, 0)	-2*t1	t1 + 5/4								False	False	2_2.1
15	chr17	45178054	50815348	1	2				1	3				True	False	2_0.1
16	chr10	51016730	69136650	1	t4 + 1/5	-2*t4 + 3/5	(0, 3/10)		1					False	False	3_2.1
17	chr10	51016730	69136650											False	True	3_2.2
18	chr7	52154335	59498943	(0, 3/2)	-2*t1 + 3	t1								False	False	2_2.1
19	chr11	52751711	56756318	0	t4 - 3/5	-2*t4 + 11/5	(3/5, 11/10)		0					False	False	3_2.1
20	chr11	52751711	56756318	t4 - 3/5	-t4 + 3/5	-t4 + 8/5	(3/5, 3/5)							False	False	3_2.2
21	chr1	53642020	83342121	6.0	0.0				6.0	6.0				True	False	2_1.1
22	chr18	54566330	65693592	2.5	0.0				2.5	2.5				True	False	2_1.1
23	chr15	55188184	71799962	2	2				2	4				True	False	2_0.1
24	chr8	55207835	58873943	(0, 0)	-2*t1	t1 + 5/4								False	False	2_2.1
25	chr11	58331001	64182860	7/2					7/2					True	False	1_1.1
26	chr7	59498944	70093590	1	1				1	2				True	False	2_1.1
27	chr2	59532865	93139350	0	7/3				0	7/3				True	False	2_1.1
28	chr5	67544214	111546817	6					6					True	False	1_0.1
29	chr9	69842540	107269000	1	5/2				1	7/2				True	False	2_0.1
30	chr1	83342203	94001932	1	5/3				1	8/3				True	False	2_1.1
31	chr7	86639895	102174000	1	1				1	2				True	False	2_1.1
32	chr14	86923935	99669758	1	2				1	3				True	False	2_0.1
33	chr4	88890001	143456111	3	5				3	8				True	False	2_0.1
34	chr15	91224855	101991189	2	0	1	0		2	2	3	3		True	False	4_0.1
35	chr15	91224855	101991189	2	t4	-2*t4 + 1	(0, 1/2)		2					False	False	4_0.2
36	chr14	99669798	106510612	0	5/2				0	5/2				True	False	2_0.1
37	chr12	100698001	112586721	0	3				0	3				True	False	2_0.1
38	chr2	106099290	131110110	1	1				1	2				True	False	2_1.1
39	chr3	107392670	129154465	1	2				1	3				True	False	2_0.1
40	chr11	108306525	119498417	5/2					5/2					True	False	1_1.1
41	chr1	123605523	148282500	(0, 1/2)	-2*t1 + 1	t1 + 1/2								False	False	2_2.1
42	chr12	124931880	133275309	3	1/3				3	10/3				True	False	2_1.1
43	chr3	171976471	178915186	0	0	2			0	0	2			True	False	3_0.1
