chrom	p_end	q_start	centromere
1	121535434	124535434	123035434
2	92326171	95326171	93826171
3	90504854	93504854	92004854
4	49660117	52660117	51160117
5	46405641	49405641	47905641
6	58830166	61830166	60330166
7	58054331	61054331	59554331
8	43838887	46838887	45338887
9	47367679	50367679	48867679
10	39254935	42254935	40754935
11	51644205	54644205	53144205
12	34856694	37856694	36356694
13	16000000	19000000	17500000
14	16000000	19000000	17500000
15	17000000	20000000	18500000
16	35335801	38335801	36835801
17	22263006	25263006	23763006
18	15460898	18460898	16960898
19	24681782	27681782	26181782
20	26369569	29369569	27869569
21	11288129	14288129	12788129
22	13000000	16000000	14500000
