	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3	N4	N6	N5	N8	N9	N7
0	chr10:1-1085000	SBS3	2	1	3	0	0	0	0	0	0	0	0
1	chr10:100397001-100909000	SBS100	1	1	1	0	0	0	0	0	0	0	0
2	chr10:100397001-100909000	SBS3	1	1	1	0	0	0	0	0	0	0	0
3	chr10:101069001-101199917	SBS3	1	1	1	0	0	0	0	0	0	0	0
4	chr10:101350803-101472000	SBS100	2	1	1	0	0	0	0	0	0	0	0
5	chr10:101472001-102621000	SBS18	1	1	2	0	0	0	0	0	0	0	0
6	chr10:101472001-102621000	SBS3	1	1	3	0	0	0	0	0	0	0	0
7	chr10:102823001-103366121	SBS3	1	1	2	0	0	0	0	0	0	0	0
8	chr10:103405218-104646000	SBS3	1	1	3	0	0	0	0	0	0	0	0
9	chr10:104646001-107063863	SBS100	1	1	1	0	0	0	0	0	0	0	0
10	chr10:104646001-107063863	SBS3	1	1	5	0	0	0	0	0	0	0	0
11	chr10:104646001-107063863	SBS5	1	1	1	0	0	0	0	0	0	0	0
12	chr10:107064881-107828000	SBS100	1	1	1	0	0	0	0	0	0	0	0
13	chr10:107064881-107828000	SBS3	1	1	3	0	0	0	0	0	0	0	0
14	chr10:107828001-109851000	SBS18	1	1	1	0	0	0	0	0	0	0	0
15	chr10:107828001-109851000	SBS3	1	1	4	0	0	0	0	0	0	0	0
16	chr10:1085001-1989824	SBS1	2	1	1	0	0	0	0	0	0	0	0
17	chr10:1085001-1989824	SBS100	2	1	1	0	0	0	0	0	0	0	0
18	chr10:1085001-1989824	SBS3	2	1	1	0	0	0	0	0	0	0	0
19	chr10:110728001-111025000	SBS100	2	1	1	0	0	0	0	0	0	0	0
20	chr10:110728001-111025000	SBS3	2	1	1	0	0	0	0	0	0	0	0
21	chr10:111025001-112433000	SBS3	1	1	2	0	0	0	0	0	0	0	0
22	chr10:112433001-116044000	SBS1	1	1	1	0	0	0	0	0	0	0	0
23	chr10:112433001-116044000	SBS3	1	1	3	0	0	0	0	0	0	0	0
24	chr10:112433001-116044000	SBS5	1	1	3	0	0	0	0	0	0	0	0
25	chr10:11465001-12238000	SBS1	2	1	2	0	0	0	0	0	0	0	0
26	chr10:11465001-12238000	SBS100	2	1	1	0	0	0	0	0	0	0	0
27	chr10:11465001-12238000	SBS3	2	1	2	0	0	0	0	0	0	0	0
28	chr10:116291001-119951000	SBS100	1	1	1	0	0	0	0	0	0	0	0
29	chr10:116291001-119951000	SBS18	1	1	1	0	0	0	0	0	0	0	0
30	chr10:116291001-119951000	SBS3	1	1	7	0	0	0	0	0	0	0	0
31	chr10:119951001-120620155	SBS3	1	1	1	0	0	0	0	0	0	0	0
32	chr10:120621809-121497000	SBS5	1	1	1	0	0	0	0	0	0	0	0
33	chr10:121612001-121732000	SBS18	1	1	1	0	0	0	0	0	0	0	0
34	chr10:121732001-122162000	SBS3	1	1	1	0	0	0	0	0	0	0	0
35	chr10:122162001-122978000	SBS3	1	1	1	0	0	0	0	0	0	0	0
36	chr10:12238001-12985489	SBS18	2	1	1	0	0	0	0	0	0	0	0
37	chr10:12238001-12985489	SBS3	2	1	1	0	0	0	0	0	0	0	0
38	chr10:123035001-124618500	SBS3	1	1	1	0	0	0	0	0	0	0	0
39	chr10:124750001-126002000	SBS3	1	1	1	0	0	0	0	0	0	0	0
40	chr10:126002001-126900000	SBS1	1	1	1	0	0	0	0	0	0	0	0
41	chr10:126002001-126900000	SBS18	1	1	1	0	0	0	0	0	0	0	0
42	chr10:126002001-126900000	SBS3	1	1	3	0	0	0	0	0	0	0	0
43	chr10:127457001-129449000	SBS100	1	1	1	0	0	0	0	0	0	0	0
44	chr10:127457001-129449000	SBS3	1	1	4	0	0	0	0	0	0	0	0
45	chr10:129449001-129787000	SBS3	1	1	1	0	0	0	0	0	0	0	0
46	chr10:129787001-130106000	SBS3	1	1	1	0	0	0	0	0	0	0	0
47	chr10:12985540-13585000	SBS3	2	1	2	1	0	0	0	0	0	0	0
48	chr10:130106001-130200500	SBS1	1	1	1	0	0	0	0	0	0	0	0
49	chr10:130200501-130726193	SBS18	1	1	1	0	0	0	0	0	0	0	0
50	chr10:130200501-130726193	SBS3	1	1	3	0	0	0	0	0	0	0	0
51	chr10:130726194-132302000	SBS1	2	1	1	0	0	0	0	0	0	0	0
52	chr10:130726194-132302000	SBS100	2	1	1	0	0	0	0	0	0	0	0
53	chr10:130726194-132302000	SBS18	2	1	1	0	0	0	0	0	0	0	0
54	chr10:130726194-132302000	SBS3	2	1	9	0	0	0	0	0	0	0	0
55	chr10:132302001-133797422	SBS1	2	1	3	0	0	0	0	0	0	0	0
56	chr10:132302001-133797422	SBS100	2	1	1	0	0	0	0	0	0	0	0
57	chr10:132302001-133797422	SBS3	2	1	5	0	0	0	0	0	0	0	0
58	chr10:132302001-133797422	SBS5	2	1	1	0	0	0	0	0	0	0	0
59	chr10:13585001-13792000	SBS18	2	1	1	0	0	0	0	0	0	0	0
60	chr10:14183001-15130000	SBS3	2	1	5	0	0	0	0	0	0	0	0
61	chr10:15130001-15780000	SBS3	2	1	1	0	0	0	0	0	0	0	0
62	chr10:15780001-15907000	SBS3	2	1	1	0	0	0	0	0	0	0	0
63	chr10:15907001-16430000	SBS3	2	1	3	0	0	0	0	0	0	0	0
64	chr10:16430001-17344000	SBS3	2	1	1	0	0	0	0	0	0	0	0
65	chr10:17755001-18583000	SBS3	2	1	7	0	0	0	0	0	0	0	0
66	chr10:18583001-21021000	SBS1	2	1	1	0	0	0	0	0	0	0	0
67	chr10:18583001-21021000	SBS100	2	1	1	0	0	0	0	0	0	0	0
68	chr10:18583001-21021000	SBS3	2	1	4	1	0	0	0	0	0	0	0
