	segment_id	sig_max	major_cn	minor_cn	N4	N2	N3	N1	N5	N6	N8	N7	N13	N10	N11
0	chr10:1-2862000	SBS1	4	0	1	0	0	0	0	0	0	0	0	0	0
1	chr10:1-2862000	SBS18	4	0	0	2	0	0	0	0	0	0	0	0	0
2	chr10:1-2862000	SBS3	4	0	2	1	3	0	0	0	0	0	0	0	0
3	chr10:105418001-127752276	SBS1	1	1	0	0	0	4	0	0	0	0	0	0	0
4	chr10:105418001-127752276	SBS100	1	1	0	0	0	1	0	0	0	0	0	0	0
5	chr10:105418001-127752276	SBS3	1	1	0	0	0	26	0	0	0	0	0	0	0
6	chr10:105418001-127752276	SBS5	1	1	0	0	0	2	0	0	0	0	0	0	0
7	chr10:127757087-133797422	SBS1	1	1	0	0	0	2	0	0	0	0	0	0	0
8	chr10:127757087-133797422	SBS100	1	1	0	0	0	1	0	0	0	0	0	0	0
9	chr10:127757087-133797422	SBS18	1	1	0	0	0	1	0	0	0	0	0	0	0
10	chr10:127757087-133797422	SBS3	1	1	0	0	0	8	0	0	0	0	0	0	0
11	chr10:127757087-133797422	SBS5	1	1	0	0	0	1	0	0	0	0	0	0	0
12	chr10:23440110-28424667	SBS1	5	0	0	1	0	0	0	0	0	0	0	0	0
13	chr10:23440110-28424667	SBS18	5	0	0	0	1	0	0	0	0	0	0	0	0
14	chr10:23440110-28424667	SBS3	5	0	4	13	6	0	6	0	0	0	0	0	0
15	chr10:23440110-28424667	SBS5	5	0	0	2	1	0	0	0	0	0	0	0	0
16	chr10:2862001-23440055	SBS1	5	0	0	0	0	0	3	0	0	0	0	0	0
17	chr10:2862001-23440055	SBS100	5	0	0	0	0	0	2	0	0	0	0	0	0
18	chr10:2862001-23440055	SBS18	5	0	1	1	0	0	1	0	0	0	0	0	0
19	chr10:2862001-23440055	SBS3	5	0	12	13	11	0	21	0	0	0	0	0	0
20	chr10:2862001-23440055	SBS5	5	0	0	1	0	0	0	0	0	0	0	0	0
21	chr10:28923001-33374000	SBS1	2	0	0	0	0	1	0	0	0	0	0	0	0
22	chr10:28923001-33374000	SBS3	2	0	0	3	0	3	0	0	0	0	0	0	0
23	chr10:33374001-35931000	SBS3	3	1	0	1	2	0	0	0	0	0	0	0	0
24	chr10:35931001-40640101	SBS1	2	2	0	1	0	0	0	0	0	0	0	0	0
25	chr10:35931001-40640101	SBS100	2	2	0	1	0	0	0	0	0	0	0	0	0
26	chr10:35931001-40640101	SBS3	2	2	0	18	0	1	0	0	0	0	0	0	0
27	chr10:40640102-67473249	SBS1	2	1	0	4	0	0	0	0	0	0	0	0	0
28	chr10:40640102-67473249	SBS100	2	1	0	1	0	0	0	0	0	0	0	0	0
29	chr10:40640102-67473249	SBS18	2	1	0	2	0	0	0	0	0	0	0	0	0
30	chr10:40640102-67473249	SBS3	2	1	0	40	0	9	0	0	0	0	0	0	0
31	chr10:40640102-67473249	SBS5	2	1	0	2	0	1	0	0	0	0	0	0	0
32	chr10:67473287-68055676	SBS3	2	1	0	1	0	0	0	0	0	0	0	0	0
33	chr10:68055729-80594315	SBS1	2	1	0	2	0	0	0	0	0	0	0	0	0
34	chr10:68055729-80594315	SBS18	2	1	0	1	0	0	0	0	0	0	0	0	0
35	chr10:68055729-80594315	SBS3	2	1	0	25	0	3	0	0	0	0	0	0	0
36	chr10:68055729-80594315	SBS5	2	1	0	1	0	0	0	0	0	0	0	0	0
37	chr10:80594316-80598959	SBS3	4	1	1	0	0	0	0	0	0	0	0	0	0
38	chr10:80598960-105418000	SBS1	2	1	0	2	0	0	0	0	0	0	0	0	0
39	chr10:80598960-105418000	SBS100	2	1	0	1	0	0	0	0	0	0	0	0	0
40	chr10:80598960-105418000	SBS18	2	1	0	3	0	0	0	0	0	0	0	0	0
41	chr10:80598960-105418000	SBS3	2	1	0	31	0	0	0	0	0	0	0	0	0
42	chr10:80598960-105418000	SBS5	2	1	0	3	0	0	0	0	0	0	0	0	0
43	chr11:1-3843000	SBS3	1	1	0	0	0	2	0	0	0	0	0	0	0
44	chr11:107729024-117690000	SBS1	3	2	0	0	1	0	0	0	0	0	0	0	0
45	chr11:107729024-117690000	SBS100	3	2	0	0	1	0	0	0	0	0	0	0	0
46	chr11:107729024-117690000	SBS18	3	2	0	0	4	0	0	0	0	0	0	0	0
47	chr11:107729024-117690000	SBS3	3	2	0	1	22	0	0	0	0	0	0	0	0
48	chr11:107729024-117690000	SBS5	3	2	0	0	3	0	0	0	0	0	0	0	0
49	chr11:117690001-135086622	SBS1	3	0	0	0	2	0	0	0	0	0	0	0	0
50	chr11:117690001-135086622	SBS18	3	0	0	2	2	0	0	0	0	0	0	0	0
51	chr11:117690001-135086622	SBS3	3	0	0	15	16	0	0	0	0	0	0	0	0
52	chr11:117690001-135086622	SBS5	3	0	0	1	0	0	0	0	0	0	0	0	0
53	chr11:24281501-24587000	SBS3	4	1	0	2	0	0	0	0	0	0	0	0	0
54	chr11:24587001-31812118	SBS18	3	2	0	0	3	0	0	0	0	0	0	0	0
55	chr11:24587001-31812118	SBS3	3	2	0	0	17	0	0	0	0	0	0	0	0
56	chr11:24587001-31812118	SBS5	3	2	0	0	1	0	0	0	0	0	0	0	0
57	chr11:31821238-32939895	SBS1	3	2	0	0	1	0	0	0	0	0	0	0	0
58	chr11:31821238-32939895	SBS3	3	2	0	0	7	0	0	0	0	0	0	0	0
59	chr11:32943799-35681957	SBS1	3	2	0	0	1	0	0	0	0	0	0	0	0
60	chr11:32943799-35681957	SBS3	3	2	0	0	4	0	0	0	0	0	0	0	0
61	chr11:32943799-35681957	SBS5	3	2	0	0	1	0	0	0	0	0	0	0	0
62	chr11:35688275-52751710	SBS1	2	2	0	3	0	0	0	0	0	0	0	0	0
63	chr11:35688275-52751710	SBS100	2	2	0	2	0	0	0	0	0	0	0	0	0
64	chr11:35688275-52751710	SBS18	2	2	0	7	0	0	0	0	0	0	0	0	0
65	chr11:35688275-52751710	SBS3	2	2	0	48	0	2	0	0	0	0	0	0	0
