	segment_id	sig_max	major_cn	minor_cn	N4	N2	N3	N1	N5	N7
0	chr10:1-6742230	SBS13	4	1	2	0	0	0	0	0
1	chr10:1-6742230	SBS3	4	1	6	0	0	0	0	0
2	chr10:1-6742230	SBS5	4	1	4	2	1	0	0	0
3	chr10:109805001-111036000	SBS3	1	1	0	0	0	2	0	0
4	chr10:109805001-111036000	SBS5	1	1	0	0	0	3	0	0
5	chr10:111036001-133797422	SBS1	2	0	0	1	0	0	0	0
6	chr10:111036001-133797422	SBS100	2	0	0	0	0	1	0	0
7	chr10:111036001-133797422	SBS13	2	0	0	0	0	1	0	0
8	chr10:111036001-133797422	SBS3	2	0	0	12	0	7	0	0
9	chr10:111036001-133797422	SBS5	2	0	0	4	0	7	0	0
10	chr10:27353001-28242025	SBS13	2	2	0	1	0	0	0	0
11	chr10:27353001-28242025	SBS3	2	2	0	2	0	0	0	0
12	chr10:28250219-40640101	SBS100	2	2	0	1	0	0	0	0
13	chr10:28250219-40640101	SBS13	2	2	0	1	0	0	0	0
14	chr10:28250219-40640101	SBS3	2	2	0	28	0	0	0	0
15	chr10:28250219-40640101	SBS5	2	2	0	20	0	0	0	0
16	chr10:40640102-44617178	SBS100	2	2	0	1	0	0	0	0
17	chr10:40640102-44617178	SBS3	2	2	0	17	0	0	0	0
18	chr10:40640102-44617178	SBS5	2	2	0	8	0	0	0	0
19	chr10:44617179-52999613	SBS1	2	0	0	2	0	0	0	0
20	chr10:44617179-52999613	SBS100	2	0	0	0	0	1	0	0
21	chr10:44617179-52999613	SBS13	2	0	0	1	0	0	0	0
22	chr10:44617179-52999613	SBS3	2	0	0	6	0	8	0	0
23	chr10:44617179-52999613	SBS5	2	0	0	5	0	4	0	0
24	chr10:52999614-54342357	SBS3	2	2	0	3	0	0	0	0
25	chr10:54342403-63754000	SBS1	2	1	0	1	0	0	0	0
26	chr10:54342403-63754000	SBS13	2	1	0	1	0	0	0	0
27	chr10:54342403-63754000	SBS3	2	1	0	15	0	0	0	0
28	chr10:54342403-63754000	SBS5	2	1	0	10	0	2	0	0
29	chr10:63754001-64141000	SBS13	3	2	0	0	1	0	0	0
30	chr10:63754001-64141000	SBS3	3	2	0	0	1	0	0	0
31	chr10:63754001-64141000	SBS5	3	2	0	0	1	0	0	0
32	chr10:64141001-68133000	SBS1	2	2	0	1	0	0	0	0
33	chr10:64141001-68133000	SBS3	2	2	0	5	0	0	0	0
34	chr10:64141001-68133000	SBS5	2	2	0	3	0	0	0	0
35	chr10:6742299-7545182	SBS3	3	1	0	0	2	0	0	0
36	chr10:68133001-70901000	SBS1	2	0	0	0	0	1	0	0
37	chr10:68133001-70901000	SBS13	2	0	0	1	0	0	0	0
38	chr10:68133001-70901000	SBS3	2	0	0	3	0	0	0	0
39	chr10:68133001-70901000	SBS5	2	0	0	4	0	1	0	0
40	chr10:70901001-72435730	SBS3	2	1	0	1	0	0	0	0
41	chr10:70901001-72435730	SBS5	2	1	0	1	0	0	0	0
