,segment_id,chromosome,start,end,file_path,t1,t2,t3,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:91902001-123605522,chr1,91902001,123605522,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.5,0.0,0.0,False,True,False,1.0,0.0,0.0,1.0,1.0,1.0,2,2,"[1.0, 1.0, 1.0]",31703521
1,chr1:210505001-234200000,chr1,210505001,234200000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2.5,0.0,,False,True,False,1.0,0.0,,1.0,1.0,,2,1,"[1.0, 1.0]",23694999
2,chr3:73856001-84649000,chr3,73856001,84649000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,10,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],10792999
3,chr3:125382001-158086000,chr3,125382001,158086000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1/3,,False,True,False,0.8571428571428571,0.14285714285714285,,0.8571428571428571,1.0,,2,1,"[0.8571428571428571, 1.0]",32703999
4,chr4:159556001-183093000,chr4,159556001,183093000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],23536999
5,chr5:1850001-30785304,chr5,1850001,30785304,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],28935303
6,chr5:67317001-110113000,chr5,67317001,110113000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,3,1,,False,True,False,0.75,0.25,,0.75,1.0,,2,0,"[0.75, 1.0]",42795999
7,chr6:159811001-166576419,chr6,159811001,166576419,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1,,False,True,False,0.6666666666666666,0.3333333333333333,,0.6666666666666666,1.0,,2,1,"[0.6666666666666666, 1.0]",6765418
8,chr8:1664001-17077000,chr8,1664001,17077000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],15412999
9,chr14:68821001-90064000,chr14,68821001,90064000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,3/2,,False,True,False,0.5714285714285714,0.42857142857142855,,0.5714285714285714,1.0,,2,0,"[0.5714285714285714, 1.0]",21242999
10,chr17:9585001-54879000,chr17,9585001,54879000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],45293999
11,chr19:3830001-12588000,chr19,3830001,12588000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,4.0,0.0,,False,True,False,1.0,0.0,,1.0,1.0,,2,1,"[1.0, 1.0]",8757999
