,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:1-12393083,chr1,1,12393083,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,0,1,5/3,,,False,True,False,0.0,0.37499999999999994,0.625,,,0.0,0.37499999999999994,1.0,,,3,0,"[0.0, 0.37499999999999994, 1.0]",12393082
1,chr1:24311467-38898000,chr1,24311467,38898000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,0,1,7/3,,,False,True,False,0.0,0.3,0.7000000000000001,,,0.0,0.3,1.0,,,3,0,"[0.0, 0.3, 1.0]",14586533
2,chr1:38898001-95145648,chr1,38898001,95145648,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,3,2,7/4,,,False,True,False,0.4444444444444444,0.2962962962962963,0.25925925925925924,,,0.4444444444444444,0.7407407407407407,1.0,,,3,1,"[0.4444444444444444, 0.7407407407407407, 1.0]",56247647
3,chr1:95145649-123605522,chr1,95145649,123605522,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,8/3,,,,False,True,False,0.27272727272727276,0.7272727272727273,,,,0.27272727272727276,1.0,,,,2,1,"[0.27272727272727276, 1.0]",28459873
4,chr1:153555388-179230969,chr1,153555388,179230969,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_1.1_solutions_downsized.sobj,0,1,2,,,False,True,False,0.0,0.3333333333333333,0.6666666666666666,,,0.0,0.3333333333333333,1.0,,,3,1,"[0.0, 0.3333333333333333, 1.0]",25675581
5,chr1:192712295-218114412,chr1,192712295,218114412,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.5,1.0,1.75,,,True,True,False,0.15384615384615385,0.3076923076923077,0.5384615384615384,,,0.15384615384615385,0.46153846153846156,1.0,,,2,2,"[0.15384615384615385, 0.46153846153846156, 1.0]",25402117
6,chr1:222942998-248956422,chr1,222942998,248956422,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.25,0.5,1.75,,,True,True,False,0.1,0.2,0.7,,,0.1,0.30000000000000004,1.0,,,2,2,"[0.1, 0.30000000000000004, 1.0]",26013424
7,chr2:69275605-93139350,chr2,69275605,93139350,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5,,,,,False,True,False,1.0,,,,,1.0,,,,,1,1,[1.0],23863745
8,chr2:129967587-152503405,chr2,129967587,152503405,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,7/3,,,,False,True,False,0.3,0.7000000000000001,,,,0.3,1.0,,,,2,1,"[0.3, 1.0]",22535818
9,chr2:191841478-242193529,chr2,191841478,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,4,0,3,,,False,True,False,0.5714285714285714,0.0,0.42857142857142855,,,0.5714285714285714,0.5714285714285714,1.0,,,3,0,"[0.5714285714285714, 0.5714285714285714, 1.0]",50352051
10,chr3:5804902-28201011,chr3,5804902,28201011,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,0,3,,,,False,True,False,0.0,1.0,,,,0.0,1.0,,,,2,0,"[0.0, 1.0]",22396109
11,chr3:28201012-42342650,chr3,28201012,42342650,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,,,False,True,False,1.0,,,,,1.0,,,,,1,0,[1.0],14141638
12,chr3:47849790-100828538,chr3,47849790,100828538,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,3,8,,,,False,True,False,0.2727272727272727,0.7272727272727273,,,,0.2727272727272727,1.0,,,,2,0,"[0.2727272727272727, 1.0]",52978748
13,chr3:122493412-130837549,chr3,122493412,130837549,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,,,False,True,False,1.0,,,,,1.0,,,,,1,0,[1.0],8344137
14,chr3:169726044-197175492,chr3,169726044,197175492,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,2,,,,False,True,False,0.0,1.0,,,,0.0,1.0,,,,2,1,"[0.0, 1.0]",27449448
15,chr4:1-61710268,chr4,1,61710268,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,4,,,,False,True,False,0.3333333333333333,0.6666666666666666,,,,0.3333333333333333,1.0,,,,2,0,"[0.3333333333333333, 1.0]",61710267
16,chr4:67610190-82832216,chr4,67610190,82832216,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,5/2,,,,False,True,False,0.2857142857142857,0.7142857142857143,,,,0.2857142857142857,1.0,,,,2,0,"[0.2857142857142857, 1.0]",15222026
17,chr4:82832217-110377475,chr4,82832217,110377475,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,7,,,,,False,True,False,1.0,,,,,1.0,,,,,1,0,[1.0],27545258
18,chr4:110377476-147782000,chr4,110377476,147782000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,5/2,,,,False,True,False,0.2857142857142857,0.7142857142857143,,,,0.2857142857142857,1.0,,,,2,0,"[0.2857142857142857, 1.0]",37404524
