,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:854445-34882555,chr1,854445,34882555,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,18,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],34028110
1,chr1:40953001-52939000,chr1,40953001,52939000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,2/3,,,False,True,False,0.75,0.25,,,0.75,1.0,,,2,1,"[0.75, 1.0]",11985999
2,chr1:60169678-111774000,chr1,60169678,111774000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,10,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],51604322
3,chr1:123605523-207002000,chr1,123605523,207002000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,6,1/3,,,False,True,False,0.9473684210526316,0.05263157894736842,,,0.9473684210526316,1.0,,,2,1,"[0.9473684210526316, 1.0]",83396477
4,chr2:29807001-93139350,chr2,29807001,93139350,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],63332349
5,chr2:94839555-186450000,chr2,94839555,186450000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],91610445
6,chr2:201079240-242193529,chr2,201079240,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],41114289
7,chr3:1-15448328,chr3,1,15448328,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],15448327
8,chr3:16919714-62306915,chr3,16919714,62306915,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,12,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],45387201
9,chr3:64040001-90193020,chr3,64040001,90193020,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],26153019
10,chr3:90193975-92214015,chr3,90193975,92214015,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,7/3,,,False,True,False,0.0,1.0,,,0.0,1.0,,,2,1,"[0.0, 1.0]",2020040
11,chr3:94133001-118964000,chr3,94133001,118964000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,11/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],24830999
12,chr3:121403001-198295559,chr3,121403001,198295559,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,25/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],76892558
13,chr4:1-10924600,chr4,1,10924600,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],10924599
14,chr4:41694001-47435000,chr4,41694001,47435000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,1,,,False,True,False,0.5,0.5,,,0.5,1.0,,,2,1,"[0.5, 1.0]",5740999
15,chr4:47435001-52798144,chr4,47435001,52798144,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],5363143
16,chr4:53553178-62569919,chr4,53553178,62569919,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],9016741
17,chr4:62569920-78529000,chr4,62569920,78529000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],15959080
18,chr4:79699178-121877000,chr4,79699178,121877000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,8,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],42177822
19,chr4:129002001-151568924,chr4,129002001,151568924,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,3,,,False,True,False,0.25,0.75,,,0.25,1.0,,,2,0,"[0.25, 1.0]",22566923
20,chr4:151568925-190214555,chr4,151568925,190214555,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,10,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],38645630
21,chr5:3552778-40844000,chr5,3552778,40844000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,8,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],37291222
22,chr5:60331001-162948490,chr5,60331001,162948490,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,19,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],102617489
23,chr6:75925001-97121669,chr6,75925001,97121669,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,2,,,False,True,False,0.0,1.0,,,0.0,1.0,,,2,1,"[0.0, 1.0]",21196668
24,chr6:122476001-151683052,chr6,122476001,151683052,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,8,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],29207051
25,chr6:156772001-169212000,chr6,156772001,169212000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],12439999
26,chr7:4458924-44130186,chr7,4458924,44130186,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,15,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],39671262
27,chr7:59498944-91754331,chr7,59498944,91754331,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,8,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],32255387
28,chr7:106742347-152875500,chr7,106742347,152875500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,17/2,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],46133153
29,chr8:1-5433354,chr8,1,5433354,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,7/3,,,False,True,False,0.0,1.0,,,0.0,1.0,,,2,1,"[0.0, 1.0]",5433353
30,chr8:15764882-43028932,chr8,15764882,43028932,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,13,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],27264050
31,chr8:52021001-94958000,chr8,52021001,94958000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,12,,,,False,True,False,1.0,,,,1.0,,,,1,1,[1.0],42936999
32,chr8:103442845-115062618,chr8,103442845,115062618,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.125,0.75,0.375,,True,True,False,0.5,0.3333333333333333,0.16666666666666666,,0.5,0.8333333333333333,0.9999999999999999,,2,2,"[0.5, 0.8333333333333333, 0.9999999999999999]",11619773
33,chr8:115062659-138868023,chr8,115062659,138868023,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,7/3,,,False,True,False,0.46153846153846145,0.5384615384615384,,,0.46153846153846145,0.9999999999999999,,,2,1,"[0.46153846153846145, 0.9999999999999999]",23805364
34,chr9:44377363-112946000,chr9,44377363,112946000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,19,,,,False,True,False,1.0,,,,1.0,,,,1,0,[1.0],68568637
