	chromosome	start	end	t1	t2	sum_t1_to_t1	sum_t1_to_t2	fully_solved	no_solution	tree_structure
0	chr19	1	11064274	6		6		True	False	1_0.1
1	chr21	1	11890183	3		3		True	False	1_1.1
2	chr8	1	26654230	7		7		True	False	1_0.1
3	chr4	4275001	37908000	11		11		True	False	1_0.1
4	chr14	17086762	63751243	5		5		True	False	1_0.1
5	chr5	17179256	24796172	5/2		5/2		True	False	1_1.1
6	chr11	22838237	30022922	1	1	1	2	True	False	2_1.1
7	chr16	25006660	31246065	5/2		5/2		True	False	1_1.1
8	chr20	28237290	31992369	3		3		True	False	1_1.1
9	chr22	28670134	42099893	7/2		7/2		True	False	1_1.1
10	chr1	28899928	41527209	2.5	0.0	2.5	2.5	True	False	2_1.1
11	chr13	43987542	73369716	10		10		True	False	1_0.1
12	chr19	46754410	57089645	5		5		True	False	1_0.1
13	chr7	54581749	59498943	1	2	1	3	True	False	2_1.1
14	chr5	54758001	113681571	5		5		True	False	1_0.1
15	chr8	55099130	57940011	1	1	1	2	True	False	2_1.1
16	chr7	59498944	69523990	9/2		9/2		True	False	1_1.1
17	chr14	63751500	82666348	5		5		True	False	1_0.1
18	chr8	68506054	78963832	5/2		5/2		True	False	1_1.1
19	chr1	69222269	91787943	5/2		5/2		True	False	1_1.1
20	chr7	69524093	84205986	5/2		5/2		True	False	1_1.1
21	chr3	71234192	92214015	11/2		11/2		True	False	1_1.1
22	chr2	83432808	91951510	5/2		5/2		True	False	1_1.1
23	chr12	86445721	120812875	6		6		True	False	1_0.1
24	chr14	93133001	107043718	2	3	2	5	True	False	2_0.1
25	chr13	94976429	114364328	11/2		11/2		True	False	1_1.1
26	chr7	96570825	112488401	5/2		5/2		True	False	1_1.1
27	chr2	102022443	125733121	5/2		5/2		True	False	1_1.1
28	chr9	111972407	138394717	3	5/2	3	11/2	True	False	2_0.1
29	chr5	113681623	158355711	5		5		True	False	1_0.1
30	chr4	115190508	125452496	3		3		True	False	1_1.1
31	chr12	122081517	131702174	9		9		True	False	1_0.1
32	chr1	123605523	154249030	3		3		True	False	1_1.1
33	chr2	125734320	137323725	3		3		True	False	1_1.1
34	chr5	158416817	181538259	5		5		True	False	1_0.1
35	chr1	184341240	201839818	0	5/2	0	5/2	True	False	2_0.1
36	chr2	189788721	208130707	4		4		True	False	1_1.1
37	chr1	205968919	224057507	2	5/2	2	9/2	True	False	2_0.1
