segment_id	sig_max	major_cn	minor_cn	N1
10:102500-37999999	SBS1	1	1	9
10:102500-37999999	SBS5	1	1	32
10:38000000-42299999	SBS1	1	1	1
10:38000000-42299999	SBS5	1	1	2
10:42300000-135389924	SBS1	1	1	28
10:42300000-135389924	SBS5	1	1	82
11:187500-51599999	SBS1	1	1	14
11:187500-51599999	SBS5	1	1	54
11:51600000-55699999	SBS5	1	1	2
11:55700000-82302925	SBS1	1	1	5
11:55700000-82302925	SBS5	1	1	33
11:82480743-134442500	SBS1	1	1	11
11:82480743-134442500	SBS5	1	1	55
12:110107-33299999	SBS1	1	1	6
12:110107-33299999	SBS5	1	1	20
12:132342501-133851894	SBS5	1	1	3
12:33300000-38199999	SBS1	1	1	2
12:33300000-38199999	SBS5	1	1	3
12:38200000-132342500	SBS1	1	1	11
12:38200000-132342500	SBS5	1	1	74
13:114137501-115169877	SBS5	1	1	2
13:16300000-19499999	SBS5	1	1	1
13:19500000-114137500	SBS1	1	1	16
13:19500000-114137500	SBS5	1	1	86
14:19100000-20437980	SBS5	1	0	2
14:20784988-44734044	SBS1	1	1	6
14:20784988-44734044	SBS5	1	1	13
14:44734262-106362500	SBS1	1	0	12
14:44734262-106362500	SBS5	1	0	32
15:100332501-102399919	SBS5	1	1	1
15:15800000-20699999	SBS1	1	1	1
15:15800000-20699999	SBS5	1	1	4
15:20700000-100332500	SBS1	1	1	16
15:20700000-100332500	SBS5	1	1	62
16:120076-34599999	SBS1	1	1	15
16:120076-34599999	SBS5	1	1	33
16:38600000-88822500	SBS1	1	1	14
16:38600000-88822500	SBS5	1	1	38
16:88822501-90354752	SBS1	1	1	1
16:88822501-90354752	SBS5	1	1	3
17:12500-22199999	SBS1	1	1	11
17:12500-22199999	SBS5	1	1	17
17:22200000-25799999	SBS5	1	1	1
17:25800000-78772500	SBS1	1	1	8
17:25800000-78772500	SBS5	1	1	33
18:10001-130030	SBS5	1	1	1
18:130031-15399999	SBS1	1	1	3
18:130031-15399999	SBS5	1	1	18
18:15400000-18999999	SBS5	1	1	1
18:19000000-76112500	SBS1	1	1	13
18:19000000-76112500	SBS5	1	1	43
18:76112501-78077247	SBS5	1	1	1
19:260137-24399999	SBS1	1	1	8
19:260137-24399999	SBS5	1	1	25
19:28600000-59128982	SBS1	1	0	7
19:28600000-59128982	SBS5	1	0	19
1:10001-808222	SBS5	1	0	1
1:128900000-148025802	SBS5	1	1	10
1:148025803-247247500	SBS1	1	1	19
1:148025803-247247500	SBS5	1	1	85
1:247247501-249250620	SBS5	1	1	1
1:808223-121423938	SBS1	1	0	9
1:808223-121423938	SBS5	1	0	57
20:29400000-62432500	SBS1	1	1	8
20:29400000-62432500	SBS5	1	1	23
20:88125-25599999	SBS1	1	1	6
20:88125-25599999	SBS5	1	1	10
21:10900000-15273231	SBS1	1	1	2
21:10900000-15273231	SBS5	1	1	3
21:15273232-46937500	SBS1	1	1	7
21:15273232-46937500	SBS5	1	1	28
21:46937501-48129894	SBS5	1	1	2
22:12200000-17899999	SBS1	1	1	1
22:12200000-17899999	SBS5	1	1	4
22:17900000-49687500	SBS1	1	1	9
22:17900000-49687500	SBS5	1	1	15
2:20016-89179989	SBS1	1	1	24
2:20016-89179989	SBS5	1	1	62
2:89179990-90499999	SBS1	1	1	2
2:89179990-90499999	SBS5	1	1	1
2:90500000-96799999	SBS1	1	1	1
2:90500000-96799999	SBS5	1	1	2
2:96800000-242985493	SBS1	1	1	29
2:96800000-242985493	SBS5	1	1	120
3:100074-87899999	SBS1	1	1	16
3:100074-87899999	SBS5	1	1	71
3:87900000-93899999	SBS1	1	1	1
3:87900000-93899999	SBS5	1	1	2
3:93900000-197847500	SBS1	1	1	23
3:93900000-197847500	SBS5	1	1	86
4:47884-48199999	SBS1	1	1	14
4:47884-48199999	SBS5	1	1	44
4:52790148-53773966	SBS5	2	1	1
4:53773967-56651772	SBS5	1	1	3
4:56654085-59636705	SBS5	1	0	3
4:59636706-59637676	SBS5	1	1	4
4:59637677-69373801	SBS1	1	0	1
4:59637677-69373801	SBS5	1	0	10
4:69373802-190799943	SBS1	1	0	17
4:69373802-190799943	SBS5	1	0	70
5:22500-899996	SBS5	1	1	1
5:46100000-50699999	SBS1	1	1	3
5:46100000-50699999	SBS5	1	1	1
5:50700000-180689978	SBS1	1	1	27
5:50700000-180689978	SBS5	1	1	104
5:899997-46099999	SBS1	1	1	14
5:899997-46099999	SBS5	1	1	56
6:201976-58699999	SBS1	1	1	24
6:201976-58699999	SBS5	1	1	46
6:58700000-63299999	SBS5	1	1	4
6:63300000-170899934	SBS1	1	1	20
6:63300000-170899934	SBS5	1	1	106
7:58000000-61699999	SBS5	1	1	1
7:61700000-158817500	SBS1	1	1	30
7:61700000-158817500	SBS5	1	1	84
7:65401-57999999	SBS1	1	1	19
7:65401-57999999	SBS5	1	1	50
8:170012-43099999	SBS1	1	1	8
8:170012-43099999	SBS5	1	1	42
8:43100000-48099999	SBS1	1	1	2
8:43100000-48099999	SBS5	1	1	3
8:48100000-146364021	SBS1	1	1	25
8:48100000-146364021	SBS5	1	1	89
9:200101-44736098	SBS1	1	0	6
9:200101-44736098	SBS5	1	0	27
9:65602473-140267500	SBS1	1	0	13
9:65602473-140267500	SBS5	1	0	49
X:1-58099999	SBS1	1	1	20
X:1-58099999	SBS5	1	1	94
X:58100000-62999999	SBS5	1	1	3
X:63000000-154929638	SBS1	1	1	51
X:63000000-154929638	SBS5	1	1	214
