	chromosome	start	end	t1	t2	t3	sum_t1_to_t1	sum_t1_to_t2	sum_t1_to_t3	fully_solved	no_solution	tree_structure
0	chr11	1	10218567	6			6			True	False	1_0.1
1	chr17	1	7184966	2	3/2		2	7/2		True	False	2_0.1
2	chr20	1	4939050	7			7			True	False	1_0.1
3	chr18	1890387	8936811	3			3			True	False	1_1.1
4	chr12	13777601	33845046	5/2			5/2			True	False	1_1.1
5	chr13	17025624	37317808	7			7			True	False	1_0.1
6	chr16	17171350	25824000	3			3			True	False	1_1.1
7	chr14	23728193	47128083	6			6			True	False	1_0.1
8	chr20	28237290	32441552	5/2			5/2			True	False	1_1.1
9	chr19	38656287	40986280	0	2		0	2		True	False	2_1.1
10	chr13	40775871	56438949	6			6			True	False	1_0.1
11	chr17	45933864	64017662	1	2		1	3		True	False	2_0.1
12	chr3	54542285	70702797	5			5			True	False	1_0.1
13	chr18	57828569	72218901	5/2			5/2			True	False	1_1.1
14	chr2	61215680	63129447	0	5/3		0	5/3		True	False	2_1.1
15	chr7	71240586	77115689	3			3			True	False	1_1.1
16	chr9	71724142	88373999	5/2			5/2			True	False	1_1.1
17	chr17	72516910	83127933	0	0	5/3	0	0	5/3	True	False	3_0.1
18	chr10	87965429	91848794	5			5			True	False	1_0.1
19	chr14	101238389	107043718	2	3/2		2	7/2		True	False	2_0.1
20	chr4	111411129	122584349	2.5	0.0		2.5	2.5		True	False	2_1.1
21	chr7	151172519	156855820	0	5/3		0	5/3		True	False	2_1.1
22	chr5	171020955	181538259	6			6			True	False	1_0.1
23	chr2	176674833	187073734	3			3			True	False	1_1.1
24	chr1	185816677	195588167	0	5/3		0	5/3		True	False	2_1.1
25	chr1	242299348	248956422	0	5/2		0	5/2		True	False	2_0.1
