,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,t6,t7,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t7_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,t7_norm_cumsum,major,minor,breakpoints,seg_length
0,chr2:35365001-60457455,chr2,35365001,60457455,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,1,1,,,,,,False,True,False,0.5,0.5,,,,,,0.5,1.0,,,,,,2,1,"[0.5, 1.0]",25092454
1,chr2:222722985-242193529,chr2,222722985,242193529,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,3,0,,,,,,False,True,False,1.0,0.0,,,,,,1.0,1.0,,,,,,2,1,"[1.0, 1.0]",19470544
2,chr3:53410855-120118663,chr3,53410855,120118663,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,7,8,,,,,,False,True,False,0.4666666666666667,0.5333333333333333,,,,,,0.4666666666666667,1.0,,,,,,2,0,"[0.4666666666666667, 1.0]",66707808
3,chr3:134271875-140971317,chr3,134271875,140971317,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//6_2.1_solutions_downsized.sobj,0.71637894,0.41735351,0.29444474,0.22748683875000006,0.0,0.0,0.0,False,True,False,0.43268376165716105,0.2520762079460621,0.17784087525432385,0.13739915514245302,0.0,0.0,0.0,0.43268376165716105,0.6847599696032232,0.8626008448575471,1.0,1.0,1.0,1.0,6,2,"[0.43268376165716105, 0.6847599696032232, 0.8626008448575471, 1.0, 1.0, 1.0, 1.0]",6699442
4,chr4:57423019-152914376,chr4,57423019,152914376,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,13,,,,,,,False,True,False,1.0,,,,,,,1.0,,,,,,,1,1,[1.0],95491357
5,chr4:154964740-190214555,chr4,154964740,190214555,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,6,,,,,,,False,True,False,1.0,,,,,,,1.0,,,,,,,1,0,[1.0],35249815
6,chr5:61669924-115439000,chr5,61669924,115439000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,2,2,,,,,,False,True,False,0.5,0.5,,,,,,0.5,1.0,,,,,,2,0,"[0.5, 1.0]",53769076
7,chr5:152478281-181538259,chr5,152478281,181538259,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_0.1_solutions_downsized.sobj,3,1,1,,,,,False,True,False,0.6,0.2,0.2,,,,,0.6,0.8,1.0,,,,,3,0,"[0.6, 0.8, 1.0]",29059978
8,chr6:59191911-91218941,chr6,59191911,91218941,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,3.0,0.0,0.0,,,,,False,True,False,1.0,0.0,0.0,,,,,1.0,1.0,1.0,,,,,2,2,"[1.0, 1.0, 1.0]",32027030
9,chr7:1-49235425,chr7,1,49235425,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,5.5,0.0,,,,,,False,True,False,1.0,0.0,,,,,,1.0,1.0,,,,,,2,1,"[1.0, 1.0]",49235424
10,chr7:51552781-141474920,chr7,51552781,141474920,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,4.7,3.3000000000000003,0.3,0.3,,,,True,True,False,0.5465116279069767,0.3837209302325581,0.03488372093023255,0.03488372093023255,,,,0.5465116279069767,0.9302325581395348,0.9651162790697673,0.9999999999999998,,,,3,2,"[0.5465116279069767, 0.9302325581395348, 0.9651162790697673, 0.9999999999999998]",89922139
11,chr8:1-25566431,chr8,1,25566431,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,4,3/2,,,,,,False,True,False,0.7272727272727273,0.2727272727272727,,,,,,0.7272727272727273,1.0,,,,,,2,0,"[0.7272727272727273, 1.0]",25566430
12,chr8:36126560-61144500,chr8,36126560,61144500,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.375,0.25,0.125,,,,,True,True,False,0.8636363636363636,0.09090909090909091,0.045454545454545456,,,,,0.8636363636363636,0.9545454545454546,1.0,,,,,2,2,"[0.8636363636363636, 0.9545454545454546, 1.0]",25017940
13,chr8:83324559-96307977,chr8,83324559,96307977,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//3_2.2_solutions_downsized.sobj,1.5803383720000002,0.612746188,0.0,0.0,,,,False,True,False,0.7206007469224078,0.2793992530775922,0.0,0.0,,,,0.7206007469224078,1.0,1.0,1.0,,,,3,2,"[0.7206007469224078, 1.0, 1.0, 1.0]",12983418
14,chr8:130053001-145138636,chr8,130053001,145138636,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_1.2_solutions_downsized.sobj,2.0,1.25,0.5,0.25,,,,True,True,False,0.5,0.3125,0.125,0.0625,,,,0.5,0.8125,0.9375,1.0,,,,4,1,"[0.5, 0.8125, 0.9375, 1.0]",15085635
15,chr9:87396359-114573000,chr9,87396359,114573000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2,1/3,,,,,,False,True,False,0.8571428571428571,0.14285714285714285,,,,,,0.8571428571428571,1.0,,,,,,2,1,"[0.8571428571428571, 1.0]",27176641
16,chr9:123298800-138394717,chr9,123298800,138394717,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,,,,,,False,True,False,1.0,,,,,,,1.0,,,,,,,1,1,[1.0],15095917
17,chr10:62270994-110571914,chr10,62270994,110571914,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,4,2,,,,,,False,True,False,0.6666666666666666,0.3333333333333333,,,,,,0.6666666666666666,1.0,,,,,,2,0,"[0.6666666666666666, 1.0]",48300920
18,chr11:1-17326369,chr11,1,17326369,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,1,2,,,,,,False,True,False,0.3333333333333333,0.6666666666666666,,,,,,0.3333333333333333,1.0,,,,,,2,0,"[0.3333333333333333, 1.0]",17326368
